Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
California,1/1/1980,49.1,53.6,59.3,59.4,46.5
California,1/2/1980,43.9,49.8,59.4,58.9,45.6
California,1/3/1980,43.8,49.3,58.1,58.3,43.5
California,1/4/1980,42.8,48.7,57.4,57.7,43.6
California,1/5/1980,44.3,49.3,57.6,56.6,44.5
California,1/6/1980,46.5,50.1,54.8,55.3,45.1
California,1/7/1980,44.5,47.8,53.6,54,45.2
California,1/8/1980,44.6,47.9,53.5,53,45
California,1/9/1980,46,47.8,51.9,52.2,45.5
California,1/10/1980,46,48.8,51.2,52.6,45.9
California,1/11/1980,45.6,48.8,54.8,54.6,47.9
California,1/12/1980,52.2,54,57.8,57.1,50.8
California,1/13/1980,54.6,56.1,58.7,58,53.2
California,1/14/1980,52.7,54.6,57.4,56.9,51.4
California,1/15/1980,46.9,50.3,54.7,55.3,49.3
California,1/16/1980,48.3,50.2,53.8,53.8,47.1
California,1/17/1980,46.1,49.5,52.9,52.5,44.7
California,1/18/1980,39.8,44.9,50.9,50.9,39.7
California,1/19/1980,33.1,38.9,48.9,50.3,36.2
California,1/20/1980,35.7,41,51,51.7,36
California,1/21/1980,39.1,44.4,55.2,54.2,38.6
California,1/22/1980,40.9,46.9,56.5,56.9,40.7
California,1/23/1980,42.2,48.2,59,58.6,42.1
California,1/24/1980,43.3,49.6,60.2,59.3,43
California,1/25/1980,43.4,49.8,58.6,57.9,42.5
California,1/26/1980,40.7,46.2,55,55,41.3
California,1/27/1980,39.9,44.2,51.5,51.7,40.8
California,1/28/1980,41.7,44,48.7,49.2,40.6
California,1/29/1980,40.3,43.1,47.3,49.5,39.7
California,1/30/1980,37.1,42.3,52.4,52.4,39.7
California,1/31/1980,41.6,46.7,57.6,56.7,40.5
California,2/1/1980,42.7,49.4,60,60.2,43.9
California,2/2/1980,47.4,53,63,61.6,46.3
California,2/3/1980,48.8,54.2,61.8,63.4,48.2
California,2/4/1980,48.3,55,65.5,64.2,49.1
California,2/5/1980,50.3,56.1,65.2,64.5,49.4
California,2/6/1980,49.5,55.4,62.8,62.8,47.8
California,2/7/1980,43.7,50.6,60.4,60.2,44.7
California,2/8/1980,41,47.9,57.3,58.5,41.8
California,2/9/1980,40.6,47.5,57.8,57.6,41.1
California,2/10/1980,41.6,48,57.6,57.3,41.2
California,2/11/1980,41.3,47.6,56.6,56.8,41.2
California,2/12/1980,40.8,47,56.3,55.9,41.2
California,2/13/1980,41.6,46.4,54.7,54.5,43.2
California,2/14/1980,47.1,49.2,52.5,54.4,45.6
California,2/15/1980,48.2,50.8,56.1,54.7,48.1
California,2/16/1980,49.1,51.8,55.6,56.4,49.5
California,2/17/1980,51.3,53.6,57.4,56.7,51
California,2/18/1980,52.7,54.3,57,56.7,52
California,2/19/1980,52.1,53,55.6,55.1,49.7
California,2/20/1980,44.3,48.4,52.6,54.4,48.6
California,2/21/1980,49.5,51.2,55.1,54.2,45.4
California,2/22/1980,42.5,47.8,54.9,56.2,44.9
California,2/23/1980,42.7,48.9,58.7,58.5,43.7
California,2/24/1980,45.9,51.8,62,62.2,46.1
California,2/25/1980,49.6,55.6,65.9,65.4,48.9
California,2/26/1980,51.1,57.9,68.4,67.2,50.7
California,2/27/1980,51.3,58.1,67.3,66.6,50.1
California,2/28/1980,47.9,54.1,64,64.6,48.1
California,2/29/1980,45,52,62.4,62.5,46.6
California,3/1/1980,47,52.7,61.1,60.6,45.7
California,3/2/1980,45,50.4,58.4,57.5,46.1
California,3/3/1980,46.2,49.4,52.9,56.2,44.5
California,3/4/1980,42.4,48.4,57.2,55.3,44.5
California,3/5/1980,44.9,49.4,55.8,55,43.7
California,3/6/1980,43.7,46.9,51.9,53.8,42.4
California,3/7/1980,38.5,45.1,53.8,54.3,40.5
California,3/8/1980,39.3,46.7,57.2,57.5,39.9
California,3/9/1980,41.8,49.8,61.5,59.7,41.9
California,3/10/1980,44.5,52.1,60.4,60.1,43.5
California,3/11/1980,44.1,49.8,58.4,58.2,42.3
California,3/12/1980,38.2,46.6,55.9,58.6,41.4
California,3/13/1980,42,49.3,61.5,59.6,41.8
California,3/14/1980,45.2,52.4,61.4,60.6,43.4
California,3/15/1980,43.1,50.6,59,59.5,42.5
California,3/16/1980,39.3,47.7,58.2,59.4,41.4
California,3/17/1980,41.9,50.2,60.9,59.3,40.9
California,3/18/1980,41.6,49.2,58.8,60,41.2
California,3/19/1980,40,48,60.4,59.7,41.9
California,3/20/1980,44.2,51.3,59.9,59.3,41.5
California,3/21/1980,40.2,47.4,57.6,58.4,41.4
California,3/22/1980,39.8,47.1,57.8,58.5,40.7
California,3/23/1980,42,50,60.2,58.8,40.9
California,3/24/1980,41,49.2,58.5,58.3,41.1
California,3/25/1980,40.4,47.1,56.3,57.4,39.9
California,3/26/1980,38.4,46,57.3,57.2,39.7
California,3/27/1980,40.4,48.6,58.1,59,40.2
California,3/28/1980,41.8,49.9,61.6,61.8,42.3
California,3/29/1980,44.7,53.5,65.6,63.8,44.1
California,3/30/1980,45.7,53.8,64.1,63.2,43.9
California,3/31/1980,41.3,50.4,59.8,60.4,42.4
California,4/1/1980,40.3,47.6,57.2,57.6,40.1
California,4/2/1980,38.7,46.9,55.9,57.2,39.5
California,4/3/1980,39.6,47.6,58.5,58.1,40.3
California,4/4/1980,42.5,50.3,60,58.8,42.4
California,4/5/1980,45.2,51.1,58,59.5,44
California,4/6/1980,44.4,51.8,60.6,61.5,44.2
California,4/7/1980,42.9,52.4,66,65.7,44.8
California,4/8/1980,47.2,56.9,70.4,68.4,46.9
California,4/9/1980,50.7,59.1,68.9,69.7,48.4
California,4/10/1980,47.4,57.4,69.9,70.3,49.7
California,4/11/1980,51.1,60.3,72.2,71.5,49.6
California,4/12/1980,50.4,60.8,72.5,72.8,51.2
California,4/13/1980,52.2,61.8,73.6,72.3,51
California,4/14/1980,50.5,59.3,70.8,72.1,50.3
California,4/15/1980,48.3,58.4,72,73.4,51
California,4/16/1980,54.1,63.6,77.3,75.1,52.1
California,4/17/1980,54,65,76.1,76.3,53.9
California,4/18/1980,53.7,63.7,75.5,76.2,54.4
California,4/19/1980,55.4,65.2,76.9,75.3,54.4
California,4/20/1980,54.2,62.3,73.5,71,52.1
California,4/21/1980,46.6,52.7,62.7,63.8,47.1
California,4/22/1980,40.6,47.1,55.1,58.5,43.2
California,4/23/1980,42.5,48.4,57.6,58.3,42.2
California,4/24/1980,43.5,51.3,62.3,61.7,43.6
California,4/25/1980,44.8,54,65.2,64.9,44.9
California,4/26/1980,46.4,56,67.2,68,47.1
California,4/27/1980,50.1,59.5,71.5,69.4,49.5
California,4/28/1980,52,59.3,69.4,67.9,49.8
California,4/29/1980,47.2,54.5,62.7,65.5,49.1
California,4/30/1980,48.1,55.1,64.4,63.9,47.4
California,5/1/1980,47,55.5,64.5,66.4,48.1
California,5/2/1980,49.2,58.1,70.4,69.2,49.7
California,5/3/1980,52.9,61.7,72.8,72.4,51.8
California,5/4/1980,53.3,62.9,73.9,73.1,53.4
California,5/5/1980,53.9,62.9,72.6,72.4,52.9
California,5/6/1980,51.4,60.9,70.8,71,51.5
California,5/7/1980,49.1,59.5,69.6,68.9,49.2
California,5/8/1980,47,56.4,66.3,66.6,47.6
California,5/9/1980,46.7,53.8,64,62.4,46.7
California,5/10/1980,46.3,51,57,60.1,44.6
California,5/11/1980,40.9,49.5,59.3,59,43.9
California,5/12/1980,44.6,52,60.8,61.3,43.6
California,5/13/1980,45.2,53.7,63.7,62.8,45.4
California,5/14/1980,46.4,54.6,63.9,64.6,45.6
California,5/15/1980,45.3,55.1,66.3,67.1,46.6
California,5/16/1980,48.2,58.1,71,70.8,48.3
California,5/17/1980,51.5,62.2,75.1,74.7,51.7
California,5/18/1980,55.5,66.1,78,77.5,54.4
California,5/19/1980,56.2,67,79.5,78.8,56.7
California,5/20/1980,58.4,68.3,79,78.2,55.7
California,5/21/1980,52.6,62.7,76.1,74.1,53.4
California,5/22/1980,49.3,57.2,67.2,68.6,49.1
California,5/23/1980,45.5,53.1,62.4,62.9,45
California,5/24/1980,40.1,49.8,59.2,61.1,42.1
California,5/25/1980,40.7,50.7,61.7,61.5,41.4
California,5/26/1980,43.3,53.4,63.7,62.9,42.5
California,5/27/1980,43.4,53.1,63.2,63.5,43.6
California,5/28/1980,44.1,53.4,63.6,64.6,44.1
California,5/29/1980,44.8,55,67,65.4,45.2
California,5/30/1980,46.7,56,65.5,65.9,45.7
California,5/31/1980,45.6,54.9,65.2,65.8,46.2
California,6/1/1980,46.2,55.6,66.8,66.2,46.4
California,6/2/1980,47.3,56.8,66.6,66.3,46.6
California,6/3/1980,46.4,55.9,65.5,66.9,47.2
California,6/4/1980,47.8,57.4,68.5,67.4,47.4
California,6/5/1980,48,58.2,68.3,68.5,47.4
California,6/6/1980,46.5,57.2,68.7,70.6,47.9
California,6/7/1980,49.2,60.4,74.8,73.8,49.7
California,6/8/1980,53.4,64.6,77.8,77.3,52.6
California,6/9/1980,55.1,66.5,79.3,78.2,54.5
California,6/10/1980,54.9,66,77.6,77,54.3
California,6/11/1980,52.8,63.3,74.2,74.6,53
California,6/12/1980,51.3,61.8,72,72.7,51.5
California,6/13/1980,50.4,61,72,73,50.9
California,6/14/1980,50.9,62,75.1,76.2,52.2
California,6/15/1980,55.3,67,81.4,79.6,54.7
California,6/16/1980,57.8,69.5,82.3,81.8,56.8
California,6/17/1980,57.3,69.4,81.7,81.2,57
California,6/18/1980,55.9,67.4,79.6,80.1,56.5
California,6/19/1980,56.2,66.7,78.9,78.9,56.1
California,6/20/1980,56.2,66.8,78.2,78.3,55.8
California,6/21/1980,55.1,66,77.8,77.7,55.3
California,6/22/1980,54.6,65.6,77.1,77,54.9
California,6/23/1980,55,65.4,76.2,76.4,54.4
California,6/24/1980,53.7,64.5,75.9,76.7,54.4
California,6/25/1980,54.5,65.4,78,79,54.8
California,6/26/1980,56.2,67.7,83.2,83.3,57.7
California,6/27/1980,62.3,73.9,88.7,87.7,62.1
California,6/28/1980,67.9,78.2,91.2,89.2,65.3
California,6/29/1980,65.6,76.5,87.7,87.7,66.1
California,6/30/1980,64.7,73.8,84.2,83.8,64
California,7/1/1980,61.7,69.9,79.5,79.9,62.6
California,7/2/1980,61.4,68.1,76,78.4,60.1
California,7/3/1980,57.3,67.1,79.6,78.7,58.6
California,7/4/1980,57,68.2,80.6,80.8,57.5
California,7/5/1980,58.3,69.4,82.1,81.1,58.1
California,7/6/1980,59.1,69.9,80.7,80.7,58.7
California,7/7/1980,58.8,68.9,79.4,79.5,58.3
California,7/8/1980,57,67.6,78.4,79.4,57.5
California,7/9/1980,56.7,67.8,80.4,81.4,57.7
California,7/10/1980,59.4,70.9,85.3,84.1,59.6
California,7/11/1980,62.7,74.3,86.6,85.4,61.1
California,7/12/1980,61.1,71.5,84.3,83.2,60.5
California,7/13/1980,57.6,67.8,78.7,81.4,58.7
California,7/14/1980,57.4,68.4,81.2,82.4,58.9
California,7/15/1980,61.6,72.5,87.3,86.4,61.5
California,7/16/1980,65.6,77.2,90.8,88.9,63.9
California,7/17/1980,64.5,76.1,88.6,88.1,64.2
California,7/18/1980,62.5,73.1,84.8,85.8,62.4
California,7/19/1980,60.2,71.1,84.1,84.8,61.2
California,7/20/1980,60.9,72.3,85.5,85.9,61.3
California,7/21/1980,62.7,74.3,88.1,88.2,63
California,7/22/1980,65.5,76.8,91,89.6,65.4
California,7/23/1980,67.9,78.4,89.8,90.2,66.7
California,7/24/1980,66.7,77.6,89.7,91.1,68
California,7/25/1980,69.3,79.9,93.9,92,69.6
California,7/26/1980,72.8,81.9,92.4,93.3,71.2
California,7/27/1980,71.4,81.1,93.7,93.4,72
California,7/28/1980,71.9,82.2,94,93.6,71.7
California,7/29/1980,71.7,81.6,93.1,92.8,71.3
California,7/30/1980,70.4,80.8,91.2,91.9,70.6
California,7/31/1980,69.8,80.1,91.3,91.6,69.9
California,8/1/1980,69.6,80.1,92.3,91.5,69.5
California,8/2/1980,69,79.5,90.9,90.3,67.6
California,8/3/1980,64.2,75.5,87.7,87.5,64.9
California,8/4/1980,61.6,71.8,83.8,84.4,61.7
California,8/5/1980,59.4,69.4,81.8,83.4,60.7
California,8/6/1980,61.2,71.1,84.6,85,61.2
California,8/7/1980,62.9,74.2,88.5,87.2,63.1
California,8/8/1980,65.1,76.1,88.6,89.1,64.7
California,8/9/1980,66.1,77.1,90.1,89.9,65.7
California,8/10/1980,66,77.3,91,90.7,66.2
California,8/11/1980,66.6,78.1,91.1,90.5,66.7
California,8/12/1980,67.6,78,89.4,88.9,65.7
California,8/13/1980,63,72.9,86.3,85,62.7
California,8/14/1980,57.4,67,79.4,81.1,58.4
California,8/15/1980,54.7,65,77.7,78.4,56
California,8/16/1980,56,66,78,78.5,55.9
California,8/17/1980,56.9,66.9,79.7,78.3,56.1
California,8/18/1980,55.5,65.4,77.1,77.4,55
California,8/19/1980,52.6,62.4,75.3,77.5,54.6
California,8/20/1980,55.6,65.7,80.1,78.8,55.5
California,8/21/1980,58.3,68.6,81.1,80.1,57.1
California,8/22/1980,57.3,67.4,79,79.7,56.7
California,8/23/1980,54.4,65.1,78.9,79.2,56
California,8/24/1980,56.3,66.5,79.6,79.5,56.1
California,8/25/1980,57.5,67.4,79.9,80.4,57.4
California,8/26/1980,58.4,68.6,81.7,80.8,58.2
California,8/27/1980,58.7,68.8,80.7,80.7,57.9
California,8/28/1980,56.6,67.1,79.8,80.4,58.2
California,8/29/1980,59.2,68,80.6,79.6,58.3
California,8/30/1980,59.1,67.8,78.3,78.5,58
California,8/31/1980,55.8,65.2,76.6,77.9,56.8
California,9/1/1980,55.6,65.4,78.9,78.6,56.1
California,9/2/1980,56.8,66.9,80.2,79.9,56.5
California,9/3/1980,57.1,67.4,80.6,81.3,57.7
California,9/4/1980,59.2,69,83,82.3,59.2
