Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
CanadaCentral,1/1/1981,5.9,19,14.7,-2.6
CanadaCentral,1/2/1981,-11,10.5,11.1,-5.6
CanadaCentral,1/3/1981,-11.7,3.7,9.3,-8.7
CanadaCentral,1/4/1981,-3.3,13.8,14.9,-1.2
CanadaCentral,1/5/1981,11.5,27.1,21,0.1
CanadaCentral,1/6/1981,-7.8,22.3,18,-1.8
CanadaCentral,1/7/1981,-9.1,4.7,12.6,-8.5
CanadaCentral,1/8/1981,-8.4,10.8,4.6,-12.5
CanadaCentral,1/9/1981,-20,-1.5,5.9,-12.7
CanadaCentral,1/10/1981,-9.7,8.5,10.6,-10.5
CanadaCentral,1/11/1981,-1.7,24.7,20,0.1
CanadaCentral,1/12/1981,11.7,26.9,26.1,8.4
CanadaCentral,1/13/1981,15.1,26.8,26.1,11.4
CanadaCentral,1/14/1981,7.4,24.6,21.4,7.6
CanadaCentral,1/15/1981,0.4,12.8,20,1.8
CanadaCentral,1/16/1981,-2.3,22.5,22.2,3.6
CanadaCentral,1/17/1981,12.8,31.3,28.5,7
CanadaCentral,1/18/1981,10.6,31.6,28.7,10.3
CanadaCentral,1/19/1981,7.4,23.1,28.3,6.6
CanadaCentral,1/20/1981,1.8,30.3,29.4,7.2
CanadaCentral,1/21/1981,12.2,34.7,34.4,8.9
CanadaCentral,1/22/1981,12.6,38.3,38.5,15.2
CanadaCentral,1/23/1981,20.8,42.4,39.2,18.1
CanadaCentral,1/24/1981,20.9,36.9,36.5,20.6
CanadaCentral,1/25/1981,20.2,30.1,29.7,10.2
CanadaCentral,1/26/1981,-10.5,22.2,21,-2.3
CanadaCentral,1/27/1981,-16.5,10.7,13.8,-12.6
CanadaCentral,1/28/1981,-10.7,8.4,7,-16
CanadaCentral,1/29/1981,-20.9,1.8,9.7,-13.2
CanadaCentral,1/30/1981,-8.1,19,12.6,-9.3
CanadaCentral,1/31/1981,1.2,17.1,13.1,-5.5
CanadaCentral,2/1/1981,-9.5,3.3,7.3,-6.6
CanadaCentral,2/2/1981,-11.6,1.6,3.5,-10.1
CanadaCentral,2/3/1981,-9.3,5.6,9.7,-11.6
CanadaCentral,2/4/1981,-14,21.9,16.5,-3.1
CanadaCentral,2/5/1981,13.9,21.9,21.4,2.5
CanadaCentral,2/6/1981,7.6,20.5,18.4,2.9
CanadaCentral,2/7/1981,-12.8,12.9,10.2,-8
CanadaCentral,2/8/1981,-18.8,-2.9,0.9,-18.6
CanadaCentral,2/9/1981,-24.3,-7.2,-7.6,-24.1
CanadaCentral,2/10/1981,-29.1,-12.8,-8.8,-26.8
CanadaCentral,2/11/1981,-26.8,-6.6,-5.9,-26.2
CanadaCentral,2/12/1981,-22.7,1.6,4.1,-19
CanadaCentral,2/13/1981,-7.3,17.3,18.7,-7
CanadaCentral,2/14/1981,9.1,37.3,31.7,9.8
CanadaCentral,2/15/1981,27.5,40.5,39.9,20.7
CanadaCentral,2/16/1981,25.6,42,41.4,28.2
CanadaCentral,2/17/1981,31.5,41.6,40.6,28.6
CanadaCentral,2/18/1981,28.8,38.2,40,30
CanadaCentral,2/19/1981,29.7,40.1,39,29.8
CanadaCentral,2/20/1981,30.8,38.6,40.1,29.3
CanadaCentral,2/21/1981,27.4,41.6,40.3,28.2
CanadaCentral,2/22/1981,26.3,40.6,42.1,26
CanadaCentral,2/23/1981,24.3,44.2,37.9,23.1
CanadaCentral,2/24/1981,18.7,28.9,33.9,20
CanadaCentral,2/25/1981,17.1,28.7,31.8,18.4
CanadaCentral,2/26/1981,19.4,38,33.1,19.8
CanadaCentral,2/27/1981,22.8,32.6,34.2,20.7
CanadaCentral,2/28/1981,19.9,32.1,31.8,17.9
CanadaCentral,3/1/1981,11,30.7,30.6,11.9
CanadaCentral,3/2/1981,4.7,29,33,11
CanadaCentral,3/3/1981,17.3,39.3,32.8,13.1
CanadaCentral,3/4/1981,17.4,30,32.8,15.4
CanadaCentral,3/5/1981,11.5,29.2,29.5,13.1
CanadaCentral,3/6/1981,10.4,29.2,30.2,12.1
CanadaCentral,3/7/1981,14.4,32.3,32.8,15.1
