Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Date
CanadaWest,1/1/1981,22,35.8,32,21,1-Jan
CanadaWest,1/2/1981,19.9,28.2,33.9,20.4,2-Jan
CanadaWest,1/3/1981,19.3,37.6,36,21.5,3-Jan
CanadaWest,1/4/1981,25.3,42.1,40.3,26.3,4-Jan
CanadaWest,1/5/1981,34.4,41,41.6,29,5-Jan
CanadaWest,1/6/1981,27.3,41.5,40.7,30.4,6-Jan
CanadaWest,1/7/1981,29.5,39.5,40.1,26.5,7-Jan
CanadaWest,1/8/1981,22.7,39.2,39.3,26.9,8-Jan
CanadaWest,1/9/1981,28.4,39.2,39.7,25.9,9-Jan
CanadaWest,1/10/1981,26.4,40.7,40.4,26.6,10-Jan
CanadaWest,1/11/1981,24.9,41.1,42.7,24.7,11-Jan
CanadaWest,1/12/1981,22.9,46.4,43,23.7,12-Jan
CanadaWest,1/13/1981,23.4,41.6,42.4,24.6,13-Jan
CanadaWest,1/14/1981,27.5,39.2,37.6,23.8,14-Jan
CanadaWest,1/15/1981,20.7,32.1,35.9,24.4,15-Jan
CanadaWest,1/16/1981,25,36.4,33.6,24.4,16-Jan
CanadaWest,1/17/1981,27.6,32.4,38.7,27.1,17-Jan
CanadaWest,1/18/1981,28.8,47.2,42.5,27.5,18-Jan
CanadaWest,1/19/1981,26,47.9,49.1,28.1,19-Jan
CanadaWest,1/20/1981,29.4,52.3,49.7,30.1,20-Jan
CanadaWest,1/21/1981,34.9,49,50,33.3,21-Jan
CanadaWest,1/22/1981,35.6,48.6,48.2,35.7,22-Jan
CanadaWest,1/23/1981,36.6,47.1,45.5,35.6,23-Jan
CanadaWest,1/24/1981,34.4,40.8,42.4,34.8,24-Jan
CanadaWest,1/25/1981,33.4,39.3,38.8,33.2,25-Jan
CanadaWest,1/26/1981,31.7,36.2,36.5,30.9,26-Jan
CanadaWest,1/27/1981,27.6,34,33.7,28.2,27-Jan
CanadaWest,1/28/1981,25.2,31.1,32.3,26.7,28-Jan
CanadaWest,1/29/1981,27.3,32,32,26.3,29-Jan
CanadaWest,1/30/1981,26.3,33,34.1,25.1,30-Jan
CanadaWest,1/31/1981,21.7,37.2,34.5,24,31-Jan
CanadaWest,2/1/1981,23.9,33.3,36.3,22.1,1-Feb
CanadaWest,2/2/1981,20.8,38.5,37.6,23.1,2-Feb
CanadaWest,2/3/1981,24.7,41,39.5,24.2,3-Feb
CanadaWest,2/4/1981,27,39,38.5,23.5,4-Feb
CanadaWest,2/5/1981,18.8,35.6,36.1,23.1,5-Feb
CanadaWest,2/6/1981,23.4,33.7,32.3,17.7,6-Feb
CanadaWest,2/7/1981,10.8,27.7,29.4,16.7,7-Feb
CanadaWest,2/8/1981,15.9,26.8,25.1,12.6,8-Feb
CanadaWest,2/9/1981,11.1,20.9,23.1,10.2,9-Feb
CanadaWest,2/10/1981,3.6,21.5,22,7.4,10-Feb
CanadaWest,2/11/1981,7.7,23.4,25.4,8.8,11-Feb
CanadaWest,2/12/1981,15.1,31.3,32,15,12-Feb
CanadaWest,2/13/1981,22.1,41.3,40.8,22.5,13-Feb
CanadaWest,2/14/1981,30.2,50,46.6,29.8,14-Feb
CanadaWest,2/15/1981,37.1,48.5,49.2,32.9,15-Feb
CanadaWest,2/16/1981,31.5,49,49.1,34.9,16-Feb
CanadaWest,2/17/1981,36.1,49.9,49.5,34.9,17-Feb
CanadaWest,2/18/1981,37.1,49.8,49.2,36.2,18-Feb
CanadaWest,2/19/1981,35.3,48.1,47.8,33.6,19-Feb
CanadaWest,2/20/1981,28.3,45.7,46.8,33.2,20-Feb
CanadaWest,2/21/1981,35.9,46.6,47.1,33.3,21-Feb
CanadaWest,2/22/1981,35.7,49.1,46.7,34.4,22-Feb
CanadaWest,2/23/1981,31.6,44.5,44.3,33.8,23-Feb
CanadaWest,2/24/1981,34.2,39.2,39.5,32.5,24-Feb
CanadaWest,2/25/1981,31.6,34.8,37.4,32.1,25-Feb
CanadaWest,2/26/1981,30.6,38.2,38.4,29.8,26-Feb
CanadaWest,2/27/1981,27.1,42.3,42.9,28.9,27-Feb
CanadaWest,2/28/1981,29,48.1,45.5,28,28-Feb
CanadaWest,3/1/1981,27.8,46.1,47.2,29.6,1-Mar
CanadaWest,3/2/1981,32,47.2,41.9,30.8,2-Mar
CanadaWest,3/3/1981,32.7,32.4,40.9,32.6,3-Mar
CanadaWest,3/4/1981,33.1,43,38.7,32.4,4-Mar
CanadaWest,3/5/1981,31.3,40.7,41.7,30.1,5-Mar
CanadaWest,3/6/1981,26,41.3,40.6,28.9,6-Mar
CanadaWest,3/7/1981,29.3,39.7,43.4,29.2,7-Mar
CanadaWest,3/8/1981,32.4,49.4,47.4,29.8,8-Mar
CanadaWest,3/9/1981,27.7,53.3,52.9,31.2,9-Mar
CanadaWest,3/10/1981,33.5,56,53.6,32.1,10-Mar
CanadaWest,3/11/1981,35.1,51.4,53.4,34,11-Mar
CanadaWest,3/12/1981,33.4,52.7,52.5,33.9,12-Mar
CanadaWest,3/13/1981,33.3,53.5,52.6,35,13-Mar
CanadaWest,3/14/1981,38.2,51.6,52.6,36.6,14-Mar
CanadaWest,3/15/1981,38.3,52.7,52.1,37.7,15-Mar
CanadaWest,3/16/1981,36.5,52,50.9,36.4,16-Mar
CanadaWest,3/17/1981,34.5,47.9,50.3,34.9,17-Mar
CanadaWest,3/18/1981,33.6,50.9,48.9,34.2,18-Mar
CanadaWest,3/19/1981,34.6,48,45.4,30,19-Mar
CanadaWest,3/20/1981,21.7,37.4,42.4,26.6,20-Mar
CanadaWest,3/21/1981,23.7,41.8,41.5,24,21-Mar
CanadaWest,3/22/1981,26.8,45.4,44.6,28.4,22-Mar
CanadaWest,3/23/1981,34.8,46.6,48.5,32.4,23-Mar
CanadaWest,3/24/1981,35.6,53.5,51.5,35.8,24-Mar
CanadaWest,3/25/1981,37.1,54.3,53.3,36.1,25-Mar
CanadaWest,3/26/1981,35.6,52.2,53,35.7,26-Mar
CanadaWest,3/27/1981,34.5,52.6,52.6,36.1,27-Mar
CanadaWest,3/28/1981,38.3,53,51.1,36.8,28-Mar
CanadaWest,3/29/1981,37.8,47.6,49.1,37.7,29-Mar
CanadaWest,3/30/1981,37.1,46.6,49,37,30-Mar
CanadaWest,3/31/1981,36,52.7,48.4,36.5,31-Mar
CanadaWest,4/1/1981,36.4,45.9,49.5,36,1-Apr
CanadaWest,4/2/1981,35.6,49.9,47.8,35.5,2-Apr
CanadaWest,4/3/1981,34.6,47.5,48.1,35.3,3-Apr
CanadaWest,4/4/1981,35.6,46.9,49.7,35.8,4-Apr
CanadaWest,4/5/1981,37.3,54.6,49.7,36.1,5-Apr
CanadaWest,4/6/1981,35.5,47.5,48.7,35.5,6-Apr
CanadaWest,4/7/1981,33.7,44,47.4,34.3,7-Apr
CanadaWest,4/8/1981,33.8,50.6,47.3,34.2,8-Apr
CanadaWest,4/9/1981,35.2,47.4,48.5,34,9-Apr
CanadaWest,4/10/1981,33.1,47.4,46.1,33.6,10-Apr
CanadaWest,4/11/1981,32.6,43.3,41.3,29.3,11-Apr
CanadaWest,4/12/1981,22.3,33.3,40.4,26.7,12-Apr
CanadaWest,4/13/1981,25.3,44.6,45.1,26.1,13-Apr
CanadaWest,4/14/1981,30.6,57.3,54.5,31,14-Apr
CanadaWest,4/15/1981,37,61.6,57.6,36.1,15-Apr
CanadaWest,4/16/1981,40.9,54,56.9,37.7,16-Apr
CanadaWest,4/17/1981,35.4,54.9,54.8,37.2,17-Apr
CanadaWest,4/18/1981,35.5,55.5,58.4,36.4,18-Apr
CanadaWest,4/19/1981,38.4,64.7,59.7,39.3,19-Apr
CanadaWest,4/20/1981,44,58.9,59.6,41.3,20-Apr
CanadaWest,4/21/1981,41.6,55.1,57.6,42.2,21-Apr
CanadaWest,4/22/1981,41.1,58.8,60,42.3,22-Apr
CanadaWest,4/23/1981,44.2,66,55.5,43,23-Apr
CanadaWest,4/24/1981,43.8,41.7,54.2,41.3,24-Apr
CanadaWest,4/25/1981,36.1,54.8,51.3,38,25-Apr
CanadaWest,4/26/1981,34.2,57.4,55.5,36,26-Apr
CanadaWest,4/27/1981,37.8,54.2,56.9,38,27-Apr
CanadaWest,4/28/1981,42,59.1,57.9,41.3,28-Apr
CanadaWest,4/29/1981,44,60.4,61.7,42.5,29-Apr
CanadaWest,4/30/1981,41.4,65.5,62.2,43.6,30-Apr
CanadaWest,5/1/1981,45.3,60.7,61.4,43,1-May
CanadaWest,5/2/1981,42.3,58.1,56.2,42.5,2-May
CanadaWest,5/3/1981,40,49.7,54.2,37.1,3-May
CanadaWest,5/4/1981,28.9,54.9,53.5,36,4-May
CanadaWest,5/5/1981,39,55.9,53.8,36.9,5-May
CanadaWest,5/6/1981,42.8,50.5,54.6,42.4,6-May
CanadaWest,5/7/1981,45.3,57.4,55.2,44.2,7-May
CanadaWest,5/8/1981,44.5,57.6,56.9,45.2,8-May
CanadaWest,5/9/1981,45.7,55.6,57.6,43.5,9-May
CanadaWest,5/10/1981,40.4,59.7,59,42.2,10-May
CanadaWest,5/11/1981,40.4,61.6,62.1,40.7,11-May
CanadaWest,5/12/1981,41.4,65.1,63.4,42.5,12-May
CanadaWest,5/13/1981,45.9,63.4,62.4,44.9,13-May
CanadaWest,5/14/1981,47.5,58.7,60.1,45,14-May
CanadaWest,5/15/1981,41.5,58.2,58.1,44.6,15-May
CanadaWest,5/16/1981,44.8,57.2,59.2,44.3,16-May
CanadaWest,5/17/1981,46.6,62.3,61.9,46.7,17-May
CanadaWest,5/18/1981,48.8,66.3,64.2,48.2,18-May
CanadaWest,5/19/1981,49.1,64,66.4,49.3,19-May
CanadaWest,5/20/1981,50,68.9,66.2,50,20-May
CanadaWest,5/21/1981,50.9,65.6,67.9,49.6,21-May
CanadaWest,5/22/1981,48.1,69.2,67.7,49.7,22-May
CanadaWest,5/23/1981,50.2,68.3,68.7,49.9,23-May
CanadaWest,5/24/1981,51.5,68.5,69,50.2,24-May
CanadaWest,5/25/1981,48.8,70.2,67,50.7,25-May
CanadaWest,5/26/1981,51.7,62.4,66.7,49.3,26-May
CanadaWest,5/27/1981,47.5,67.5,65.8,49.5,27-May
CanadaWest,5/28/1981,49.2,67.5,68.7,49.2,28-May
CanadaWest,5/29/1981,50.8,71.1,69.8,50.6,29-May
CanadaWest,5/30/1981,51.6,70.7,67.3,50.9,30-May
CanadaWest,5/31/1981,50.2,60.3,66.5,50.1,31-May
CanadaWest,6/1/1981,48.4,68.6,65.2,50,1-Jun
CanadaWest,6/2/1981,51.5,66.9,66.1,50.7,2-Jun
CanadaWest,6/3/1981,52.2,62.9,63.5,50.9,3-Jun
CanadaWest,6/4/1981,48.9,60.6,62.1,50,4-Jun
CanadaWest,6/5/1981,48.9,62.7,57.1,48.7,5-Jun
CanadaWest,6/6/1981,48.1,48,57,47.8,6-Jun
CanadaWest,6/7/1981,46.2,60.3,56.7,47.4,7-Jun
CanadaWest,6/8/1981,47.9,61.6,61.7,47.3,8-Jun
CanadaWest,6/9/1981,47.8,63.1,61.7,47.9,9-Jun
CanadaWest,6/10/1981,48,60.5,61.9,46.4,10-Jun
CanadaWest,6/11/1981,43.5,62.1,61.9,45.9,11-Jun
CanadaWest,6/12/1981,46.2,62.9,62.2,45.6,12-Jun
CanadaWest,6/13/1981,47.2,61.6,64.2,47.3,13-Jun
CanadaWest,6/14/1981,48.6,68.1,64.8,48.2,14-Jun
CanadaWest,6/15/1981,48.8,64.6,64.3,48.7,15-Jun
