Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
ERCOT,1/1/1980,32.1,42,57.4,59.4,34.3
ERCOT,1/2/1980,36.5,45.2,61.4,58.4,38.5
ERCOT,1/3/1980,46.9,50.7,56.3,56.3,38.4
ERCOT,1/4/1980,31.8,41,51.3,54.5,37
ERCOT,1/5/1980,32.4,41.2,55.8,58.4,34.9
ERCOT,1/6/1980,40.4,49.9,68.1,62.3,39.2
ERCOT,1/7/1980,44.7,52.5,63,60.5,42.8
ERCOT,1/8/1980,43.3,46.1,50.3,55.2,43.9
ERCOT,1/9/1980,43.6,46.3,52.2,54.4,44.8
ERCOT,1/10/1980,47.6,51.5,60.7,60,48.2
ERCOT,1/11/1980,53.5,59.5,67.2,61.8,47.2
ERCOT,1/12/1980,40.4,48.2,57.5,63.5,43.5
ERCOT,1/13/1980,36.6,46.9,65.8,64.2,41.4
ERCOT,1/14/1980,47.3,55,69.2,68.2,46.9
ERCOT,1/15/1980,56.8,61,69.7,69.7,53.6
ERCOT,1/16/1980,56.8,62.5,70.2,68.3,56.1
ERCOT,1/17/1980,54.6,58.8,64.9,67.5,53.8
ERCOT,1/18/1980,49.9,56.6,67.3,65.1,52.4
ERCOT,1/19/1980,52.6,56.9,63,63.7,53.1
ERCOT,1/20/1980,56.7,58.2,60.7,60.6,54.3
ERCOT,1/21/1980,53.7,55.6,58,58.4,52.2
ERCOT,1/22/1980,46.3,52.5,56.5,55.3,43.8
ERCOT,1/23/1980,31.4,40.6,51.4,56.4,37.1
ERCOT,1/24/1980,33.6,43.8,61.3,57.5,36.3
ERCOT,1/25/1980,43.8,49.8,59.7,61.7,41.3
ERCOT,1/26/1980,46.5,52.8,64.2,59.9,43.4
ERCOT,1/27/1980,39.9,45.6,55.7,57,43.1
ERCOT,1/28/1980,42.8,45.8,51.1,52.1,42.6
ERCOT,1/29/1980,45,47.3,49.6,53.3,44.5
ERCOT,1/30/1980,45.6,50,59.1,55,41.7
ERCOT,1/31/1980,34.4,42.4,56.3,51.6,36.2
ERCOT,2/1/1980,28.7,33.3,39.5,45.1,32.3
ERCOT,2/2/1980,33.8,36.3,39.5,45.3,32.9
ERCOT,2/3/1980,36.1,41.8,56.9,52.4,35.4
ERCOT,2/4/1980,36.3,46.1,60.7,59.7,40.6
ERCOT,2/5/1980,49.5,53.9,61.5,61.1,41.3
ERCOT,2/6/1980,38.2,49.2,61,59.9,44
ERCOT,2/7/1980,44.3,49.4,57.3,57.7,44.5
ERCOT,2/8/1980,50.9,52.5,54.8,53.8,43.3
ERCOT,2/9/1980,34.8,39.2,49.3,49.3,36.6
ERCOT,2/10/1980,24.1,32.3,43.9,47.8,29.3
ERCOT,2/11/1980,28.9,36.8,50.2,48.5,29.6
ERCOT,2/12/1980,35.7,41.8,51.5,52.6,34.8
ERCOT,2/13/1980,39.9,45.4,56.1,56.7,42.4
ERCOT,2/14/1980,51.7,54.9,62.5,64.4,49.3
ERCOT,2/15/1980,56.3,61.5,74.7,68.4,47.9
ERCOT,2/16/1980,35.6,45.1,68,61.2,38.3
ERCOT,2/17/1980,23.1,30.5,40.8,52.6,30.3
ERCOT,2/18/1980,32.2,37.6,49,55.3,32.9
ERCOT,2/19/1980,43.4,53.6,76,67.9,42.3
ERCOT,2/20/1980,51.2,62.4,78.6,76.9,50.5
ERCOT,2/21/1980,56.8,65.1,76,77.6,53.3
ERCOT,2/22/1980,51.8,62.1,78.3,75.2,53.6
ERCOT,2/23/1980,52.1,60.6,71.2,73.7,51.3
ERCOT,2/24/1980,49.9,58.6,71.7,68.5,46.6
ERCOT,2/25/1980,37.7,51.2,62.5,64.1,40.2
ERCOT,2/26/1980,33,45.3,58.2,63.8,36.1
ERCOT,2/27/1980,37.6,50.4,70.7,68.5,39.5
ERCOT,2/28/1980,47.8,59.4,76.7,73.4,46
ERCOT,2/29/1980,52.6,62,72.8,71.3,43.9
ERCOT,3/1/1980,31.2,43.2,64.5,59,34.4
ERCOT,3/2/1980,19.5,28.5,39.7,54,25.5
ERCOT,3/3/1980,25.7,36.5,57.8,58.2,31.1
ERCOT,3/4/1980,48.2,57.5,77,68.7,39.6
ERCOT,3/5/1980,44.8,55.2,71.2,73.4,43.9
ERCOT,3/6/1980,38.8,51.6,71.9,74.1,48.2
ERCOT,3/7/1980,61.1,66.5,79.2,75,52.5
ERCOT,3/8/1980,57.7,64.7,73.8,75.9,55.9
ERCOT,3/9/1980,49,60.8,74.6,76.5,54.2
ERCOT,3/10/1980,55.8,65.7,81.2,76.9,54
ERCOT,3/11/1980,57.1,64.2,74.9,78.5,57.5
ERCOT,3/12/1980,59.6,66.3,79.3,76.2,55.5
ERCOT,3/13/1980,49.8,60.8,74.3,74.2,50.3
ERCOT,3/14/1980,41.4,54.6,69,72.5,45.8
ERCOT,3/15/1980,46.1,58.6,74.1,73.3,49.8
ERCOT,3/16/1980,61.9,67.3,76.8,75.1,54.3
ERCOT,3/17/1980,54.9,62,74.4,70.9,49.7
ERCOT,3/18/1980,32.4,46.7,61.4,68.8,44.5
ERCOT,3/19/1980,46.2,55.2,70.5,69.7,46.6
ERCOT,3/20/1980,61.3,67.1,77.2,72.2,49.6
ERCOT,3/21/1980,41.2,56.1,69,72.7,47.8
ERCOT,3/22/1980,40.9,55.2,72,72.1,47
ERCOT,3/23/1980,58.8,64.2,75.2,73.3,49.3
ERCOT,3/24/1980,48.1,59.8,72.6,70.3,51.5
ERCOT,3/25/1980,47.6,54.3,63.2,67,48.5
ERCOT,3/26/1980,49.7,55.9,65.3,63.9,51.4
ERCOT,3/27/1980,57,59.7,63.2,68.5,54.3
ERCOT,3/28/1980,56.2,63.4,76.9,70.9,55.8
ERCOT,3/29/1980,54.2,61.9,72.6,73,50.7
ERCOT,3/30/1980,41.7,55.5,69.5,72.4,46.6
ERCOT,3/31/1980,44,58.5,75,72.6,46.7
ERCOT,4/1/1980,54.3,62.7,73.3,74.4,53.2
ERCOT,4/2/1980,61.2,66.3,75,74.2,59.7
ERCOT,4/3/1980,63.7,68.1,74.4,73.4,57.8
ERCOT,4/4/1980,48.6,60.6,70.8,72.9,52.9
ERCOT,4/5/1980,46.4,59.1,73.5,73.8,49.4
ERCOT,4/6/1980,53.1,63.8,77.1,79,54.6
ERCOT,4/7/1980,64.3,72,86.3,81.2,58.1
ERCOT,4/8/1980,57,67.1,80.3,80.4,54.8
ERCOT,4/9/1980,43.2,59.3,74.6,78.3,49
ERCOT,4/10/1980,46.7,62.4,80,78.1,50.5
ERCOT,4/11/1980,61.7,69,79.7,78.8,53.7
ERCOT,4/12/1980,52.7,60.4,76.7,70.2,52.2
ERCOT,4/13/1980,42.3,47.6,54.2,66.3,43.1
ERCOT,4/14/1980,34.2,49,68,67.4,39.9
ERCOT,4/15/1980,43.1,59,80,76.8,42.8
ERCOT,4/16/1980,51.1,65.7,82.5,80.1,49.3
ERCOT,4/17/1980,53.7,66.7,77.8,78.3,52.2
ERCOT,4/18/1980,51.9,63.8,74.6,77,51.4
ERCOT,4/19/1980,48.7,63.4,78.7,78.3,50.8
ERCOT,4/20/1980,51.8,66.6,81.7,80.8,51.2
ERCOT,4/21/1980,53,68.3,81.9,81.5,53.4
ERCOT,4/22/1980,55.4,68.7,81,81.9,55.4
ERCOT,4/23/1980,57.7,70,82.8,81.6,57.2
ERCOT,4/24/1980,58.6,70.2,80.9,81.1,60.2
ERCOT,4/25/1980,64.3,70.4,79.6,79.2,57.9
ERCOT,4/26/1980,50.8,60.8,77.1,76.9,53.7
ERCOT,4/27/1980,46.1,59.6,73.9,76.7,48.2
ERCOT,4/28/1980,47.7,63.4,79,79.8,49
ERCOT,4/29/1980,53.3,69.1,86.6,82.6,54
ERCOT,4/30/1980,60.9,70.6,82.3,82.4,58.8
ERCOT,5/1/1980,62.3,69.5,78.4,80.9,61
ERCOT,5/2/1980,59.7,69.5,82.1,80,60.3
ERCOT,5/3/1980,58.8,69.6,79.4,79.5,59.6
ERCOT,5/4/1980,60.3,68.7,77,79.9,59.5
ERCOT,5/5/1980,59.3,70.7,83.4,81.7,60.2
ERCOT,5/6/1980,61,73.2,84.7,83.9,61.7
ERCOT,5/7/1980,64.7,73.3,83.5,82.8,63.2
ERCOT,5/8/1980,63.9,70.7,80.1,81.4,62.1
ERCOT,5/9/1980,57.7,68.8,80.7,83.2,61.3
ERCOT,5/10/1980,62.2,73.5,88.9,86.9,63.6
ERCOT,5/11/1980,70.9,79.2,91,89,68.4
ERCOT,5/12/1980,72.1,79,87.1,88.7,70.9
ERCOT,5/13/1980,69.7,77.1,88.1,86.5,68.6
ERCOT,5/14/1980,64.1,73.3,84.3,83.8,67.3
ERCOT,5/15/1980,68.1,72.6,78.9,81.3,66.3
ERCOT,5/16/1980,66.7,71.5,80.6,82.3,65.6
ERCOT,5/17/1980,62,73.4,87.4,84.4,64.6
ERCOT,5/18/1980,65.2,75,85.2,84.3,64.3
ERCOT,5/19/1980,65.6,72.5,80.3,83.6,64.2
ERCOT,5/20/1980,61.7,73.2,85.2,82.8,64.2
ERCOT,5/21/1980,65.2,74.2,82.8,83.3,63.2
ERCOT,5/22/1980,62.6,71.9,81.9,84.3,63.2
ERCOT,5/23/1980,61.8,73.7,88.1,87.6,64.5
ERCOT,5/24/1980,69.2,78.9,92.8,92.1,67.8
ERCOT,5/25/1980,72.5,82.8,95.3,94,71.2
ERCOT,5/26/1980,72,82.8,94,93.6,71.9
ERCOT,5/27/1980,71.2,81.6,91.6,92,71
ERCOT,5/28/1980,69.7,80.3,90.5,91.4,70.8
ERCOT,5/29/1980,71.4,81.1,92,91.7,70.5
ERCOT,5/30/1980,70.4,81.5,92.5,92.1,71.5
ERCOT,5/31/1980,72.6,81.9,91.9,92.5,71.3
ERCOT,6/1/1980,71,81.8,93.1,92.6,71.7
ERCOT,6/2/1980,71.5,81.6,92.9,93,70.5
ERCOT,6/3/1980,69,81.3,93,93.1,70.5
ERCOT,6/4/1980,70.9,82.3,93.5,94,70.8
ERCOT,6/5/1980,72.6,83.8,95.4,95.3,72.1
ERCOT,6/6/1980,72.9,84.5,97.1,97.2,73.6
ERCOT,6/7/1980,75.4,86.5,99,97.1,74.2
ERCOT,6/8/1980,74.4,83,95.3,93.2,73
ERCOT,6/9/1980,69.3,77.1,85.2,89.4,70.9
ERCOT,6/10/1980,68.9,77,87.7,88,68.1
ERCOT,6/11/1980,66.2,79.1,91.2,90.7,67.2
ERCOT,6/12/1980,66.4,80.3,93.3,92.8,66.1
ERCOT,6/13/1980,65.6,80.4,93.8,93.9,66.4
ERCOT,6/14/1980,67.2,81.2,94.6,94.9,68.2
ERCOT,6/15/1980,71.8,84,96.4,95.7,70.8
ERCOT,6/16/1980,73.4,85.3,96.2,96.4,72.4
ERCOT,6/17/1980,72,84.8,96.7,97.2,73.3
ERCOT,6/18/1980,74.5,86.5,98.8,98.4,74
ERCOT,6/19/1980,75.5,87.5,99.6,99.4,74.5
ERCOT,6/20/1980,73.6,86.3,99.8,97.5,74.5
ERCOT,6/21/1980,74.4,84,93.1,96.2,73.9
ERCOT,6/22/1980,73.7,84.6,95.8,96.4,74.2
ERCOT,6/23/1980,74.4,86,100.3,99.6,74.6
ERCOT,6/24/1980,75.7,88.3,102.8,102.4,75.3
ERCOT,6/25/1980,75.7,89.7,104,104.2,75.2
ERCOT,6/26/1980,74.3,89.8,105.9,106,74.7
ERCOT,6/27/1980,74.1,91,108,106.9,74.9
ERCOT,6/28/1980,76.4,91.7,106.9,105.9,75.2
ERCOT,6/29/1980,75,89.6,102.9,104.2,75
ERCOT,6/30/1980,73.7,88.1,102.7,103.3,74.7
ERCOT,7/1/1980,75.5,89.3,104.2,104.2,74.6
ERCOT,7/2/1980,74.7,90.2,105.7,104.5,74.8
ERCOT,7/3/1980,74.1,89.8,103.6,103.2,75
ERCOT,7/4/1980,76.1,89,100.3,101.2,74.1
ERCOT,7/5/1980,72.1,86.6,99.8,100,73.3
ERCOT,7/6/1980,71.7,86.4,99.8,100,72.8
ERCOT,7/7/1980,74.6,87.6,100.5,100.5,73.2
ERCOT,7/8/1980,73.2,87.4,101.3,101,73.4
ERCOT,7/9/1980,72.5,87.8,101.3,101.2,73
ERCOT,7/10/1980,73.3,87.7,101,101.3,72.7
ERCOT,7/11/1980,72.3,87.6,101.5,101.3,73
ERCOT,7/12/1980,73.5,87.9,101.3,101.7,73.1
ERCOT,7/13/1980,73.5,87.9,102.2,101.8,73.5
ERCOT,7/14/1980,73.4,87.9,102,102.3,74.1
ERCOT,7/15/1980,75.4,89.1,102.6,103,74
ERCOT,7/16/1980,73.3,88.8,104.4,104.1,73.6
ERCOT,7/17/1980,72,89.3,105.2,104,73.3
ERCOT,7/18/1980,74.7,89.5,102.5,102.1,73.6
ERCOT,7/19/1980,74.2,87.5,98.7,99.8,74.4
ERCOT,7/20/1980,74.3,86.7,98.3,98.1,74.3
ERCOT,7/21/1980,74.5,86.7,97.3,96.8,74.5
ERCOT,7/22/1980,74.8,85.1,94.9,96.8,73.4
ERCOT,7/23/1980,70.8,83.9,98.1,97.3,72.3
ERCOT,7/24/1980,71.4,85.7,99,98.6,71.6
ERCOT,7/25/1980,72.5,86.3,98.8,99,72.7
ERCOT,7/26/1980,74.3,86.8,99.3,98.6,74.1
ERCOT,7/27/1980,75.5,86.5,97.8,98.1,74.8
ERCOT,7/28/1980,74.5,85.9,97.3,98.4,74.5
ERCOT,7/29/1980,73.4,86.3,100.1,99.6,72.9
ERCOT,7/30/1980,70.7,86.6,101.4,100.9,71.3
ERCOT,7/31/1980,69.9,86.5,101.2,100.9,70.7
ERCOT,8/1/1980,71.6,86.2,100.2,100.5,71.7
ERCOT,8/2/1980,73.6,87.3,100,99.7,73.7
ERCOT,8/3/1980,76,87.6,98.8,98.9,75.3
ERCOT,8/4/1980,76.3,86.6,98,98.3,76.4
ERCOT,8/5/1980,76.9,87,98.1,98.3,75.9
ERCOT,8/6/1980,74.4,86.8,98.7,97.3,74.1
ERCOT,8/7/1980,71,84,95.1,97.8,72.4
ERCOT,8/8/1980,71.7,84.9,99.6,97.1,72.9
ERCOT,8/9/1980,76.1,86.5,96.7,96.4,74.4
ERCOT,8/10/1980,75.4,84.1,93,95.2,75.6
ERCOT,8/11/1980,75.4,85.2,96,95.1,74.3
