Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Florida,1/1/1980,49.2,52.7,56.8,59.2,43.8
Florida,1/2/1980,38.4,49,61.6,61,42.4
Florida,1/3/1980,39.6,50.1,64.7,65.4,42.1
Florida,1/4/1980,48.3,56.8,69.8,65.3,45.4
Florida,1/5/1980,48.3,54.7,61.5,62,43.9
Florida,1/6/1980,35.1,44.6,54.8,60.7,40.6
Florida,1/7/1980,38.5,48.8,65.9,64.7,41
Florida,1/8/1980,49.5,58.8,73.3,70.8,48
Florida,1/9/1980,56,63.8,73.3,74.2,54.5
Florida,1/10/1980,58,65.3,75.9,75.9,59
Florida,1/11/1980,63.1,68.7,78.4,75.1,61.1
Florida,1/12/1980,62.3,66.8,71.1,73.3,62.1
Florida,1/13/1980,61,64.6,70.5,69.6,61.4
Florida,1/14/1980,60.8,63.4,67.2,69.1,58.8
Florida,1/15/1980,54.5,60.8,69.6,69.9,55.1
Florida,1/16/1980,50,59.7,73,72.2,53.1
Florida,1/17/1980,54.9,63.2,74.1,73.4,53.9
Florida,1/18/1980,56.9,64,73.2,73.6,56.1
Florida,1/19/1980,56.4,64.3,73.4,73.1,55.9
Florida,1/20/1980,54.5,62.4,72.6,72.8,54.2
Florida,1/21/1980,51.8,61.1,72.5,73.3,52.9
Florida,1/22/1980,52.3,61.8,74.7,73.5,55.3
Florida,1/23/1980,61.8,66.7,73.3,69.2,51.4
Florida,1/24/1980,40,50.9,59.5,66.8,48
Florida,1/25/1980,42.1,52,67.6,66.6,46.1
Florida,1/26/1980,56.2,61.9,72.7,70.5,54.2
Florida,1/27/1980,64.3,66.6,71.1,69.6,59.6
Florida,1/28/1980,58.2,61.8,65,67.8,57
Florida,1/29/1980,48.6,57.2,67.2,67.5,51.7
Florida,1/30/1980,48.3,57.9,70.4,70,49.9
Florida,1/31/1980,52.8,60.9,72.4,68.5,48
Florida,2/1/1980,42.9,50.1,62.6,63.2,43.1
Florida,2/2/1980,33.5,42.2,54.5,56.9,39
Florida,2/3/1980,40.7,46.2,53.6,54.9,36.4
Florida,2/4/1980,35.1,45.1,56.6,56.6,37.1
Florida,2/5/1980,35.5,46.1,59.6,60.7,37.8
Florida,2/6/1980,42.7,52,66,61.1,38.5
Florida,2/7/1980,37.4,48.8,57.8,63.5,39.8
Florida,2/8/1980,39.4,50.7,66.6,65.6,42
Florida,2/9/1980,49.3,59.4,72.5,68.6,49.5
Florida,2/10/1980,59.9,62.9,66.7,67.1,51.9
Florida,2/11/1980,46.5,54.4,62.1,63.9,49.6
Florida,2/12/1980,42.5,52.2,63,64.1,44.9
Florida,2/13/1980,45.6,55.2,67.1,64.8,48.3
Florida,2/14/1980,56.9,59.7,64.4,66,53.9
Florida,2/15/1980,59.1,62,66.4,68.5,58
Florida,2/16/1980,58,64.6,74.8,69.6,57.3
Florida,2/17/1980,54.8,59.2,67.5,68.5,52.3
Florida,2/18/1980,44,52.7,63.3,66.6,51.5
Florida,2/19/1980,55.8,60.3,69.1,68.1,50.6
Florida,2/20/1980,52,61.7,71.9,72.5,54.4
Florida,2/21/1980,55.4,64.6,76.5,75.4,55.1
Florida,2/22/1980,57.9,66.9,77.9,78.2,58.2
Florida,2/23/1980,61.3,70,80.2,79.5,61
Florida,2/24/1980,63.8,70.6,80.4,78.2,63
Florida,2/25/1980,64,68.5,73.9,73.9,57.8
Florida,2/26/1980,45.5,55.1,67.4,68.1,49.4
Florida,2/27/1980,38.8,48.9,63.1,66.6,42.2
Florida,2/28/1980,42.3,53.9,69.3,68.2,43.3
Florida,2/29/1980,48.9,59.2,72.3,71.4,48.5
Florida,3/1/1980,54.2,62.6,72.7,70.3,49.3
Florida,3/2/1980,44.9,57.3,65.9,62.5,42.6
Florida,3/3/1980,28.6,38.3,48.9,60.2,36.3
Florida,3/4/1980,35.4,47.3,65.8,62.9,38.9
Florida,3/5/1980,52.6,61.4,74,72,48.1
Florida,3/6/1980,56.4,65.9,76.1,76.2,55.6
Florida,3/7/1980,57.9,66.6,78.5,78.1,58.4
Florida,3/8/1980,61,69.2,79.6,79.5,60.1
Florida,3/9/1980,61.4,69.8,80.4,79.9,61.4
Florida,3/10/1980,61.7,69.6,79.6,79.7,61.7
Florida,3/11/1980,62.1,69.6,79.1,79,62.2
Florida,3/12/1980,62.7,69.2,78.3,79.9,63.7
Florida,3/13/1980,66.2,72.9,82.3,78.2,62.8
Florida,3/14/1980,59.5,67.6,74,76.1,58.8
Florida,3/15/1980,50.8,61,72,74,55.5
Florida,3/16/1980,56.2,65.1,76,76.8,56.2
Florida,3/17/1980,61.7,70.5,82.5,79.9,60.9
Florida,3/18/1980,64.9,72.1,81.1,80.4,62.8
Florida,3/19/1980,61.7,68.9,77.7,80.8,64.1
Florida,3/20/1980,65.7,72.8,83.5,80.9,63.3
Florida,3/21/1980,62.4,71.1,81.5,78.7,58.1
Florida,3/22/1980,46.2,60.5,71.2,76.2,51.4
Florida,3/23/1980,45.6,59.7,75.8,75.6,49.9
Florida,3/24/1980,57.9,67.1,79.7,79.1,55
Florida,3/25/1980,61.6,70.4,81.9,81.5,60.4
Florida,3/26/1980,61.6,71.4,83,82,61.8
Florida,3/27/1980,62.3,71.1,81.2,82.6,64
Florida,3/28/1980,68,74.2,83.7,81.9,65.6
Florida,3/29/1980,66.4,72.4,80.8,81.7,67.4
Florida,3/30/1980,67.8,73.2,80.6,80,67.1
Florida,3/31/1980,67.2,72.6,78.7,76.9,64.5
Florida,4/1/1980,58.4,65.3,71.3,76,62.8
Florida,4/2/1980,62.9,69.5,78.1,78.8,62.6
Florida,4/3/1980,66.5,75.1,87,84,65.2
Florida,4/4/1980,66.1,75.7,86.9,83.3,65.3
Florida,4/5/1980,63.2,69.8,76,79.2,61.5
Florida,4/6/1980,55.2,64.8,74.8,75.9,60.1
Florida,4/7/1980,62,69.2,77,77.7,60.4
Florida,4/8/1980,64.1,71.8,81.3,79.5,64.3
Florida,4/9/1980,66.8,72.5,80.1,80.1,64.4
Florida,4/10/1980,62.4,70.8,78.9,80,62.6
Florida,4/11/1980,58.6,69.1,81,81.1,61.7
Florida,4/12/1980,64,72.7,83.4,83.4,63.5
Florida,4/13/1980,68,75.9,85.9,82.1,67
Florida,4/14/1980,69,73.9,76.9,78.5,64.3
Florida,4/15/1980,55.8,64.1,72.7,74.6,58.8
Florida,4/16/1980,51.7,63.7,74.3,74.3,53.7
Florida,4/17/1980,53.5,64.9,76,74.9,54.3
Florida,4/18/1980,57.7,66.2,74.3,75.3,57.4
Florida,4/19/1980,60.9,68.2,75.5,75.1,59.5
Florida,4/20/1980,60,66.8,75.4,76.7,59.5
Florida,4/21/1980,57.6,68.2,79.3,79.1,58.7
Florida,4/22/1980,58.6,70.5,82.6,82.1,58.2
Florida,4/23/1980,58.3,71.4,84.3,83.3,59.2
Florida,4/24/1980,60.8,72,83,83.5,59.7
Florida,4/25/1980,60,71.6,83.1,83.9,60.9
Florida,4/26/1980,62,73.4,85.6,83.7,62.8
Florida,4/27/1980,66.4,74.3,82.3,80.9,64.9
Florida,4/28/1980,66.3,70.5,74.7,77.9,62.1
Florida,4/29/1980,53.7,65,76.8,77.3,58.6
Florida,4/30/1980,55.7,67.9,80.4,77.7,56.6
Florida,5/1/1980,60.3,68.4,75.8,78.9,58.7
Florida,5/2/1980,60.1,70.1,80.5,78.9,60.6
Florida,5/3/1980,61.4,71.3,80.4,81,62.1
Florida,5/4/1980,64.7,73.1,82.1,81.7,63.4
Florida,5/5/1980,64,72.7,82.7,83.2,63.2
Florida,5/6/1980,60.9,72.7,84.7,84.5,62
Florida,5/7/1980,61.2,73.6,86.2,84.8,61.3
Florida,5/8/1980,61.7,72.7,83.5,83.3,62.9
Florida,5/9/1980,65.9,72.3,80.2,81.9,63.8
Florida,5/10/1980,63.9,72.2,81.9,81.9,65
Florida,5/11/1980,65.2,74.5,83.7,83.5,64.2
Florida,5/12/1980,63.4,74.1,84.8,84.8,64.2
Florida,5/13/1980,64,74.7,86,86.2,65.4
Florida,5/14/1980,68.8,77.3,87.7,87.3,67
Florida,5/15/1980,68.2,77.5,88.1,88.3,68.8
Florida,5/16/1980,69.5,78.4,89,88.3,69.9
Florida,5/17/1980,71.9,79.2,87.8,88.5,70.7
Florida,5/18/1980,70.7,79.2,88.8,88.6,70.9
Florida,5/19/1980,70.2,79.2,89.2,88.7,71.1
Florida,5/20/1980,72.3,79.2,88,88.4,70.9
Florida,5/21/1980,70.1,78.8,87.9,87.9,70.9
Florida,5/22/1980,70.3,78.6,87.8,87.3,70.6
Florida,5/23/1980,71.5,78.1,86.2,86.5,71.1
Florida,5/24/1980,71.5,78.1,85.6,85.9,71.9
Florida,5/25/1980,72.6,78.5,86,85.1,72
Florida,5/26/1980,71.9,77.2,83.7,84.9,70.7
Florida,5/27/1980,67.7,76.5,85.1,84.3,68.2
Florida,5/28/1980,65.1,75.1,84,84.8,65.8
Florida,5/29/1980,64.7,75,85.3,85,65.2
Florida,5/30/1980,65.8,76,85.6,85.9,66
Florida,5/31/1980,67.4,77.2,86.7,86,67.2
Florida,6/1/1980,68.5,77.1,85.6,86.6,67.2
Florida,6/2/1980,65.7,76.6,87.6,87.5,67.6
Florida,6/3/1980,68.7,78.9,89.3,89.5,67.9
Florida,6/4/1980,69.3,80.1,91.5,91.3,69.2
Florida,6/5/1980,69.5,80.9,93.1,90.7,70.5
Florida,6/6/1980,72.6,80.1,87.4,89.6,69.8
Florida,6/7/1980,67.2,77.9,88.3,89.1,69.7
Florida,6/8/1980,69.4,80.3,91.7,89.8,69.1
Florida,6/9/1980,70.6,80.2,89.5,89.3,70.5
Florida,6/10/1980,71.4,79,86.6,87,71
Florida,6/11/1980,70.9,77.8,84.8,86.1,70.9
Florida,6/12/1980,70.3,77.9,86.8,85.9,70.8
Florida,6/13/1980,71.1,78.5,86,86.5,69
Florida,6/14/1980,65.5,76.6,86.6,87.2,67.2
Florida,6/15/1980,65.1,77.1,89,88.6,65.8
Florida,6/16/1980,66.7,78.5,90.3,90.4,66.5
Florida,6/17/1980,67.6,79.7,92,91.1,68.2
Florida,6/18/1980,70.4,80.4,90.9,89.4,70.1
Florida,6/19/1980,72.4,79.3,85.4,88.2,72.1
Florida,6/20/1980,73.5,80.7,88.4,87,73
Florida,6/21/1980,73.1,80.1,87.2,87.5,73.5
Florida,6/22/1980,74,80.2,87,86.5,73.8
Florida,6/23/1980,74.2,79.4,85.3,86.5,74.2
Florida,6/24/1980,74.5,80.3,87.2,87,74.3
Florida,6/25/1980,74.1,81.2,88.6,87.4,74.1
Florida,6/26/1980,73.8,80.3,86.5,87.3,74
Florida,6/27/1980,74,80.4,86.8,88.2,73.5
Florida,6/28/1980,72.6,81.4,91.4,89.4,73.3
Florida,6/29/1980,73.4,81.9,89.9,90,73.4
Florida,6/30/1980,74.2,81.3,88.8,89.6,73.8
Florida,7/1/1980,73.7,81.6,90,89.3,73.5
Florida,7/2/1980,72.7,81,89.2,89.2,73.5
Florida,7/3/1980,74,81.3,88.3,88.9,73.6
Florida,7/4/1980,74.2,81.4,89.1,89.5,74
Florida,7/5/1980,73.7,82,91.1,91.1,73.9
Florida,7/6/1980,73.8,83,93,92,74.4
Florida,7/7/1980,75.8,83.6,91.9,91.2,75.4
Florida,7/8/1980,76.5,82.5,88.7,90.7,75.4
Florida,7/9/1980,73.9,82,91.6,90.7,74.9
Florida,7/10/1980,74.3,82.7,91.8,91.9,74.6
Florida,7/11/1980,75.5,83.9,92.4,92.1,75.7
Florida,7/12/1980,77.4,84.6,92.1,92.7,76.8
Florida,7/13/1980,77.5,84.9,93.6,93.2,77.8
Florida,7/14/1980,78.5,85.5,94,93.3,78
Florida,7/15/1980,77.9,84.7,92.3,91.9,77.4
Florida,7/16/1980,75.7,82.1,89.4,90.2,75.4
Florida,7/17/1980,72.5,80.1,88.8,88.7,73.9
Florida,7/18/1980,73.6,80.6,88,88.1,73.2
Florida,7/19/1980,73.6,80.4,87.4,87.1,74.1
Florida,7/20/1980,75,80.3,86,87.7,74.6
Florida,7/21/1980,75.2,82.1,89.7,88.1,74.5
Florida,7/22/1980,73.4,80.9,88.5,88.5,73.8
Florida,7/23/1980,72.7,79.7,87.2,86.7,73.5
Florida,7/24/1980,74.5,79.7,84.5,86.6,73.5
Florida,7/25/1980,73.3,79.9,88,87.3,74.8
Florida,7/26/1980,76.5,82.4,89.3,89.4,75.2
Florida,7/27/1980,75.9,83.2,90.8,90.3,75.8
Florida,7/28/1980,74.9,82.7,90.7,90.3,75.1
Florida,7/29/1980,74.6,82.2,89.5,90,73.9
Florida,7/30/1980,72.3,81.1,89.7,90.3,73.4
Florida,7/31/1980,73.4,82.1,91.6,91,73.1
Florida,8/1/1980,73.7,82.3,91.8,92.2,73.5
Florida,8/2/1980,73.5,82.9,93.2,92.6,73.1
Florida,8/3/1980,72,82.4,92.9,92.7,72.8
Florida,8/4/1980,72.8,82.4,91.9,91,73.1
Florida,8/5/1980,74.4,81.6,88.3,90.4,74.4
Florida,8/6/1980,75.9,83.2,91.1,90.6,75.6
Florida,8/7/1980,76.6,84.4,92.3,91.4,75.8
Florida,8/8/1980,74.8,83.1,90.9,91.2,74.6
Florida,8/9/1980,72.5,81.2,90.4,90.1,73.6
Florida,8/10/1980,73.4,80.9,89.1,89.9,73.4
Florida,8/11/1980,74.3,81.7,90.1,89,73.6
Florida,8/12/1980,73,80.4,87.9,87.6,74.3
Florida,8/13/1980,75.5,79.7,84.8,86,74
Florida,8/14/1980,73.5,79.3,85.2,86.7,74.3
Florida,8/15/1980,73.8,81.1,90,88.8,73.4
Florida,8/16/1980,73,81.4,91.2,91.3,73.7
Florida,8/17/1980,74.4,82.9,92.6,91.1,74.2
Florida,8/18/1980,75.1,82.2,89.6,89.8,74.9
Florida,8/19/1980,75.2,81.2,87.2,89.3,74.7
Florida,8/20/1980,73.8,81.7,91.2,88.9,75.2
Florida,8/21/1980,76.6,82.2,88.2,90,75.9
Florida,8/22/1980,77.4,82.8,90.5,89.7,76.9
Florida,8/23/1980,76.7,82.9,90.4,89,75.8
Florida,8/24/1980,73.3,79.6,86.1,87.4,73.9
Florida,8/25/1980,71.6,78.3,85.6,86.1,71.7
Florida,8/26/1980,70.2,78.3,86.6,86.6,71.3
Florida,8/27/1980,72,79.6,87.6,87.9,71.9
Florida,8/28/1980,73.6,80.9,89.4,88.5,73.3
Florida,8/29/1980,74.4,80.8,88.5,89.2,73.5
Florida,8/30/1980,72.4,80.5,89.6,88.9,72.9
Florida,8/31/1980,71.8,79.8,88.7,88.1,72.2
Florida,9/1/1980,72.5,78.8,86.1,87,72.7
Florida,9/2/1980,73.8,79.6,86.2,86,73.4
Florida,9/3/1980,74,79.6,85.7,87.2,73.9
Florida,9/4/1980,73.8,81,89.7,88.3,73.6
Florida,9/5/1980,73,80.8,89.5,89.5,73.2
Florida,9/6/1980,72.8,80.5,89.3,89.2,72.6
Florida,9/7/1980,72.1,80.1,88.9,88.7,72.2
Florida,9/8/1980,71.8,79.4,88,87.8,72.1
Florida,9/9/1980,72.3,79,86.4,86.8,71.4
Florida,9/10/1980,70.2,77.8,86,86.2,70.5
Florida,9/11/1980,69.1,77.1,86.2,86.3,69.9
Florida,9/12/1980,70.3,77.5,86.6,86.4,69.8
Florida,9/13/1980,70,77.7,86.3,86.2,70.9
Florida,9/14/1980,72.4,78,85.7,86.7,71.4
Florida,9/15/1980,71.9,79.1,88.2,87.9,72.5
Florida,9/16/1980,73.2,80.4,89.8,88.7,72.6
Florida,9/17/1980,72.6,79.7,88.1,89.1,72.5
Florida,9/18/1980,71.7,79.4,89.3,89.3,72.4
Florida,9/19/1980,72.9,81,90.6,90.2,72.6
Florida,9/20/1980,73.1,81.2,90.8,90.6,72.6
Florida,9/21/1980,71.9,80.3,90.3,89.8,72.6
Florida,9/22/1980,72.8,80.1,88.3,89,71.9
Florida,9/23/1980,70.9,79,88.4,88.7,71.4
Florida,9/24/1980,70.6,79.2,89.3,89.2,71.1
Florida,9/25/1980,71.8,79.7,90,89.8,71.8
Florida,9/26/1980,73,80.4,90.2,89.9,72.4
Florida,9/27/1980,72.4,80.1,89.5,89.5,72.1
Florida,9/28/1980,71,79.2,88.9,89.8,71.7
Florida,9/29/1980,71.6,80,90.9,90.1,71.4
Florida,9/30/1980,71.5,79.5,90.5,89,71.6
Florida,10/1/1980,71.6,78.3,85.7,86.8,71.1
Florida,10/2/1980,70.1,76.5,84.2,84.2,70
Florida,10/3/1980,68.4,75.3,82.7,83.1,68.3
Florida,10/4/1980,66.4,73.7,82.3,82.5,66
Florida,10/5/1980,63.2,73,82.6,82.6,64.3
Florida,10/6/1980,63.3,72.4,82.9,83.1,63.5
Florida,10/7/1980,64,72.8,83.8,83.5,64.2
Florida,10/8/1980,65.3,73.9,83.8,83.9,64.7
Florida,10/9/1980,64.9,73.7,84.2,84.5,65.2
Florida,10/10/1980,65.5,74.4,85.4,85.1,64.7
Florida,10/11/1980,63.7,73.6,85.6,84.5,64.3
Florida,10/12/1980,63.6,72.4,82.4,83.3,60.3
Florida,10/13/1980,53.6,67.5,81.9,81.9,59.6
Florida,10/14/1980,61.5,70.5,81.5,80.8,59.3
Florida,10/15/1980,62.7,70.4,78.9,81.4,63.1
Florida,10/16/1980,65.2,73.1,83.9,83.1,65.3
Florida,10/17/1980,68,76,86.5,85.6,67.3
Florida,10/18/1980,68.8,76.4,86.5,86.6,68.3
Florida,10/19/1980,68,76.4,86.8,86.2,68.3
Florida,10/20/1980,68,75.7,85.3,85.2,67.3
Florida,10/21/1980,66,73.7,83.5,82.8,67.6
Florida,10/22/1980,68.7,73.1,79.5,81.6,67.9
Florida,10/23/1980,68.9,73.7,81.8,79.4,68.5
Florida,10/24/1980,67.8,71.5,77,79.7,67.5
Florida,10/25/1980,65.8,71.3,80.2,77.4,60.6
Florida,10/26/1980,48.1,61.9,74.9,78.4,56.4
Florida,10/27/1980,55.3,65.9,80.1,80.2,57.3
Florida,10/28/1980,68.6,75.1,85.5,83.1,64.7
Florida,10/29/1980,70.1,75.6,83.8,85.1,69.9
Florida,10/30/1980,71,76.3,85.9,81.4,69.4
Florida,10/31/1980,67.2,71,74.5,78.4,66
Florida,11/1/1980,59.9,66.6,74.9,76.3,61.1
Florida,11/2/1980,56.3,66.2,79.6,78.9,59.8
Florida,11/3/1980,63.1,71.1,82.2,80.6,62.7
Florida,11/4/1980,68.6,73.2,80.1,79.4,64.7
Florida,11/5/1980,62.5,69.3,75.9,76.2,59.7
Florida,11/6/1980,47.9,59.9,72.5,74.9,54.1
Florida,11/7/1980,52,61.7,76.3,75.5,52.5
Florida,11/8/1980,57.5,65.8,77.7,78.3,58.4
