Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
GreatBasin,1/1/1980,30.2,33.9,39.2,38.4,29
GreatBasin,1/2/1980,27.8,32,37.5,38.2,28.4
GreatBasin,1/3/1980,27.3,31,37.9,37.9,27.4
GreatBasin,1/4/1980,27,31.2,38.4,38.8,28.5
GreatBasin,1/5/1980,31.1,34.1,40.1,38.6,26.3
GreatBasin,1/6/1980,20.8,28,37.2,35.4,23.8
GreatBasin,1/7/1980,19.6,23.3,29,32.5,20.8
GreatBasin,1/8/1980,21.9,25,31.4,31.5,22.5
GreatBasin,1/9/1980,26,28.5,34.2,32.6,25.2
GreatBasin,1/10/1980,27.6,30.8,32.3,32.2,23.6
GreatBasin,1/11/1980,17.2,21.6,30.2,34.8,24.5
GreatBasin,1/12/1980,28.6,34.9,41.8,38.6,28
GreatBasin,1/13/1980,38.1,40.5,43.8,43.2,35.3
GreatBasin,1/14/1980,39.2,41.2,44,43.1,36.9
GreatBasin,1/15/1980,33.4,37.4,41.5,42,34.4
GreatBasin,1/16/1980,30.7,34.8,40.4,40.4,32.2
GreatBasin,1/17/1980,32.5,34.9,39.2,38.6,30
GreatBasin,1/18/1980,26.7,30.3,36.3,34.5,25.4
GreatBasin,1/19/1980,17,22.1,27.9,31.7,20.5
GreatBasin,1/20/1980,17.7,22,30.9,31.4,19.4
GreatBasin,1/21/1980,23.6,26.9,35.4,33.3,20.6
GreatBasin,1/22/1980,20.6,26,33.7,34.6,22.2
GreatBasin,1/23/1980,22.3,26.8,34.6,35.4,23.1
GreatBasin,1/24/1980,26.4,30,38,35.9,24.6
GreatBasin,1/25/1980,25.2,29.8,35,34.2,23.2
GreatBasin,1/26/1980,18,23.3,29.5,30.4,20.1
GreatBasin,1/27/1980,17.1,20.9,26.6,26.5,15.8
GreatBasin,1/28/1980,12.4,17.7,23.4,25.2,15.5
GreatBasin,1/29/1980,16.9,19.7,25.6,25.5,13.9
GreatBasin,1/30/1980,12.3,18.5,27.4,28.5,15.3
GreatBasin,1/31/1980,16.6,21.6,32.5,33.2,17.9
GreatBasin,2/1/1980,24.8,29.2,39.6,38.5,23.9
GreatBasin,2/2/1980,30.4,35,43.3,42.3,29.9
GreatBasin,2/3/1980,34.4,38.1,44.1,43.5,32.4
GreatBasin,2/4/1980,32.4,38,43.2,43.5,31.9
GreatBasin,2/5/1980,29,34.7,43.2,43,31.7
GreatBasin,2/6/1980,33.6,36.9,42.5,42.1,29.7
GreatBasin,2/7/1980,26.4,32,40.6,39.2,26.8
GreatBasin,2/8/1980,20.4,26.5,34.5,37,22.6
GreatBasin,2/9/1980,21,26.6,35.8,35.7,21.3
GreatBasin,2/10/1980,22.5,28.3,36.7,36.7,22
GreatBasin,2/11/1980,22.5,28.6,37.5,37.9,23.4
GreatBasin,2/12/1980,25.1,30.6,39.6,38.3,24.8
GreatBasin,2/13/1980,26.7,31.8,37.8,38,26.9
GreatBasin,2/14/1980,29,31.7,36.6,37.4,28.6
GreatBasin,2/15/1980,30,32.9,37.7,38.3,29.5
GreatBasin,2/16/1980,29.6,33.7,40.7,40.3,30.9
GreatBasin,2/17/1980,33.1,36.2,42.4,42.5,33.4
GreatBasin,2/18/1980,37.5,39.8,44.3,43.4,35.2
GreatBasin,2/19/1980,35,39,43.4,42.9,35.5
GreatBasin,2/20/1980,33.9,37.1,41.1,41.6,33.3
GreatBasin,2/21/1980,31.1,35,40.3,40.4,31.2
GreatBasin,2/22/1980,28.7,34.1,39.9,40.1,29.4
GreatBasin,2/23/1980,28.4,33.6,40,40.9,28.1
GreatBasin,2/24/1980,27.1,33.3,42.7,42.9,28.5
GreatBasin,2/25/1980,30,35.9,46.1,46.3,30.5
GreatBasin,2/26/1980,34.3,40.2,50.1,49.7,34.1
GreatBasin,2/27/1980,38.1,44,52.9,51.6,36.9
GreatBasin,2/28/1980,38.2,43.7,51.7,49.9,36.1
GreatBasin,2/29/1980,31.9,37.6,45.2,47.5,33.1
GreatBasin,3/1/1980,29.1,35.7,45.6,46.1,31.4
GreatBasin,3/2/1980,33.3,38.8,47.5,46.3,31.8
GreatBasin,3/3/1980,32.9,38,45.9,44.6,31.5
GreatBasin,3/4/1980,28.4,33.9,40.4,42.7,29.9
GreatBasin,3/5/1980,28.4,33.7,41.8,40.7,28.6
GreatBasin,3/6/1980,29,34.1,40,40.2,27.9
GreatBasin,3/7/1980,26.3,31.8,38.8,40,27
GreatBasin,3/8/1980,25.7,32.1,41.3,41.4,26.8
GreatBasin,3/9/1980,28.3,34.7,44,44,28
GreatBasin,3/10/1980,30.1,37.1,46.8,45.6,30.3
GreatBasin,3/11/1980,32.6,38.3,46,45.3,29.8
GreatBasin,3/12/1980,26.7,33.5,43.1,44.8,28.8
GreatBasin,3/13/1980,27.2,33.8,45.4,46,29.4
GreatBasin,3/14/1980,34.4,40.1,49.5,47.7,31.9
GreatBasin,3/15/1980,34.2,40.4,48.2,46.3,30.9
GreatBasin,3/16/1980,24.1,31.4,41.2,44,26.9
GreatBasin,3/17/1980,22.3,30.1,42.5,42.9,25.7
GreatBasin,3/18/1980,30.6,36.4,45.1,43.8,27.6
GreatBasin,3/19/1980,29.8,36.3,43.9,45.5,30.1
GreatBasin,3/20/1980,29.8,37.2,47.6,46,30.4
GreatBasin,3/21/1980,31.7,37.9,46.5,45.6,30.1
GreatBasin,3/22/1980,28.9,35.2,42.8,44.4,30.1
GreatBasin,3/23/1980,29.8,36,44,43.2,29
GreatBasin,3/24/1980,28.3,34.8,42.8,42.2,28.2
GreatBasin,3/25/1980,26.6,32.6,39.8,42,27
GreatBasin,3/26/1980,26.2,33.6,43.3,41.8,27.3
GreatBasin,3/27/1980,29,35.1,42.3,42.9,27.3
GreatBasin,3/28/1980,26.7,33.8,43.1,44.5,28.3
GreatBasin,3/29/1980,29.1,36.8,48.1,46.2,29.2
GreatBasin,3/30/1980,31.8,37.6,47.3,45,28.5
GreatBasin,3/31/1980,24.7,31.6,39.7,42.6,27.5
GreatBasin,4/1/1980,25.9,32.6,40.8,41,25.8
GreatBasin,4/2/1980,26.7,33.8,42.4,43,27
GreatBasin,4/3/1980,28.3,35.6,45.8,46.7,29
GreatBasin,4/4/1980,31.9,40,52,50,32.5
GreatBasin,4/5/1980,37.2,44.2,52.3,51.4,34.5
GreatBasin,4/6/1980,34.5,41.9,49.9,49.8,34.1
GreatBasin,4/7/1980,30.5,38.2,47.3,49.8,31.6
GreatBasin,4/8/1980,29.8,38.9,52.1,52,32.6
GreatBasin,4/9/1980,37.6,45.5,56.7,54.8,35
GreatBasin,4/10/1980,37.7,45.9,55.5,54.2,36
GreatBasin,4/11/1980,32.6,40.7,50.5,52.8,34.2
GreatBasin,4/12/1980,32.2,41,52.5,53.2,33.2
GreatBasin,4/13/1980,34.8,44.5,56.6,57,35.4
GreatBasin,4/14/1980,39.3,48.8,61.8,59.8,38.6
GreatBasin,4/15/1980,41.7,51,60.9,62,40.2
GreatBasin,4/16/1980,39.6,50.8,63.3,64.7,41.7
GreatBasin,4/17/1980,43.9,55.3,69.9,68.1,43.6
GreatBasin,4/18/1980,47.3,58.6,71.2,71.7,46.5
GreatBasin,4/19/1980,48.4,60.5,73.9,73,48.7
GreatBasin,4/20/1980,50.4,62,73.8,73.1,49.1
GreatBasin,4/21/1980,48.4,59,71.6,70.2,47.5
GreatBasin,4/22/1980,43.8,52.8,65.2,64.7,44.7
GreatBasin,4/23/1980,41.8,49.7,57.3,60.7,42.3
GreatBasin,4/24/1980,41.3,49.8,59.6,60.2,41.8
GreatBasin,4/25/1980,42.4,52,63.7,63.5,42.6
GreatBasin,4/26/1980,44.1,55.1,67.2,67.2,44.4
GreatBasin,4/27/1980,46.6,57.9,70.6,69.7,46.6
GreatBasin,4/28/1980,49,60,71.2,70.4,48.2
GreatBasin,4/29/1980,48.9,57.2,69.5,66.4,46.6
GreatBasin,4/30/1980,42,49.1,58.4,63.4,44.6
GreatBasin,5/1/1980,43,51.3,62.4,62.3,43.6
