Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
ISONE,1/1/1980,19.6,25.6,35.5,35.9,21.8
ISONE,1/2/1980,23.9,28.4,36.3,33.1,20.1
ISONE,1/3/1980,16.9,22.2,27.6,28.9,16.3
ISONE,1/4/1980,8.1,15,22.7,25.4,14
ISONE,1/5/1980,17.1,20.3,25.9,23.2,11.4
ISONE,1/6/1980,8.9,15.3,21.1,28.8,13.1
ISONE,1/7/1980,13.4,24.3,39.5,32,14.6
ISONE,1/8/1980,21.6,28.1,35.4,34.5,17.1
ISONE,1/9/1980,16.4,21.9,28.7,29.7,17.2
ISONE,1/10/1980,13.7,19.3,25.1,32.7,16.4
ISONE,1/11/1980,19.1,29.1,44.3,39.6,17.8
ISONE,1/12/1980,20.5,36.5,49.4,40.6,18
ISONE,1/13/1980,14.4,20.1,28,39.9,19.1
ISONE,1/14/1980,22.5,30.4,42.3,38.1,24.3
ISONE,1/15/1980,36,38.8,44,40.9,27.5
ISONE,1/16/1980,23.9,29.3,36.5,36.7,27.3
ISONE,1/17/1980,22.1,25.4,29.7,34.8,25
ISONE,1/18/1980,29,32.6,38.1,35.8,27.8
ISONE,1/19/1980,32.4,35.3,39.7,36.7,28.5
ISONE,1/20/1980,24.1,29.2,32.4,33.1,24.6
ISONE,1/21/1980,17.2,21.4,27.1,31.5,18.7
ISONE,1/22/1980,14.7,22.4,35.1,33.2,20.4
ISONE,1/23/1980,29.2,33.1,37.5,33.2,18.1
ISONE,1/24/1980,10.4,15.3,27,29.3,15.5
ISONE,1/25/1980,6.9,13.5,23.3,24.8,10.1
ISONE,1/26/1980,13,17.3,24,25.7,11
ISONE,1/27/1980,13.2,19.1,29.9,28.3,14.1
ISONE,1/28/1980,16.1,21.9,31,29.6,14.3
ISONE,1/29/1980,13.6,20.4,27.8,26.5,11.8
ISONE,1/30/1980,5.7,12,20.7,20.9,6.8
ISONE,1/31/1980,1.1,6.3,14.2,17.4,2.2
ISONE,2/1/1980,-0.2,6.4,17.3,15.4,0.9
