Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
MISO-N,1/1/1980,19.9,31.3,29.8,20.8
MISO-N,1/2/1980,21.6,28.3,28.6,18.9
MISO-N,1/3/1980,15.2,26.3,27,17.2
MISO-N,1/4/1980,14.8,26.3,26.6,15.5
MISO-N,1/5/1980,16.6,27.1,27.7,16.5
MISO-N,1/6/1980,18.1,29.6,27.8,13.8
MISO-N,1/7/1980,6.8,26.6,22.4,8
MISO-N,1/8/1980,-0.8,11.2,16.4,1.8
MISO-N,1/9/1980,-0.6,11.5,18.2,1.1
MISO-N,1/10/1980,4.8,31.9,27.6,5.8
MISO-N,1/11/1980,13.2,39.5,29.1,6.4
MISO-N,1/12/1980,1.3,15.8,29.5,9.6
MISO-N,1/13/1980,14.3,33.1,27.4,12.4
MISO-N,1/14/1980,21.8,33.2,34.4,21.1
MISO-N,1/15/1980,27.1,36.9,36.2,27.5
MISO-N,1/16/1980,33.5,38.7,37.7,30.9
MISO-N,1/17/1980,32.2,37.5,36.2,30.2
MISO-N,1/18/1980,25.1,32.5,33.5,26.5
MISO-N,1/19/1980,22.2,30.3,30.1,20.9
MISO-N,1/20/1980,15.3,27.4,29.5,17.9
MISO-N,1/21/1980,16.1,30.7,28.2,16
MISO-N,1/22/1980,16.5,26.6,23.9,10.6
MISO-N,1/23/1980,-0.7,14.4,23.1,7.4
MISO-N,1/24/1980,6.4,28.4,22.5,7.1
MISO-N,1/25/1980,15.5,24.6,22.7,8.1
MISO-N,1/26/1980,2.3,15.1,17.9,6.5
MISO-N,1/27/1980,1.8,14.1,13.9,1.2
MISO-N,1/28/1980,-0.4,12.4,12.5,-0.2
MISO-N,1/29/1980,-2.1,10.9,12.4,-0.3
MISO-N,1/30/1980,1.6,13.9,12.6,-1.4
MISO-N,1/31/1980,-3.8,13,13.7,-2.9
MISO-N,2/1/1980,-6.3,14.1,14.9,-3.6
MISO-N,2/2/1980,-0.8,17.7,16.7,-1.5
MISO-N,2/3/1980,2.5,18.2,18.8,0.6
MISO-N,2/4/1980,0.2,20.4,20.9,4.4
MISO-N,2/5/1980,10.6,24.1,22.5,7.2
MISO-N,2/6/1980,10.7,22.9,23.3,9
MISO-N,2/7/1980,5.6,22.9,23,8
MISO-N,2/8/1980,7.6,23.2,22.8,6.8
MISO-N,2/9/1980,7.3,22.3,22.5,7.5
MISO-N,2/10/1980,7.5,22,21.7,6.8
MISO-N,2/11/1980,5.6,20.7,21,3.3
MISO-N,2/12/1980,-3.3,20.2,22.1,2.6
MISO-N,2/13/1980,5.3,25.5,23.9,6.3
MISO-N,2/14/1980,16.9,26.2,25.3,13
MISO-N,2/15/1980,16.8,24.1,22.8,10.2
MISO-N,2/16/1980,-3.1,18.1,19.1,1.3
MISO-N,2/17/1980,-9.9,15.1,20.4,-4.3
MISO-N,2/18/1980,0.1,28,25.6,4.7
MISO-N,2/19/1980,23.9,33.7,32.4,18.7
MISO-N,2/20/1980,32.3,35.3,35.2,28.9
MISO-N,2/21/1980,30.4,36.4,35.9,31.1
MISO-N,2/22/1980,30.5,35.9,35.2,28.5
MISO-N,2/23/1980,24.5,33.4,32.9,24.1
MISO-N,2/24/1980,17.1,29.4,28.3,17.9
MISO-N,2/25/1980,11.9,22.1,24.6,9
MISO-N,2/26/1980,-2.1,22.4,21.8,7.2
MISO-N,2/27/1980,11.9,20.9,21.8,7.1
MISO-N,2/28/1980,11.6,22.2,18.6,5.9
MISO-N,2/29/1980,-5.8,12.6,15,-0.5
MISO-N,3/1/1980,-7.4,10.2,13.4,-7.6
MISO-N,3/2/1980,-9.6,17.3,18.3,-5
MISO-N,3/3/1980,2.2,27.4,24.7,2.9
MISO-N,3/4/1980,16.1,29.5,27.5,10.7
MISO-N,3/5/1980,13.9,25.5,26.9,10.3
MISO-N,3/6/1980,0.9,25.8,26.9,10.4
