Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
MISO-S,1/1/1980,32.1,53.2,55.7,33.9
MISO-S,1/2/1980,35.7,58.2,54.9,38.1
MISO-S,1/3/1980,46.5,53.2,52.8,39.1
MISO-S,1/4/1980,35,47.1,50.1,37.8
MISO-S,1/5/1980,31.8,50,52,33.9
MISO-S,1/6/1980,34.7,58.9,55.5,39.1
MISO-S,1/7/1980,50.9,57.6,55.9,43.9
MISO-S,1/8/1980,46,51.2,53,47.2
MISO-S,1/9/1980,44.8,50.3,53.6,45.7
MISO-S,1/10/1980,46.3,59.3,59.4,50.2
MISO-S,1/11/1980,59.6,68.7,62.2,48.9
MISO-S,1/12/1980,40.8,58.6,62.3,45.9
MISO-S,1/13/1980,37.4,59.7,60.9,42
MISO-S,1/14/1980,47.7,64.5,62.6,46.5
MISO-S,1/15/1980,54.4,63.5,65.5,53.7
MISO-S,1/16/1980,58.8,68.4,65.2,57.3
MISO-S,1/17/1980,58.5,63.6,65.5,55.7
MISO-S,1/18/1980,49.8,64.4,63.8,51.4
MISO-S,1/19/1980,45.8,63.4,63,49.3
MISO-S,1/20/1980,52.3,61.1,61.8,49.9
MISO-S,1/21/1980,51.7,60.8,60.1,51.3
MISO-S,1/22/1980,49.9,58.2,55.7,44.8
MISO-S,1/23/1980,33,48,55.4,38.8
MISO-S,1/24/1980,33.4,60.1,54.7,37.6
MISO-S,1/25/1980,46.3,55.9,58.6,43.3
MISO-S,1/26/1980,50.2,59.8,56.4,46.4
MISO-S,1/27/1980,42.8,53.6,54.9,44.2
MISO-S,1/28/1980,39.5,51.2,51.1,41.7
MISO-S,1/29/1980,42.8,48.6,52.1,41.5
MISO-S,1/30/1980,42.1,56.6,53.2,39.4
MISO-S,1/31/1980,33.3,54.4,49.8,33
MISO-S,2/1/1980,23.7,38.4,43.2,28.2
MISO-S,2/2/1980,27.6,36.8,40.8,28.4
MISO-S,2/3/1980,33.8,47.3,45.2,32
MISO-S,2/4/1980,34.5,51.6,51.1,37
