Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
NYISO,1/1/1980,20.8,27,38.5,37.8,22.3
NYISO,1/2/1980,23.8,28.5,37,34.9,20.8
NYISO,1/3/1980,17.8,23.8,29.1,30.5,17.4
NYISO,1/4/1980,10.6,17.6,25.4,27.4,15.7
NYISO,1/5/1980,18.7,22.4,27.7,25.8,12.9
NYISO,1/6/1980,9.4,16.3,24.3,29.1,13.5
NYISO,1/7/1980,12.3,23.5,35.2,30.6,13.4
NYISO,1/8/1980,18.6,25.4,32.3,31.8,15.1
NYISO,1/9/1980,14.4,19.8,27.9,29.2,15.2
NYISO,1/10/1980,12.6,18.8,27.3,34,15.5
NYISO,1/11/1980,19.5,30.3,46.7,40.5,17.5
NYISO,1/12/1980,20.4,33,47.4,41.7,18.3
NYISO,1/13/1980,14.9,21.2,30.9,40.8,19.9
NYISO,1/14/1980,24.3,33.1,44.2,39.3,24.8
NYISO,1/15/1980,35.3,38.6,42.7,41.8,28.3
NYISO,1/16/1980,25.4,30.9,38.6,38.8,28.5
NYISO,1/17/1980,24.9,29.4,35.1,37.4,27.8
NYISO,1/18/1980,33.1,34.8,38.5,37.3,29.7
NYISO,1/19/1980,31,34.8,38.2,36.4,29.9
NYISO,1/20/1980,25.5,29.2,32.6,33.8,25.1
NYISO,1/21/1980,18.7,23.7,30.6,33.8,20.7
NYISO,1/22/1980,17.8,26.2,38.1,34.8,20.9
NYISO,1/23/1980,26.3,32.3,35.7,32.4,18.3
NYISO,1/24/1980,10.8,15.8,23.4,28.9,15.9
NYISO,1/25/1980,10.5,17.2,27.7,25.8,12.6
NYISO,1/26/1980,16.6,21.7,26.4,27.8,13.1
NYISO,1/27/1980,12.2,19.3,29.4,29,14.6
NYISO,1/28/1980,15.1,21.6,31.1,29.6,13.6
NYISO,1/29/1980,13.4,20.2,28.4,26.7,12.6
NYISO,1/30/1980,9.2,14.7,20.7,22.3,9.6
NYISO,1/31/1980,6.1,10.5,17.7,17.8,5.2
NYISO,2/1/1980,0.4,7.3,15.1,16.2,3
NYISO,2/2/1980,2.6,8.1,15.8,16.6,2.3
NYISO,2/3/1980,3.9,10,19,18.9,4.1
NYISO,2/4/1980,5.7,12.8,21.9,21.5,4.9
NYISO,2/5/1980,5,13,23.6,24,5.6
NYISO,2/6/1980,6,15,26.5,26.7,9.7
NYISO,2/7/1980,18.2,22.5,29.9,29.4,12.6
NYISO,2/8/1980,13.5,21.8,31.8,30.3,14
NYISO,2/9/1980,10.3,19.3,29.1,30,12.1
NYISO,2/10/1980,12.6,20.5,29,30.5,11.6
NYISO,2/11/1980,11.8,20.8,33.4,31.2,14
NYISO,2/12/1980,17.6,23.5,31.3,32.4,13.9
NYISO,2/13/1980,12.3,21.8,32.4,33.8,15.3
NYISO,2/14/1980,16,25,37.8,33.7,15.3
NYISO,2/15/1980,17.7,24.5,31,35,19.5
NYISO,2/16/1980,24.7,29.6,36.3,30.1,16
NYISO,2/17/1980,5.6,14.3,23,28.8,12.5
NYISO,2/18/1980,7.3,15.6,27.1,30.4,9.7
NYISO,2/19/1980,16.3,25.1,41.1,37.8,15.2
NYISO,2/20/1980,22.1,31,45.2,42.5,22.9
NYISO,2/21/1980,30.2,34.8,41.2,39.6,25.2
