Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Ontario,1/1/1981,6.2,18.4,21.2,0.1
Ontario,1/2/1981,-6,24.1,13.6,-5.4
Ontario,1/3/1981,-16.5,-1.6,9.7,-15.6
Ontario,1/4/1981,-24.5,6.8,8.3,-15.4
Ontario,1/5/1981,-5.2,19.7,16.7,-6.4
Ontario,1/6/1981,10.3,23.6,22.8,1.5
Ontario,1/7/1981,-0.6,25.2,20.1,0.1
Ontario,1/8/1981,-9.6,11.5,17.9,-2.8
Ontario,1/9/1981,1.7,17,13.4,-5.7
Ontario,1/10/1981,-9.1,11.6,8.1,-7.1
Ontario,1/11/1981,-14,-4.4,7.2,-12.1
Ontario,1/12/1981,-13.3,14.4,8.7,-9.9
Ontario,1/13/1981,-2.4,16.2,16.5,-3.3
Ontario,1/14/1981,5.9,19,18.2,4.2
Ontario,1/15/1981,9,19.3,18,5.2
Ontario,1/16/1981,0.7,15.7,16.3,2.6
Ontario,1/17/1981,-1.9,14,20,2.3
Ontario,1/18/1981,8.1,30.4,25.7,5.9
Ontario,1/19/1981,11.4,32.6,30,7.8
Ontario,1/20/1981,4,26.9,28.3,5.5
Ontario,1/21/1981,1.2,25.5,27.9,7.7
Ontario,1/22/1981,17.9,31.3,29.3,12.5
Ontario,1/23/1981,18.5,31,30.2,19.3
Ontario,1/24/1981,21.4,28.4,31.1,15.8
Ontario,1/25/1981,7.6,33.8,35.3,19.2
Ontario,1/26/1981,28.7,43.5,37.4,19.8
Ontario,1/27/1981,22.9,35,33.9,22.5
Ontario,1/28/1981,16,23.3,25.8,15.2
Ontario,1/29/1981,6.6,19.1,19.9,8.8
Ontario,1/30/1981,3.7,17.4,21.3,5.2
Ontario,1/31/1981,5.2,27.4,27.7,8.2
Ontario,2/1/1981,15.7,38.2,33.7,10.7
Ontario,2/2/1981,11.3,35.4,28.2,9.8
Ontario,2/3/1981,2.5,11,19.7,2.1
Ontario,2/4/1981,-7.4,12.6,13.3,-4.4
Ontario,2/5/1981,-8.2,16.2,18.6,-0.8
Ontario,2/6/1981,13.2,27.1,25.9,7
Ontario,2/7/1981,16,34.6,31.4,15.4
Ontario,2/8/1981,16.8,32.4,29.9,16.2
Ontario,2/9/1981,15.6,22.6,32,14.8
Ontario,2/10/1981,12.1,41,36.8,12.6
Ontario,2/11/1981,10.1,46.9,32.8,7.4
Ontario,2/12/1981,0.2,10.6,26.9,4.8
Ontario,2/13/1981,4.2,23.3,22.6,6.2
Ontario,2/14/1981,14.3,33.8,31.6,13.2
Ontario,2/15/1981,21.2,37.7,39.1,22.7
Ontario,2/16/1981,32.7,45.6,42.5,30.3
Ontario,2/17/1981,37.1,44.2,46.3,36.4
Ontario,2/18/1981,39.5,49.2,46.8,38
Ontario,2/19/1981,37.3,46.9,47,38.3
Ontario,2/20/1981,38,45,46.4,37.8
Ontario,2/21/1981,37.9,47.3,49,37.6
Ontario,2/22/1981,36.9,54.7,51.4,36
Ontario,2/23/1981,33.1,52,49.9,34.8
Ontario,2/24/1981,34.3,43,45.2,32.9
Ontario,2/25/1981,31.2,40.7,39.9,30.8
Ontario,2/26/1981,26.7,36,39.6,27.3
Ontario,2/27/1981,23.9,41.9,39.5,27.2
Ontario,2/28/1981,30.9,40.4,39.4,28.9
Ontario,3/1/1981,32,35.7,36.9,28
Ontario,3/2/1981,21.1,34.4,31.7,22.5
Ontario,3/3/1981,14.3,24.9,31.3,17.7
Ontario,3/4/1981,17.6,34.6,30.6,17.4
