Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
PacificNW,1/1/1980,38.5,39.4,41.3,40.5,36
PacificNW,1/2/1980,33.6,36.5,39.7,39.2,33.9
PacificNW,1/3/1980,29.5,32.8,36.7,37.2,30.2
PacificNW,1/4/1980,27.5,29.9,35.2,34.9,28.6
PacificNW,1/5/1980,28.9,31.1,32.9,32.4,23.5
PacificNW,1/6/1980,14.1,20,29.1,29.1,18.8
PacificNW,1/7/1980,13.5,17.7,25.3,25.9,15.1
PacificNW,1/8/1980,17.7,19.9,23.4,24.8,16.6
PacificNW,1/9/1980,18.5,20.2,25.7,24.5,17
PacificNW,1/10/1980,14.9,19.8,24.5,26.2,17.3
PacificNW,1/11/1980,18.4,21.7,28.5,31.5,20
PacificNW,1/12/1980,26.8,35.8,41.4,35.7,24.6
PacificNW,1/13/1980,28.7,32.5,37.2,38.8,28.8
PacificNW,1/14/1980,31,34.3,37.7,37.6,29.5
PacificNW,1/15/1980,28.9,33.2,37.8,37.7,30.9
PacificNW,1/16/1980,32.9,34.4,37.7,37.4,30
PacificNW,1/17/1980,28.1,32.6,36.6,34.7,25.6
PacificNW,1/18/1980,15.9,21.9,29.7,32.7,20.7
PacificNW,1/19/1980,18.2,22.3,31.8,31.8,19.1
PacificNW,1/20/1980,23.3,26.4,33.9,33.7,22
PacificNW,1/21/1980,24.5,28.8,35.3,35.2,24.4
PacificNW,1/22/1980,25.4,28.8,36.5,37.5,26
PacificNW,1/23/1980,28,31.4,40.7,38.4,27.8
PacificNW,1/24/1980,29.9,32.7,38,37.3,27.5
PacificNW,1/25/1980,24.6,27.8,33.3,32.5,21.2
PacificNW,1/26/1980,9.2,15.4,26.3,25.2,12.5
PacificNW,1/27/1980,3.6,8.6,16,19.2,4.8
PacificNW,1/28/1980,1.5,6.8,15.3,16.3,1.7
PacificNW,1/29/1980,0.1,6.1,17.6,18.7,2.7
PacificNW,1/30/1980,6.5,11,23.2,23,6.2
PacificNW,1/31/1980,12.1,17.5,28.3,29.7,14.7
PacificNW,2/1/1980,25.5,30,37.6,35.9,24.3
PacificNW,2/2/1980,35.4,37.6,41.8,40.2,32.6
PacificNW,2/3/1980,36.9,39.5,41.1,41.3,35.2
PacificNW,2/4/1980,33.3,37.3,41.1,40.4,33.9
PacificNW,2/5/1980,31.5,34.2,38.9,40,33.7
PacificNW,2/6/1980,36.3,37.9,40,39.3,33.4
PacificNW,2/7/1980,32.5,35.6,39.1,40.2,33
PacificNW,2/8/1980,30.2,34,41.6,40.4,30.3
PacificNW,2/9/1980,28.1,33.4,40.5,40.5,28.3
PacificNW,2/10/1980,26.6,31.2,39.5,40,27.1
PacificNW,2/11/1980,26.5,31.2,39.9,39.4,26.2
PacificNW,2/12/1980,25.4,30.2,38.7,38.7,25.2
PacificNW,2/13/1980,23.8,28.7,37.4,36,22
PacificNW,2/14/1980,16.7,21.8,31.8,32.2,19.4
PacificNW,2/15/1980,17.8,20.5,27.5,32.6,19.5
PacificNW,2/16/1980,23.9,28.1,38.5,35.6,24.7
PacificNW,2/17/1980,32.4,35.6,40.7,41.1,31.6
PacificNW,2/18/1980,38.4,40.4,44,43.3,35.6
PacificNW,2/19/1980,36,40.2,45.1,44.4,36.3
PacificNW,2/20/1980,34.4,37.7,44,43.4,32.7
PacificNW,2/21/1980,27.6,33.4,41,41.9,29.8
PacificNW,2/22/1980,27.4,32.3,40.8,41.8,28.1
PacificNW,2/23/1980,29.4,34.7,43.6,42.1,29.8
PacificNW,2/24/1980,32.7,36,41.8,43.2,33.2
PacificNW,2/25/1980,37.4,39.6,44.1,44.5,37.3
PacificNW,2/26/1980,41.8,43.8,47.7,47.4,41.5
PacificNW,2/27/1980,45.3,46.9,50.5,49.3,42.7
PacificNW,2/28/1980,41.1,44.1,49.7,49.2,40.1
PacificNW,2/29/1980,33.9,39.6,47.3,48.7,36.7
PacificNW,3/1/1980,35,40.3,49.2,48.6,35.3
PacificNW,3/2/1980,37,41.7,49.2,48.9,36.4
PacificNW,3/3/1980,37.3,40.5,48.4,46.5,36.4
PacificNW,3/4/1980,34.9,38,41.8,43.6,33.7
PacificNW,3/5/1980,28.8,33.7,40.6,40.7,29.3
PacificNW,3/6/1980,24.2,30.5,39.7,40.6,26.7
PacificNW,3/7/1980,27,32.5,41.5,41.6,27.7
PacificNW,3/8/1980,31.8,36,43.5,42.6,29.1
PacificNW,3/9/1980,28.4,34.6,42.8,44.4,32
PacificNW,3/10/1980,35.8,39.3,47,44.9,32.3
PacificNW,3/11/1980,32.7,37.5,45,44,32.7
PacificNW,3/12/1980,29.5,33.2,39.9,41.8,32.1
PacificNW,3/13/1980,34.1,36.2,40.6,39.9,31.6
PacificNW,3/14/1980,31.3,34.4,39.3,38.8,30.9
PacificNW,3/15/1980,27.3,31,36.6,38.3,27
PacificNW,3/16/1980,22.5,28.8,38.9,38.7,26.9
PacificNW,3/17/1980,31,34.8,40.5,40.4,28.9
PacificNW,3/18/1980,33.3,36.6,41.7,41.6,32.4
PacificNW,3/19/1980,32.9,36.3,42.5,42.3,33.8
PacificNW,3/20/1980,35.2,38.2,42.6,43.1,33.8
PacificNW,3/21/1980,33.3,37.5,44.1,44.1,33.3
PacificNW,3/22/1980,31.5,37.2,45.6,44.7,32
PacificNW,3/23/1980,31.1,37.4,44.4,44.3,30.4
PacificNW,3/24/1980,28.5,34.2,42.8,44.6,29.2
PacificNW,3/25/1980,28.1,35.6,46.5,45.2,29.5
PacificNW,3/26/1980,31.9,36.6,46.3,45.5,29.9
PacificNW,3/27/1980,29.6,35.9,43.8,44.9,30.2
PacificNW,3/28/1980,29.1,35.8,44.5,44,31.7
PacificNW,3/29/1980,36.5,39.5,43.8,44.1,31.1
PacificNW,3/30/1980,27.7,34.4,43.9,43.8,31.5
PacificNW,3/31/1980,30.2,34.9,43.7,44.6,29
PacificNW,4/1/1980,29.1,35.8,46.1,46.4,30.2
