Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
PJM,1/1/1980,23.8,28.9,37.8,37,24
PJM,1/2/1980,24.3,28.8,36.1,36.3,23.7
PJM,1/3/1980,22.9,28.1,34.9,34,22.9
PJM,1/4/1980,21.4,25.3,31,31.7,21.8
PJM,1/5/1980,21,25,29.2,29.8,18.6
PJM,1/6/1980,13.4,20.4,29.2,29.3,18.3
PJM,1/7/1980,20.5,24,29.4,28.1,15.8
PJM,1/8/1980,13.5,20,25.8,27,16.8
PJM,1/9/1980,16.3,19.8,25.9,28.3,14.6
PJM,1/10/1980,13.9,21.1,33.1,34.2,19.6
PJM,1/11/1980,28.6,35.8,43.6,38.4,19.6
PJM,1/12/1980,16.3,25.2,38.5,38.9,21
PJM,1/13/1980,18.2,23.9,34.5,38.1,21.5
PJM,1/14/1980,29.9,34.3,41.2,39.3,27.4
PJM,1/15/1980,34,36.7,42.2,42.5,31.1
PJM,1/16/1980,29.3,35.2,44.2,42.4,32.4
PJM,1/17/1980,33.9,36.9,40.8,41.3,32.4
PJM,1/18/1980,33.9,36.1,39,39.4,32
PJM,1/19/1980,28.1,33.1,38.3,37.4,29.5
PJM,1/20/1980,26.6,30,35,36.1,25
PJM,1/21/1980,20.3,26.5,34.9,35.2,24.3
PJM,1/22/1980,26,29.8,35.8,34.3,22
PJM,1/23/1980,19.7,25.5,32.3,31.7,19.1
PJM,1/24/1980,11.6,17.2,27,31.9,18.3
PJM,1/25/1980,23.6,27.9,36.4,31,17.7
PJM,1/26/1980,17.8,24.5,29.7,32,18.7
PJM,1/27/1980,14.7,21,30,29.1,16.3
PJM,1/28/1980,16.5,21.4,27.7,27.5,15.8
PJM,1/29/1980,16.2,19.3,24.9,25.1,14.7
PJM,1/30/1980,11.4,15.8,22.7,22.7,12.9
PJM,1/31/1980,11.1,15.4,20.6,20.5,8.3
PJM,2/1/1980,2.5,9.7,18.1,19.6,5.5
PJM,2/2/1980,2.8,9.8,20,20.3,3
PJM,2/3/1980,3.6,11.6,22.7,22.1,3.5
PJM,2/4/1980,4.2,12.4,23.7,24.9,4.9
PJM,2/5/1980,6.9,15.2,28.2,27.5,8.9
PJM,2/6/1980,15.7,21.7,30.6,29.8,12.6
PJM,2/7/1980,15.1,22.3,30.6,30.7,14.9
PJM,2/8/1980,13.8,21,30.9,30.7,14.8
PJM,2/9/1980,15.6,22,30.6,29.8,14.5
PJM,2/10/1980,14.2,20.5,27.8,29.8,14.1
PJM,2/11/1980,12.4,20.1,30.9,28.9,12.7
PJM,2/12/1980,11.5,19.2,27.9,29.9,10.9
PJM,2/13/1980,8.8,18.4,30.8,32.2,13.6
PJM,2/14/1980,20.6,26.7,37.9,34.8,17.9
