Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Quebec,1/1/1981,-23.2,9.4,10.9,-14.1
Quebec,1/2/1981,-5,12.3,3.8,-19.5
Quebec,1/3/1981,-30.2,-10.3,-0.1,-23.5
Quebec,1/4/1981,-35.4,-2.3,-2.3,-29.1
Quebec,1/5/1981,-21.7,5.7,8.7,-21.4
Quebec,1/6/1981,-7,22.8,17.7,-7
Quebec,1/7/1981,7.7,24.7,16.6,-2
Quebec,1/8/1981,-6.6,2.2,10.8,-5
Quebec,1/9/1981,-16.1,5.6,5.6,-9.6
Quebec,1/10/1981,-6,9.1,2.7,-12.7
Quebec,1/11/1981,-16,-6.5,-0.1,-11.6
Quebec,1/12/1981,-12.7,-3,-3.7,-18.3
Quebec,1/13/1981,-26.4,-1.8,-0.2,-20.7
Quebec,1/14/1981,-23.1,4,3.4,-23.6
Quebec,1/15/1981,-21.4,7.9,7.5,-20.4
Quebec,1/16/1981,-16.8,10.7,11.6,-14.4
Quebec,1/17/1981,-5.1,16.3,17.2,-12.8
Quebec,1/18/1981,-16.5,24.7,23.8,-3
Quebec,1/19/1981,12.6,30.4,23.1,-1.8
Quebec,1/20/1981,-1.4,14,19.8,-1.1
Quebec,1/21/1981,-14.4,14.9,17.4,-3.4
Quebec,1/22/1981,5.8,23.4,20.3,-0.3
Quebec,1/23/1981,7.9,22.6,24.7,9.7
Quebec,1/24/1981,15.5,28.3,25,4.8
Quebec,1/25/1981,-8.9,24,30.9,7.8
Quebec,1/26/1981,16.7,40.3,33.2,10.4
Quebec,1/27/1981,23.3,35.1,30.6,12.8
Quebec,1/28/1981,-1.7,16.2,23.5,5.6
Quebec,1/29/1981,-4.8,19.3,14.7,-4.5
Quebec,1/30/1981,-7,8.7,15.7,-6.9
Quebec,1/31/1981,-9,19,21.9,-5.1
Quebec,2/1/1981,0.7,37.9,31.7,5.5
Quebec,2/2/1981,24.9,38.2,27.2,7.7
Quebec,2/3/1981,-2.6,5.7,16.4,3.2
Quebec,2/4/1981,-12.7,5.4,7.3,-9.9
Quebec,2/5/1981,-14.3,10.9,12.3,-9.6
Quebec,2/6/1981,-1.8,20.6,21.1,-3
Quebec,2/7/1981,7.3,31.7,28.9,8.5
Quebec,2/8/1981,19.9,34.3,30.4,14.8
Quebec,2/9/1981,17.3,25.1,32.9,12.3
Quebec,2/10/1981,-0.2,39.3,38.1,14.5
Quebec,2/11/1981,26.3,49.9,33.9,8.7
Quebec,2/12/1981,0.1,12.6,26.8,7.2
Quebec,2/13/1981,-4.9,18.1,19.5,0.4
Quebec,2/14/1981,5.8,27.9,25.3,2.1
Quebec,2/15/1981,5.5,30.1,33.5,8
Quebec,2/16/1981,12.7,42.6,38.3,17.8
Quebec,2/17/1981,35.1,42.2,42.1,27.5
Quebec,2/18/1981,34.7,41.4,41.5,34.5
Quebec,2/19/1981,33.8,40.9,41.9,34.6
Quebec,2/20/1981,35.3,43.3,44.4,35.2
Quebec,2/21/1981,36.5,49,46.9,36.3
Quebec,2/22/1981,36.9,48.4,49.3,35
Quebec,2/23/1981,31.7,50.5,47.9,34.5
Quebec,2/24/1981,35.1,44.9,44.5,32.9
Quebec,2/25/1981,32,38,41.6,33
Quebec,2/26/1981,31.8,41.9,40.2,28.6
Quebec,2/27/1981,21.9,40.6,39.5,25.3
Quebec,2/28/1981,22.2,36.1,38.3,24.5
Quebec,3/1/1981,29.5,38.2,36.9,26.1
Quebec,3/2/1981,26.6,36.5,32.4,22.3
Quebec,3/3/1981,10.8,22.5,28.1,14.7
Quebec,3/4/1981,6.7,25.3,26.6,9.3
Quebec,3/5/1981,10.5,32.2,31.5,15.4
Quebec,3/6/1981,29,37,36.9,23.5
Quebec,3/7/1981,30.9,41.6,39.1,30.2
Quebec,3/8/1981,30.7,38.6,39.5,30.6
Quebec,3/9/1981,30.2,38.3,38,28.3
Quebec,3/10/1981,24,36.9,37.1,25.9
Quebec,3/11/1981,23.4,36,35.8,23.4
Quebec,3/12/1981,22.7,34.4,36.2,24.7
Quebec,3/13/1981,27.9,38.1,32.3,20.9
Quebec,3/14/1981,11.9,24.5,29.4,16.8
Quebec,3/15/1981,10.7,25.5,24.6,11.2
Quebec,3/16/1981,11.1,23.7,25.4,5.5
Quebec,3/17/1981,-5.3,26.9,24.2,6.7
Quebec,3/18/1981,14.2,21.9,26,6.6
Quebec,3/19/1981,11,29.3,29.3,15.9
Quebec,3/20/1981,22.7,36.8,35.9,20
Quebec,3/21/1981,26.4,41.7,40.4,24.9
Quebec,3/22/1981,25.7,42.8,44.6,24.3
Quebec,3/23/1981,20.8,49.2,46.1,25.8
Quebec,3/24/1981,30.8,46.1,47.2,25.5
Quebec,3/25/1981,25,46.2,48.6,26.1
Quebec,3/26/1981,22.3,53.3,50.2,26.3
Quebec,3/27/1981,31.6,51.2,52.3,24.9
Quebec,3/28/1981,20.9,52.5,54,29.1
