Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
RockyMtn,1/1/1980,25,28.8,35.8,32.7,23.8
RockyMtn,1/2/1980,22.5,26.2,29.6,32.1,21.2
RockyMtn,1/3/1980,16.1,21.4,30.9,30.5,19.6
RockyMtn,1/4/1980,20.1,24.4,30.9,32.6,19.6
RockyMtn,1/5/1980,22.5,26.7,36,32.9,20.2
RockyMtn,1/6/1980,18.1,28.1,31.7,28.6,15.4
RockyMtn,1/7/1980,5.6,10.9,18,24.9,11.3
RockyMtn,1/8/1980,10.3,14.7,25.1,23.9,9.3
RockyMtn,1/9/1980,12,18,28.7,29.8,15.2
RockyMtn,1/10/1980,23.4,28.5,35.6,31.4,15.8
RockyMtn,1/11/1980,12,19.8,29.9,34.4,18.4
RockyMtn,1/12/1980,19.8,26.1,37.7,36.6,21.8
RockyMtn,1/13/1980,33.7,36.8,42.2,40.8,29.1
RockyMtn,1/14/1980,33.8,36.4,42.5,41.3,32.8
RockyMtn,1/15/1980,31,34.7,39.1,38.9,30.7
RockyMtn,1/16/1980,27.3,30.8,35.1,36.6,27.4
RockyMtn,1/17/1980,24,28.2,35.7,33.8,25.9
RockyMtn,1/18/1980,26.3,28.1,30.7,31.1,21.2
RockyMtn,1/19/1980,13.2,19.8,26.9,27.5,17.4
RockyMtn,1/20/1980,12.7,16.4,24.8,28.1,14.3
RockyMtn,1/21/1980,17,22.5,32.6,28,13.6
RockyMtn,1/22/1980,11,19.1,26.5,31.3,14.5
RockyMtn,1/23/1980,15.6,22,34.9,33.8,17.4
RockyMtn,1/24/1980,25.7,31,40.1,36.3,20.5
RockyMtn,1/25/1980,20.3,26,34,31.8,16.9
RockyMtn,1/26/1980,4.6,11.5,21.2,24.1,9.3
RockyMtn,1/27/1980,2.9,8,17.1,17.3,4.2
RockyMtn,1/28/1980,5.1,8.8,13.7,16.6,3.9
RockyMtn,1/29/1980,3.8,8.5,19.1,17,4.4
RockyMtn,1/30/1980,4.2,12.2,18.3,21.8,4.6
RockyMtn,1/31/1980,5.8,12.7,27.9,27.5,8.9
RockyMtn,2/1/1980,16.8,23.5,36.2,33.9,15.5
RockyMtn,2/2/1980,24,29.1,37.7,38.5,22.1
RockyMtn,2/3/1980,25.4,30.6,41.6,39.6,26.8
RockyMtn,2/4/1980,31,34.2,39.4,38.4,26.1
RockyMtn,2/5/1980,21.9,27,34.3,36.3,25.4
RockyMtn,2/6/1980,23.3,27.1,35.1,33,21.8
RockyMtn,2/7/1980,20.1,23.9,29.7,28.1,16.3
