Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Southeast,1/1/1980,39.8,43.9,47.8,51.2,36.7
Southeast,1/2/1980,33.6,41.8,54.6,52.1,36.5
Southeast,1/3/1980,36,43.2,53.8,51.2,36.6
Southeast,1/4/1980,40.2,42,45.2,46.8,36.2
Southeast,1/5/1980,32.4,37.3,41.5,43.8,33.1
Southeast,1/6/1980,26.6,33.5,44.7,45.7,30.9
Southeast,1/7/1980,33.7,39.8,50.9,48.7,34.4
Southeast,1/8/1980,42.8,45.8,50.5,51,40.2
Southeast,1/9/1980,44.1,46.6,51.6,51.5,42.1
Southeast,1/10/1980,39.4,44.4,52.3,54.6,43.6
Southeast,1/11/1980,47.3,51.8,60,56.4,41.3
Southeast,1/12/1980,37.1,46.4,56.9,52.9,40.7
Southeast,1/13/1980,37.7,39.5,41.7,49.8,38.2
Southeast,1/14/1980,39.9,43.1,50.8,50.7,40
Southeast,1/15/1980,42.3,48.4,59.5,57.2,42.1
Southeast,1/16/1980,44,51,61.4,60.2,45.8
Southeast,1/17/1980,51.1,54.6,59.8,61.2,49.2
Southeast,1/18/1980,52.6,56,62.5,62,48.9
Southeast,1/19/1980,42.9,52.1,63.6,62.9,46.2
Southeast,1/20/1980,43,51.4,62.7,61.4,42.2
Southeast,1/21/1980,40.6,48.8,57.8,60,44
Southeast,1/22/1980,48.4,52.4,59.6,57.7,41.7
Southeast,1/23/1980,36,45,55.8,55.7,38.1
Southeast,1/24/1980,29.8,37.1,51.7,55.3,34.6
Southeast,1/25/1980,38.1,46.1,58.5,54.1,37.1
Southeast,1/26/1980,43.5,47.3,52,53,41.9
Southeast,1/27/1980,44.2,46.1,48.4,50.7,42.2
Southeast,1/28/1980,38.8,44.1,51.8,49.8,39.9
Southeast,1/29/1980,36.7,42.4,49.3,48.6,35.6
Southeast,1/30/1980,31.3,37.6,44.7,45.2,32.4
Southeast,1/31/1980,29.1,35.8,41.7,38.9,25.3
Southeast,2/1/1980,15.4,22.2,30.3,35.7,19.8
Southeast,2/2/1980,14.9,23,35,35,16.6
Southeast,2/3/1980,19.5,27.7,39.6,37.6,18.9
Southeast,2/4/1980,22.2,29.2,38.2,40.4,21.2
Southeast,2/5/1980,21.9,30,43.3,40.5,25.3
Southeast,2/6/1980,31.9,35.3,40,42,26.1
Southeast,2/7/1980,24.4,32.1,42.7,42.5,27.8
Southeast,2/8/1980,27.1,34.1,44.9,43.8,29.4
Southeast,2/9/1980,36.8,39.4,43.8,43.3,31.4
Southeast,2/10/1980,30.4,36.3,41.2,43.3,30.2
Southeast,2/11/1980,23.5,31.8,44.9,43.1,26.6
Southeast,2/12/1980,25.8,33.9,43.3,45.6,25
Southeast,2/13/1980,25.8,34.7,48.6,49.3,27.8
Southeast,2/14/1980,31.8,41.3,56.1,55,31.7
Southeast,2/15/1980,37.4,46.5,60.2,56.6,36.7
Southeast,2/16/1980,41,50.1,53.6,50.7,33.5
Southeast,2/17/1980,22.2,30.4,38.3,46.7,29.1
Southeast,2/18/1980,24.1,33.5,48.1,47,26.1
Southeast,2/19/1980,32.1,40.5,54.5,54.3,33
Southeast,2/20/1980,42.7,48.9,60.2,62.2,41.5
Southeast,2/21/1980,49.8,57.8,72,67.7,50.3
Southeast,2/22/1980,58.3,63.3,71,72.7,55.3
Southeast,2/23/1980,57.8,63.8,75.1,71.7,55.8
Southeast,2/24/1980,51.2,60.3,69,68.1,51.4
Southeast,2/25/1980,45.3,52.8,60.1,59.2,40.4
Southeast,2/26/1980,24.7,34.5,48.6,54.9,33.2
Southeast,2/27/1980,29.5,38.7,56,57.7,30.2
Southeast,2/28/1980,36.3,48.4,68.6,61.3,35
Southeast,2/29/1980,39.3,49.7,59.4,58.4,34.4
Southeast,3/1/1980,27.7,36.3,47.1,44.5,28.2
Southeast,3/2/1980,17.6,22.2,27.1,38.2,17.5
Southeast,3/3/1980,7.2,21.3,40.3,39.7,16.3
Southeast,3/4/1980,24.2,34.8,51.6,48.9,25.1
Southeast,3/5/1980,44,47.6,54.9,55.4,34.7
Southeast,3/6/1980,35.9,46.8,59.6,60.7,42
Southeast,3/7/1980,46,54,67.6,66.3,47.6
Southeast,3/8/1980,61,64.5,71.8,68.5,52.8
Southeast,3/9/1980,51.3,59.2,66.1,69.9,53.1
Southeast,3/10/1980,46.9,57.1,71.9,66.9,47.1
Southeast,3/11/1980,43.1,53.3,62.8,61.4,43.2
Southeast,3/12/1980,39.7,44.2,49.6,55,42.5
Southeast,3/13/1980,44.8,47.2,52.7,51.8,40.2
Southeast,3/14/1980,36.1,45,53.2,57.1,38.8
Southeast,3/15/1980,35.6,47.6,65.5,62.3,38.6
Southeast,3/16/1980,44,54.7,68.1,67.3,45.2
Southeast,3/17/1980,56,61,68.3,66.7,48.9
Southeast,3/18/1980,46.6,54.8,63.6,65.6,46.7
Southeast,3/19/1980,37.4,49,64.9,65.5,45.6
Southeast,3/20/1980,52.7,58.5,68,65.7,47.6
Southeast,3/21/1980,52.6,59.4,64.3,64.7,46.5
Southeast,3/22/1980,34.3,46.8,61.9,64.1,42
Southeast,3/23/1980,39,51.2,66.2,64.9,41.5
Southeast,3/24/1980,51.2,57.4,66.6,66.2,45.6
Southeast,3/25/1980,46.5,56.9,65.7,65.1,47.9
Southeast,3/26/1980,46.1,54.1,62.9,65.5,46.4
Southeast,3/27/1980,46.7,56.5,68,64,48.6
Southeast,3/28/1980,52.9,57.1,61.2,67.4,51.5
Southeast,3/29/1980,54.8,61.9,72.9,66.7,55.3
Southeast,3/30/1980,58.3,61.9,66.1,68.4,54.6
Southeast,3/31/1980,50.7,58.8,66.2,67.6,50.9
Southeast,4/1/1980,43.7,56.3,70.4,70.5,48.5
Southeast,4/2/1980,51,61.7,75,73.4,51.7
Southeast,4/3/1980,60.5,66.5,74.7,73.4,58.4
Southeast,4/4/1980,63.8,66.9,70.6,69.6,55.1
Southeast,4/5/1980,41,53,63.6,68.1,49.2
Southeast,4/6/1980,42.7,55.7,70.1,68.6,45
Southeast,4/7/1980,51.4,60.7,72,71.5,51.8
Southeast,4/8/1980,61.4,66.2,72.5,72.2,56.1
Southeast,4/9/1980,55.4,64.2,72.1,72.7,54.5
Southeast,4/10/1980,46.6,60.4,73.4,74.4,50.2
Southeast,4/11/1980,48.6,62.8,77.6,74.2,51.2
Southeast,4/12/1980,58.5,65,71.5,73.3,55.4
Southeast,4/13/1980,59,64.2,70.8,70.1,58.3
Southeast,4/14/1980,57.4,62.7,68.1,67.4,52.6
Southeast,4/15/1980,41.5,52.6,63.3,66.8,47.1
Southeast,4/16/1980,42.4,55.6,68.9,67.4,42.2
Southeast,4/17/1980,42.6,55.9,70,71,44.9
Southeast,4/18/1980,49.7,61,74,72.9,48.6
Southeast,4/19/1980,53.5,64,74.7,75.8,52
Southeast,4/20/1980,52.9,65.4,78.7,78.1,54.1
Southeast,4/21/1980,55.8,68.4,80.8,81.3,54.4
Southeast,4/22/1980,54.5,69.5,84.4,85.2,56.7
Southeast,4/23/1980,59.9,74,90.3,86.5,59.4
Southeast,4/24/1980,63.9,74.3,84.7,85.1,61.7
Southeast,4/25/1980,61.4,71.3,80.2,80.6,62.8
Southeast,4/26/1980,63.1,69.6,77,76.9,62.4
Southeast,4/27/1980,62.7,67.6,73.5,73.9,58.9
Southeast,4/28/1980,50.8,61.5,71.2,71.9,55
Southeast,4/29/1980,51.6,61.6,71.1,71.4,50.7
Southeast,4/30/1980,49.7,61.1,72,72.6,51.1
Southeast,5/1/1980,52.1,63.2,74.7,74.9,52
Southeast,5/2/1980,54.2,66.2,78,76.9,55.1
Southeast,5/3/1980,59.1,68.4,77.9,80.1,57.1
Southeast,5/4/1980,57.9,70.7,84.4,81.7,59.6
Southeast,5/5/1980,61.9,72.5,82.7,83.6,60.1
Southeast,5/6/1980,60.4,72.2,83.7,84.3,61
Southeast,5/7/1980,60.6,73.7,86.6,82.3,61.6
Southeast,5/8/1980,63.7,69.7,76.5,78.4,58.2
Southeast,5/9/1980,50.3,61.8,72,75.5,54.3
