Region,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Southwest,1/1/1980,42.1,49.8,61.2,60.3,40.5
Southwest,1/2/1980,38.9,48.4,59.4,59.4,39.2
Southwest,1/3/1980,36.5,45.8,57.6,58.7,37.4
Southwest,1/4/1980,36.8,46,59.1,59.3,37
Southwest,1/5/1980,37.8,47.6,61.3,59.5,38.1
Southwest,1/6/1980,39.7,48.1,58,58.5,39
Southwest,1/7/1980,39.4,46.5,56.1,57.1,40.1
Southwest,1/8/1980,41.3,47.5,57.3,56,40.5
Southwest,1/9/1980,40.9,47.2,54.5,56,42.9
Southwest,1/10/1980,46.5,50.4,56.3,54.8,43.6
Southwest,1/11/1980,43.3,46.9,53.5,56.1,45
Southwest,1/12/1980,45.3,49.8,58.6,58.5,45.5
Southwest,1/13/1980,48,54.2,63.5,61.3,47.4
Southwest,1/14/1980,48.8,54.4,61.7,61.6,47.6
Southwest,1/15/1980,45.9,52.2,59.7,60.1,45.3
Southwest,1/16/1980,41.1,49.3,58.9,59.3,42.8
Southwest,1/17/1980,41.3,49.3,59.2,58.6,41.6
Southwest,1/18/1980,42.3,49.7,57.8,57.1,39.9
Southwest,1/19/1980,36.1,44,54.3,55.7,37.7
Southwest,1/20/1980,34.7,42.9,55,55.3,36
Southwest,1/21/1980,37.2,45.2,56.6,54.9,36.1
Southwest,1/22/1980,36.5,43.8,53.1,54.9,35.7
Southwest,1/23/1980,33.5,42.2,54.9,55.5,34.9
Southwest,1/24/1980,34.8,44.4,58.5,57,34.8
Southwest,1/25/1980,36.1,45.8,57.5,57.5,35.8
Southwest,1/26/1980,36.4,45.6,56.4,57,36.4
Southwest,1/27/1980,36.8,45.5,57.1,56,37.7
Southwest,1/28/1980,39.8,45.7,54.4,54.6,39.7
Southwest,1/29/1980,42.5,46.5,52.4,54.5,43
Southwest,1/30/1980,46.6,50.2,56.7,57,45
Southwest,1/31/1980,45.9,52,61.8,60.7,45.6
Southwest,2/1/1980,44.3,52.5,63.7,64,44.5
Southwest,2/2/1980,43.3,53.1,66.6,66.3,44.1
Southwest,2/3/1980,44.8,54.9,68.6,68.4,45
Southwest,2/4/1980,47,56.8,69.9,69.2,45.8
Southwest,2/5/1980,45.6,56.2,69.1,69.2,46.7
Southwest,2/6/1980,47.6,56.8,68.7,68,44.7
Southwest,2/7/1980,41,51.7,66.3,63.3,41.8
Southwest,2/8/1980,36.8,45.2,54.8,58,37.6
Southwest,2/9/1980,34.9,43.2,53,54.3,35.1
Southwest,2/10/1980,33.6,43.3,55,55.2,34.4
Southwest,2/11/1980,34.6,45.1,57.7,57.4,34.9
Southwest,2/12/1980,36.6,47.1,59.4,58.4,37.5
Southwest,2/13/1980,41.3,48,58.2,58.8,42.1
Southwest,2/14/1980,48.5,51.9,58.8,58.4,46.7
Southwest,2/15/1980,50.2,53.6,58.1,58.7,47.8
Southwest,2/16/1980,44.8,51.3,59.2,58.9,47.4
Southwest,2/17/1980,47.3,52.4,59.3,59.4,46.5
Southwest,2/18/1980,47.5,52.6,59.6,60.5,48.2
Southwest,2/19/1980,49.7,54.8,62.7,60.6,46.9
Southwest,2/20/1980,43.5,51,59.5,60.2,45.6
Southwest,2/21/1980,43.7,49.6,58.5,59.3,43
Southwest,2/22/1980,41.8,49.8,59.8,60.2,42.2
Southwest,2/23/1980,41,50.7,62.4,62.3,41.5
Southwest,2/24/1980,41.8,52.2,64.6,65.5,41.9
Southwest,2/25/1980,42.9,54.6,69.5,69,43.4
Southwest,2/26/1980,45.5,57.5,73,72.6,45.6
Southwest,2/27/1980,48.3,60.3,75.4,74.2,47.7
Southwest,2/28/1980,49.3,61.6,74.3,73.8,47.9
Southwest,2/29/1980,46.1,57.7,71.8,71,46.1
Southwest,3/1/1980,42.8,54.3,66.8,69.1,44.3
Southwest,3/2/1980,44,55.2,68.6,67.5,44.6
Southwest,3/3/1980,46.9,54.2,67,65.4,43.7
Southwest,3/4/1980,40.3,50.2,60.6,63.8,42.6
Southwest,3/5/1980,40.5,51.1,63.8,62.8,41.4
Southwest,3/6/1980,43.5,53.4,64.1,63.2,41.1
Southwest,3/7/1980,39.3,49.8,61.8,62.9,40.7
Southwest,3/8/1980,39.3,49.9,62.7,63.5,40.1
Southwest,3/9/1980,41.8,53,66.1,65.5,42.4
Southwest,3/10/1980,46,56.2,67.6,66.4,45
Southwest,3/11/1980,47.3,54.3,65.5,64.7,44.6
Southwest,3/12/1980,40.5,50.3,60.9,64.5,43
Southwest,3/13/1980,41.3,52.6,67.2,66.6,42.4
Southwest,3/14/1980,45.4,57.4,71.7,69.8,44.4
Southwest,3/15/1980,46.5,58.5,70.6,70.4,45.2
Southwest,3/16/1980,43.6,55.4,68.8,67.8,42.5
Southwest,3/17/1980,37.3,50.2,63.9,66.8,40.7
