Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
SPP-N,1/1/1980,18.8,32.1,28.5,17.1
SPP-N,1/2/1980,15.4,24.9,26.7,14.9
SPP-N,1/3/1980,10.5,23.1,25.1,13.6
SPP-N,1/4/1980,15.1,27.1,25.3,13.4
SPP-N,1/5/1980,14.7,25.6,25,13.3
SPP-N,1/6/1980,10.1,22.2,18.4,6.2
SPP-N,1/7/1980,-6.1,7.4,10.7,-0.6
SPP-N,1/8/1980,-5.8,2.4,6.1,-6.8
SPP-N,1/9/1980,-8.6,8.3,13.7,-2.1
SPP-N,1/10/1980,8.1,30.2,23,0.2
SPP-N,1/11/1980,1.1,30.4,28.5,2.2
SPP-N,1/12/1980,-2.7,24.9,30.3,7.7
SPP-N,1/13/1980,24.5,35.5,32,13.7
SPP-N,1/14/1980,19.4,35.5,35.9,24.9
SPP-N,1/15/1980,30.9,36.6,35,25.4
SPP-N,1/16/1980,26.1,33,32.6,24.7
SPP-N,1/17/1980,17.1,28.1,30.2,20.9
SPP-N,1/18/1980,19.6,29.3,27.9,17.6
SPP-N,1/19/1980,15.9,26.2,26.7,15.7
SPP-N,1/20/1980,11.4,24.6,26.7,14.9
SPP-N,1/21/1980,17.3,29.1,26,13.3
SPP-N,1/22/1980,11.1,24.2,25.4,11.3
SPP-N,1/23/1980,5.6,23,27.3,12.3
SPP-N,1/24/1980,20.2,34.7,28.9,10.5
SPP-N,1/25/1980,5.8,29,22.4,5.3
SPP-N,1/26/1980,-10.2,3.3,11.7,-4.2
SPP-N,1/27/1980,-8.2,2.8,3.5,-7.8
SPP-N,1/28/1980,-5.1,4.5,3.8,-7.5
SPP-N,1/29/1980,-9.1,4.1,5.2,-5.7
SPP-N,1/30/1980,-2.8,6.9,7,-8.6
SPP-N,1/31/1980,-13.9,9.9,10.1,-8.2
SPP-N,2/1/1980,-8,13.4,15.2,-4
SPP-N,2/2/1980,9.7,22.2,19.1,3.7
SPP-N,2/3/1980,9.4,21.7,23.4,10.9
SPP-N,2/4/1980,13.4,26.3,24.1,14.2
SPP-N,2/5/1980,19.7,24.2,24.1,12.4
SPP-N,2/6/1980,4.1,21.8,21.5,8.9
SPP-N,2/7/1980,2.8,18.6,19.3,3
SPP-N,2/8/1980,1.9,17.5,18.4,2.5
SPP-N,2/9/1980,2.8,19.1,19,3.5
SPP-N,2/10/1980,5.6,20.4,17.9,2.1
SPP-N,2/11/1980,-2.2,14.1,17.8,-1.4
SPP-N,2/12/1980,-7.7,18.8,18.1,0
SPP-N,2/13/1980,10,21.5,18.7,2
SPP-N,2/14/1980,3.8,15.9,16.7,5.8
SPP-N,2/15/1980,3.6,12.7,11.7,-2.3
SPP-N,2/16/1980,-14.4,6.4,12.4,-7.3
SPP-N,2/17/1980,-11.2,18.1,18.1,-7
SPP-N,2/18/1980,4.7,29.8,26.6,6.3
SPP-N,2/19/1980,25.5,31.9,30.8,18
SPP-N,2/20/1980,23.8,30.6,31.3,25
SPP-N,2/21/1980,25.7,31.3,30.8,24.6
