Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
SPP-S,1/1/1980,27.1,49.1,48,29.5
SPP-S,1/2/1980,31.9,46.9,45.3,29.8
SPP-S,1/3/1980,30.4,39.9,42,29.2
SPP-S,1/4/1980,25.2,39.3,40.6,28
SPP-S,1/5/1980,28.4,42.6,43.9,28.4
SPP-S,1/6/1980,31.6,49.8,45.7,27.6
SPP-S,1/7/1980,22.6,44.6,43.2,25.4
SPP-S,1/8/1980,22,35.2,38.7,24
SPP-S,1/9/1980,27.5,36.4,40.2,27.6
SPP-S,1/10/1980,33.3,49.2,45.7,33.2
SPP-S,1/11/1980,38.9,51.7,48.1,33.3
SPP-S,1/12/1980,27.7,43.3,49.4,32.5
SPP-S,1/13/1980,31.1,53.2,52.3,31.2
SPP-S,1/14/1980,34.8,60.4,57.2,38.2
SPP-S,1/15/1980,48.9,58,58,43.8
SPP-S,1/16/1980,47.8,55.6,54.8,44.5
SPP-S,1/17/1980,36.8,50.8,54.1,40.8
SPP-S,1/18/1980,37.8,56,52.4,38.9
SPP-S,1/19/1980,42.2,50.5,50.9,39.7
SPP-S,1/20/1980,39.2,46.2,46.1,39.4
SPP-S,1/21/1980,36.8,41.6,42.9,35.9
SPP-S,1/22/1980,31.6,40.9,41.5,30.5
SPP-S,1/23/1980,23,42.1,45.9,28.4
SPP-S,1/24/1980,30.7,54.8,48.1,29.1
SPP-S,1/25/1980,33.6,47.3,47.7,30.5
SPP-S,1/26/1980,27.4,40.8,38.7,27
SPP-S,1/27/1980,20.1,28,32.8,24.1
SPP-S,1/28/1980,24.8,29.5,28.2,22
SPP-S,1/29/1980,21,27.1,29.1,23.7
SPP-S,1/30/1980,25.4,30.7,27.8,16.7
SPP-S,1/31/1980,3.7,25.6,28,11.1
SPP-S,2/1/1980,4.2,27.6,29.3,9.8
SPP-S,2/2/1980,21.4,34.5,33.7,16.7
SPP-S,2/3/1980,24.5,38.9,38,24.3
SPP-S,2/4/1980,27,40.7,40.6,27.8
SPP-S,2/5/1980,32,42.1,40.7,25.9
SPP-S,2/6/1980,18.6,39.2,38.8,24.9
SPP-S,2/7/1980,24.1,35.1,35.8,22.8
SPP-S,2/8/1980,25.6,33,31.6,21.4
SPP-S,2/9/1980,14.4,26.6,30.5,16.1
SPP-S,2/10/1980,8.4,31.9,29,12.9
SPP-S,2/11/1980,15.8,28.6,31.1,10.7
SPP-S,2/12/1980,7.8,32.9,34.5,15.5
SPP-S,2/13/1980,22.9,42,40.2,23.1
SPP-S,2/14/1980,38.5,45.6,44.1,32.6
SPP-S,2/15/1980,36.3,44.5,41.3,28.8
SPP-S,2/16/1980,11.4,33.8,36,18.4
SPP-S,2/17/1980,7.5,29.7,34.7,12.8
SPP-S,2/18/1980,19.4,40.5,40.5,21
SPP-S,2/19/1980,36.2,51.3,49.6,30.3
SPP-S,2/20/1980,35.4,57,55.2,38.6
SPP-S,2/21/1980,44.3,57.2,57.4,38.6
SPP-S,2/22/1980,36.2,58.1,55.6,38.7
SPP-S,2/23/1980,35.7,51.6,52,35.3
SPP-S,2/24/1980,33.9,46.3,46.5,32.6
SPP-S,2/25/1980,28.2,41.5,44.9,27.5
SPP-S,2/26/1980,20.4,47,49.7,26
SPP-S,2/27/1980,29.5,60.4,56.4,29.9
SPP-S,2/28/1980,39.7,61.7,58.6,32.7
SPP-S,2/29/1980,28.8,53.5,48.1,26.2
SPP-S,3/1/1980,10.1,29.1,38.3,13.9
SPP-S,3/2/1980,2.8,32.2,36.4,11.4
SPP-S,3/3/1980,21.2,47.8,44.8,20
SPP-S,3/4/1980,36,54.2,49.4,25.7
SPP-S,3/5/1980,19.9,46.1,52.7,26.7
SPP-S,3/6/1980,24.1,57.6,53,28.6
SPP-S,3/7/1980,42,55.3,55.1,33.7
SPP-S,3/8/1980,35,52.3,56,36.4
SPP-S,3/9/1980,32.2,60.4,58.5,35.2
SPP-S,3/10/1980,38.5,62.8,58.6,34.2
SPP-S,3/11/1980,32,52.6,55.4,36
SPP-S,3/12/1980,37.5,50.7,50.4,34.3
SPP-S,3/13/1980,33.3,47.9,52.7,33.4
SPP-S,3/14/1980,29.4,59.4,57.5,33.6
SPP-S,3/15/1980,38.2,65.2,63.2,39.5
SPP-S,3/16/1980,50.9,65,62.7,40.9
SPP-S,3/17/1980,33.4,58.1,60.1,37.6
SPP-S,3/18/1980,28.4,57.2,59.4,32.9
SPP-S,3/19/1980,37,62.9,59.8,38.1
SPP-S,3/20/1980,49,59.1,59.7,39.2
SPP-S,3/21/1980,31.7,57.2,60.5,39.2
SPP-S,3/22/1980,36.8,65.3,60.9,38.3
SPP-S,3/23/1980,46.4,60.3,59.5,40.1
SPP-S,3/24/1980,37,53,55.2,39.5
SPP-S,3/25/1980,35.1,52.2,55.8,36.9
SPP-S,3/26/1980,38.5,62.4,57.9,40.5
SPP-S,3/27/1980,47.8,59.1,61.4,44.9
SPP-S,3/28/1980,48.3,62.8,60.7,46.5
SPP-S,3/29/1980,43.5,60.1,58.7,43.2
SPP-S,3/30/1980,38,53.2,57.8,38.8
SPP-S,3/31/1980,34.8,59.9,60.1,38.4
SPP-S,4/1/1980,42.5,67.1,63.1,40.2
SPP-S,4/2/1980,43.4,62.1,63.2,44.1
SPP-S,4/3/1980,46.5,60.4,60.4,41.6
SPP-S,4/4/1980,34.9,58.7,62.2,40
SPP-S,4/5/1980,38.5,67.5,65.2,40.4
SPP-S,4/6/1980,47.7,69.3,70.4,46.2
SPP-S,4/7/1980,52.3,74.3,70.6,48.3
SPP-S,4/8/1980,45.1,68.1,68.1,45
SPP-S,4/9/1980,37.7,62.1,68,40.9
SPP-S,4/10/1980,40,73.9,68.4,43
SPP-S,4/11/1980,51.4,69.3,66.2,42.6
SPP-S,4/12/1980,36.3,55.5,58.2,41
SPP-S,4/13/1980,35.3,49.9,53.1,34.3
SPP-S,4/14/1980,31.2,54,57.4,33.6
SPP-S,4/15/1980,34.5,68.3,65.5,36
SPP-S,4/16/1980,42.4,74.2,70.1,41.8
SPP-S,4/17/1980,48.6,67.7,70.1,45.5
SPP-S,4/18/1980,45.4,68.4,70.5,46.9
SPP-S,4/19/1980,46.8,75.5,75.1,47.8
SPP-S,4/20/1980,51.3,81.5,80.4,50.6
SPP-S,4/21/1980,53.7,84.3,82.9,53.8
SPP-S,4/22/1980,56.3,83,81.7,55.7
SPP-S,4/23/1980,57.1,78,78,56.1
SPP-S,4/24/1980,54.8,73.1,71.4,53.3
SPP-S,4/25/1980,48.2,63,64.2,49.1
SPP-S,4/26/1980,44.5,56.6,61.5,44.6
SPP-S,4/27/1980,41.2,64.9,64.3,43
SPP-S,4/28/1980,43.4,71.4,70.8,43.7
SPP-S,4/29/1980,46.5,76.1,73.2,47.2
SPP-S,4/30/1980,51.8,72,72.3,50
SPP-S,5/1/1980,51.9,68.9,71,52
SPP-S,5/2/1980,52.2,72.2,71.9,51.7
SPP-S,5/3/1980,51.1,74.6,74.6,52
SPP-S,5/4/1980,52.7,77,76.1,52.7
SPP-S,5/5/1980,54.2,76.8,77.7,54
SPP-S,5/6/1980,54.9,79.2,77,55.3
SPP-S,5/7/1980,56.8,74.9,73.1,52.3
