Region,Time_UTC,T2,Q2,SWDOWN,GLW,WSPD,Temperature_F
ERCOT,6/25/1980 0:00,310.9,0,286.2,423.9,5.5,99.9
ERCOT,6/25/1980 1:00,308.6,0,77.3,418.3,5.2,95.7
ERCOT,6/25/1980 2:00,305.9,0,0.3,409.2,5,90.9
ERCOT,6/25/1980 3:00,304.2,0,0,402.8,5,87.8
ERCOT,6/25/1980 4:00,302.9,0,0,395.2,5,85.5
ERCOT,6/25/1980 5:00,301.8,0,0,389,5,83.7
ERCOT,6/25/1980 6:00,301,0,0,385.4,5,82.1
ERCOT,6/25/1980 7:00,300.1,0,0,380.6,5,80.5
ERCOT,6/25/1980 8:00,299.2,0,0,376.9,5,79
ERCOT,6/25/1980 9:00,298.5,0,0,374.4,4.7,77.6
ERCOT,6/25/1980 10:00,297.9,0,0,373,4.4,76.6
ERCOT,6/25/1980 11:00,297.4,0,0,372.6,4,75.7
ERCOT,6/25/1980 12:00,297.7,0,59.5,373.3,3.9,76.2
ERCOT,6/25/1980 13:00,299.9,0,266.3,377,4.6,80.2
ERCOT,6/25/1980 14:00,302.7,0,493.1,385.2,5.6,85.2
ERCOT,6/25/1980 15:00,305.2,0,662.3,392.1,6.3,89.6
ERCOT,6/25/1980 16:00,307.4,0,842.3,400.9,6.2,93.7
ERCOT,6/25/1980 17:00,309.3,0,968.1,408.4,5.7,97
ERCOT,6/25/1980 18:00,310.7,0,1024.3,414.1,5.2,99.6
ERCOT,6/25/1980 19:00,311.9,0,1028.4,419.9,4.8,101.8
ERCOT,6/25/1980 20:00,312.7,0,963.5,423.8,4.5,103.2
ERCOT,6/25/1980 21:00,313.2,0,864.7,425.3,4.3,104
ERCOT,6/25/1980 22:00,313.2,0,697.1,425.9,4.4,104
ERCOT,6/25/1980 23:00,312.7,0,487.2,425.1,4.6,103.2
ERCOT,6/26/1980 0:00,311.6,0,260.4,422.4,4.7,101.2
ERCOT,6/26/1980 1:00,309.4,0,87.7,418.1,4.5,97.3
ERCOT,6/26/1980 2:00,306,0,0.6,407.4,4.2,91.2
ERCOT,6/26/1980 3:00,304,0,0,396.9,4.2,87.5
ERCOT,6/26/1980 4:00,302.6,0,0,388.4,4.2,84.9
ERCOT,6/26/1980 5:00,301.4,0,0,383,3.9,82.9
ERCOT,6/26/1980 6:00,300.2,0,0,377.2,3.5,80.7
ERCOT,6/26/1980 7:00,299.1,0,0,373.1,3.2,78.7
ERCOT,6/26/1980 8:00,298.2,0,0,369.3,3.2,77.1
ERCOT,6/26/1980 9:00,297.5,0,0,366.2,3.2,75.8
ERCOT,6/26/1980 10:00,297,0,0,364.9,3.3,74.9
