Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
Florida,1/12/1981 0:00,45.8,0,0,254.1,3.71
Florida,1/12/1981 1:00,43.7,0,0,250.4,3.79
Florida,1/12/1981 2:00,42.2,0,0,246.4,3.95
Florida,1/12/1981 3:00,40.7,0,0,243.4,4.06
Florida,1/12/1981 4:00,39.3,0,0,240.2,4.17
Florida,1/12/1981 5:00,38.6,0,0,238.4,4.58
Florida,1/12/1981 6:00,37.6,0,0,236.2,4.75
Florida,1/12/1981 7:00,36.6,0,0,233.7,4.92
Florida,1/12/1981 8:00,35.7,0,0,229.6,5.28
Florida,1/12/1981 9:00,34.7,0,0,225.8,5.69
Florida,1/12/1981 10:00,33.4,0,0,221.4,5.83
Florida,1/12/1981 11:00,32.2,0,0,218.5,5.95
Florida,1/12/1981 12:00,31.5,0,0,216.5,6.06
Florida,1/12/1981 13:00,32.6,0,110.2,214.8,6.42
Florida,1/12/1981 14:00,35.4,0,337.9,214.8,7
Florida,1/12/1981 15:00,37.9,0,507.5,215.1,7.1
Florida,1/12/1981 16:00,40.5,0,663.5,216.7,7.12
Florida,1/12/1981 17:00,42.8,0,746.1,219.2,7.09
Florida,1/12/1981 18:00,44.4,0,752.4,221.2,6.87
Florida,1/12/1981 19:00,45.4,0,684,223,6.72
Florida,1/12/1981 20:00,45.4,0,534.6,223.8,6.42
Florida,1/12/1981 21:00,44.8,0,365.8,224.2,6.18
Florida,1/12/1981 22:00,42.9,0,124,223.6,5.81
Florida,1/12/1981 23:00,38.3,0,0,221.6,4.7
Florida,1/13/1981 0:00,35.6,0,0,218.8,4.36
Florida,1/13/1981 1:00,34,0,0,216,4.44
Florida,1/13/1981 2:00,32.9,0,0,214.3,4.6
Florida,1/13/1981 3:00,32,0,0,212.4,4.74
Florida,1/13/1981 4:00,31.2,0,0,211.1,4.82
Florida,1/13/1981 5:00,30.6,0,0,209.9,4.84
Florida,1/13/1981 6:00,29.8,0,0,208.3,4.78
Florida,1/13/1981 7:00,29,0,0,206.8,4.59
Florida,1/13/1981 8:00,28.1,0,0,205.7,4.38
Florida,1/13/1981 9:00,27.2,0,0,204.3,4.17
Florida,1/13/1981 10:00,26.4,0,0,202.9,3.91
Florida,1/13/1981 11:00,25.4,0,0,202,3.8
Florida,1/13/1981 12:00,24.8,0,0,201.6,3.63
Florida,1/13/1981 13:00,27.3,0,125.5,202.8,3.57
Florida,1/13/1981 14:00,33.7,0,330.3,207.8,3.76
Florida,1/13/1981 15:00,39.6,0,511.1,213.2,3.93
Florida,1/13/1981 16:00,43.7,0,675.7,219.8,3.82
Florida,1/13/1981 17:00,46.9,0,745.1,224.4,3.52
Florida,1/13/1981 18:00,49.2,0,753.3,228.8,3.26
Florida,1/13/1981 19:00,50.5,0,677.7,233.3,3.1
Florida,1/13/1981 20:00,51.3,0,554.6,235.5,2.99
Florida,1/13/1981 21:00,51.2,0,383.3,237.3,2.93
Florida,1/13/1981 22:00,48.5,0,133.4,238,2.44
Florida,1/13/1981 23:00,41.7,0,0,234.7,2.09
Florida,1/18/1981 0:00,42.9,0,0,244.8,4.82
Florida,1/18/1981 1:00,41,0,0,242.3,4.78
Florida,1/18/1981 2:00,39.5,0,0,239.1,5
Florida,1/18/1981 3:00,38.4,0,0,236.6,5.1
Florida,1/18/1981 4:00,37.4,0,0,233.7,5.04
Florida,1/18/1981 5:00,36.5,0,0,232.1,5.12
Florida,1/18/1981 6:00,35.8,0,0,230.8,5.11
Florida,1/18/1981 7:00,35.1,0,0,229.1,5.02
Florida,1/18/1981 8:00,34.3,0,0,226.6,4.9
Florida,1/18/1981 9:00,33.2,0,0,224.1,4.79
Florida,1/18/1981 10:00,32.2,0,0,222.7,4.66
Florida,1/18/1981 11:00,31.4,0,0,221.6,4.44
Florida,1/18/1981 12:00,30.6,0,0,220.7,4.23
Florida,1/18/1981 13:00,32.7,0,102.4,221.3,4.36
Florida,1/18/1981 14:00,38.1,0,343.6,226.3,4.93
Florida,1/18/1981 15:00,43.1,0,518.1,231.4,4.99
Florida,1/18/1981 16:00,47.3,0,675.6,237.5,4.84
Florida,1/18/1981 17:00,50.5,0,746,241.3,4.53
Florida,1/18/1981 18:00,53.1,0,754.9,245.4,4.44
Florida,1/18/1981 19:00,54.8,0,696.1,248.1,4.49
Florida,1/18/1981 20:00,55.6,0,580.2,249.9,4.48
Florida,1/18/1981 21:00,55.2,0,368.7,250.9,4.31
Florida,1/18/1981 22:00,53.5,0,167.8,250.6,3.87
Florida,1/18/1981 23:00,46.6,0,0.9,248,3.15
Florida,6/15/1981 0:00,84.2,0,24.3,401,3.84
Florida,6/15/1981 1:00,81.4,0,0,396.8,3.02
Florida,6/15/1981 2:00,79.3,0,0,394.6,2.5
Florida,6/15/1981 3:00,78,0,0,390.5,2.26
Florida,6/15/1981 4:00,76.8,0,0,386.7,2.08
Florida,6/15/1981 5:00,75.5,0,0,379.6,1.97
Florida,6/15/1981 6:00,74.5,0,0,376.1,1.91
Florida,6/15/1981 7:00,73.6,0,0,375,1.81
Florida,6/15/1981 8:00,72.7,0,0,373.8,1.74
Florida,6/15/1981 9:00,71.9,0,0,372.4,1.66
Florida,6/15/1981 10:00,71.5,0,0,371.4,1.63
Florida,6/15/1981 11:00,71.9,0,41.5,371.9,1.57
Florida,6/15/1981 12:00,76.3,0,248,370.8,1.57
Florida,6/15/1981 13:00,81.2,0,465.1,379.7,2.62
Florida,6/15/1981 14:00,85,0,673,386.3,2.55
Florida,6/15/1981 15:00,88.3,0,841,393,2.14
Florida,6/15/1981 16:00,90.6,0,940.1,397.1,1.93
Florida,6/15/1981 17:00,92.4,0,999.5,401,2.21
Florida,6/15/1981 18:00,93.5,0,993.3,403.2,2.59
Florida,6/15/1981 19:00,94.2,0,935.9,403.9,2.94
Florida,6/15/1981 20:00,94.1,0,824.4,405.5,3.28
Florida,6/15/1981 21:00,93.3,0,655.6,405,3.62
Florida,6/15/1981 22:00,91.9,0,438.1,404.3,3.8
Florida,6/15/1981 23:00,89.3,0,209.8,402.2,3.81
Florida,6/16/1981 0:00,86,0,52.3,398.9,3.47
Florida,6/16/1981 1:00,82,0,0,394.3,2.85
Florida,6/16/1981 2:00,79.6,0,0,390.9,2.42
Florida,6/16/1981 3:00,77.9,0,0,389.3,2.01
Florida,6/16/1981 4:00,76.9,0,0,388.5,1.72
Florida,6/16/1981 5:00,76.1,0,0,387.5,1.72
Florida,6/16/1981 6:00,75.3,0,0,385.7,1.7
Florida,6/16/1981 7:00,74.2,0,0,382,1.64
Florida,6/16/1981 8:00,73.3,0,0,379.7,1.37
Florida,6/16/1981 9:00,72.4,0,0,378.5,1.18
Florida,6/16/1981 10:00,71.9,0,0,377.8,1.2
Florida,6/16/1981 11:00,72.7,0,46.5,377.7,1.22
Florida,6/16/1981 12:00,77.3,0,259.2,378.9,1.08
Florida,6/16/1981 13:00,82.9,0,492.1,390.5,1.55
Florida,6/16/1981 14:00,87.3,0,670,398.3,1.67
Florida,6/16/1981 15:00,90.4,0,845.7,405.8,1.99
Florida,6/16/1981 16:00,92.6,0,947.6,410.6,2.35
Florida,6/16/1981 17:00,94.2,0,1014.6,415.4,2.78
Florida,6/16/1981 18:00,94.9,0,1007.1,419,3.32
Florida,6/16/1981 19:00,95.4,0,949.6,421.1,3.79
Florida,6/16/1981 20:00,95,0,817,422.3,4.36
Florida,6/16/1981 21:00,94.1,0,632.2,422.2,4.76
Florida,6/16/1981 22:00,92.4,0,459.7,420.7,5.07
Florida,6/16/1981 23:00,89.9,0,234.1,417,5.02
Florida,6/17/1981 0:00,86.1,0,32.8,411.9,4.03
Florida,6/17/1981 1:00,82.8,0,0,406.5,2.89
Florida,6/17/1981 2:00,80.4,0,0,403.3,2.15
Florida,6/17/1981 3:00,78.8,0,0,399.7,1.75
Florida,6/17/1981 4:00,77.6,0,0,396.6,1.61
Florida,6/17/1981 5:00,76.7,0,0,394.2,1.57
Florida,6/17/1981 6:00,75.7,0,0,391.9,1.52
Florida,6/17/1981 7:00,74.7,0,0,389.7,1.4
Florida,6/17/1981 8:00,74.1,0,0,388.5,1.2
Florida,6/17/1981 9:00,73.5,0,0,386.7,1
Florida,6/17/1981 10:00,72.9,0,0,385.1,1.02
Florida,6/17/1981 11:00,74,0,46.1,384.1,0.96
Florida,6/17/1981 12:00,79,0,257.6,390,0.71
Florida,6/17/1981 13:00,84.4,0,489.8,400.6,1.41
Florida,6/17/1981 14:00,88.2,0,661.4,407.5,1.29
Florida,6/17/1981 15:00,91.1,0,833.7,414.6,1.64
Florida,6/17/1981 16:00,93.3,0,957.7,419.9,2.45
Florida,6/17/1981 17:00,94.8,0,1007.9,423.3,3.21
Florida,6/17/1981 18:00,95.3,0,1008,425.8,3.94
Florida,6/17/1981 19:00,95.1,0,935.3,427.4,4.48
Florida,6/17/1981 20:00,94.4,0,800.9,427.4,4.75
Florida,6/17/1981 21:00,93.1,0,648,426.5,4.86
Florida,6/17/1981 22:00,91.1,0,421.2,425.3,4.81
Florida,6/17/1981 23:00,88.7,0,237.9,422.7,4.61
Florida,12/11/1981 0:00,42.7,0,0,244,4.3
Florida,12/11/1981 1:00,40.8,0,0,242.1,4.27
Florida,12/11/1981 2:00,39.6,0,0,239.5,4.33
Florida,12/11/1981 3:00,38.5,0,0,237,4.43
Florida,12/11/1981 4:00,37,0,0,235.3,4.29
Florida,12/11/1981 5:00,35.5,0,0,233.4,4.06
