Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
GreatBasin,1/7/1982 0:00,10.8,0,38,174,4.03
GreatBasin,1/7/1982 1:00,8.4,0,0,169.7,4.13
GreatBasin,1/7/1982 2:00,7.1,0,0,166.8,4.23
GreatBasin,1/7/1982 3:00,6.3,0,0,164.6,4.2
GreatBasin,1/7/1982 4:00,5.8,0,0,163.7,4.06
GreatBasin,1/7/1982 5:00,5.4,0,0,163,3.72
GreatBasin,1/7/1982 6:00,5.1,0,0,162.5,3.56
GreatBasin,1/7/1982 7:00,4.8,0,0,162.7,3.46
GreatBasin,1/7/1982 8:00,4.5,0,0,162.7,3.36
GreatBasin,1/7/1982 9:00,4.1,0,0,162.3,3.19
GreatBasin,1/7/1982 10:00,3.9,0,0,162.1,3.08
GreatBasin,1/7/1982 11:00,3.6,0,0,161.8,3.04
GreatBasin,1/7/1982 12:00,3.3,0,0,161.6,3.04
GreatBasin,1/7/1982 13:00,3.3,0,0,161.8,3.1
GreatBasin,1/7/1982 14:00,3.4,0,0,162.1,3.1
GreatBasin,1/7/1982 15:00,3.8,0,14,162.6,3.08
GreatBasin,1/7/1982 16:00,6.7,0,139.3,163.5,3
GreatBasin,1/7/1982 17:00,10.6,0,326,165.6,2.89
GreatBasin,1/7/1982 18:00,13.4,0,437.5,168.1,2.94
GreatBasin,1/7/1982 19:00,15.9,0,517.7,170.5,3.19
GreatBasin,1/7/1982 20:00,17.2,0,529.4,172.4,3.46
GreatBasin,1/7/1982 21:00,18.2,0,476.8,174.3,3.48
GreatBasin,1/7/1982 22:00,18.4,0,380.5,175.9,3.53
GreatBasin,1/7/1982 23:00,16.7,0,211.1,176.8,3.37
GreatBasin,2/5/1982 0:00,14.5,0,158.6,177.1,3.43
GreatBasin,2/5/1982 1:00,10.2,0,5.7,172.9,2.97
GreatBasin,2/5/1982 2:00,8.3,0,0,169,2.99
GreatBasin,2/5/1982 3:00,7.1,0,0,167,2.93
GreatBasin,2/5/1982 4:00,6.3,0,0,165.1,2.83
GreatBasin,2/5/1982 5:00,5.6,0,0,163.6,2.57
GreatBasin,2/5/1982 6:00,5.2,0,0,162.1,2.52
GreatBasin,2/5/1982 7:00,4.6,0,0,160.7,2.41
GreatBasin,2/5/1982 8:00,4.1,0,0,159.4,2.42
GreatBasin,2/5/1982 9:00,3.5,0,0,157.7,2.42
GreatBasin,2/5/1982 10:00,2.9,0,0,156.7,2.45
GreatBasin,2/5/1982 11:00,2.6,0,0,156.7,2.48
GreatBasin,2/5/1982 12:00,2.2,0,0,156,2.48
GreatBasin,2/5/1982 13:00,2,0,0,156.1,2.55
GreatBasin,2/5/1982 14:00,1.7,0,0,155.8,2.63
GreatBasin,2/5/1982 15:00,1.9,0,29,155.5,2.59
GreatBasin,2/5/1982 16:00,5.5,0,217.6,156.6,2.52
GreatBasin,2/5/1982 17:00,9.3,0,414.9,159,2.28
GreatBasin,2/5/1982 18:00,12.2,0,539.7,160.4,2.19
GreatBasin,2/5/1982 19:00,14.4,0,635.5,162.9,2.33
GreatBasin,2/5/1982 20:00,16.3,0,657.5,165.3,2.59
GreatBasin,2/5/1982 21:00,17.3,0,620.2,166.9,2.72
GreatBasin,2/5/1982 22:00,17.6,0,509.6,168,2.79
GreatBasin,2/5/1982 23:00,17,0,339.2,168.4,2.69
GreatBasin,2/6/1982 0:00,14.5,0,167.8,167.9,2.61
GreatBasin,2/6/1982 1:00,10.3,0,7.8,166.7,2.45
GreatBasin,2/6/1982 2:00,8.9,0,0,165.2,2.7
GreatBasin,2/6/1982 3:00,8.2,0,0,164.3,2.79
GreatBasin,2/6/1982 4:00,7.7,0,0,163.5,2.81
GreatBasin,2/6/1982 5:00,7.5,0,0,162.9,2.78
GreatBasin,2/6/1982 6:00,7.1,0,0,162.6,2.79
GreatBasin,2/6/1982 7:00,7,0,0,163,2.85
GreatBasin,2/6/1982 8:00,6.8,0,0,163.7,2.93
GreatBasin,2/6/1982 9:00,6.7,0,0,164.1,2.96
GreatBasin,2/6/1982 10:00,6.6,0,0,165,2.95
GreatBasin,2/6/1982 11:00,6.5,0,0,165.5,2.98
GreatBasin,2/6/1982 12:00,6.4,0,0,165.9,2.95
GreatBasin,2/6/1982 13:00,6.4,0,0,166.5,2.94
GreatBasin,2/6/1982 14:00,6.4,0,0,167.5,2.83
GreatBasin,2/6/1982 15:00,7.1,0,43.6,168.1,2.75
GreatBasin,2/6/1982 16:00,10.9,0,229,170,2.57
GreatBasin,2/6/1982 17:00,14.5,0,391.3,172.3,2.43
GreatBasin,2/6/1982 18:00,17.7,0,549.3,176,2.45
GreatBasin,2/6/1982 19:00,20.1,0,623.7,180,2.55
GreatBasin,2/6/1982 20:00,21.8,0,643.9,184.6,2.72
