Region,Time_UTC,T2,Q2,SWDOWN,GLW,WSPD,Temperature_F
ISONE,7/21/1980 0:00,299.4,0,9.8,405.8,2.7,79.3
ISONE,7/21/1980 1:00,298.3,0,0,403,2.9,77.3
ISONE,7/21/1980 2:00,297.6,0,0,400.8,3.2,76
ISONE,7/21/1980 3:00,297.1,0,0,400.3,3.3,75
ISONE,7/21/1980 4:00,296.8,0,0,401.4,3.3,74.6
ISONE,7/21/1980 5:00,296.7,0,0,404,3.4,74.3
ISONE,7/21/1980 6:00,296.8,0,0,412.8,3.7,74.6
ISONE,7/21/1980 7:00,296.8,0,0,410.4,3.8,74.7
ISONE,7/21/1980 8:00,296.7,0,0,405.2,3.4,74.4
ISONE,7/21/1980 9:00,296.2,0,0,405.6,3,73.5
ISONE,7/21/1980 10:00,295.9,0,17.4,405.5,2.6,73
ISONE,7/21/1980 11:00,296.6,0,111.1,405.4,2.5,74.2
ISONE,7/21/1980 12:00,298,0,271.2,407.2,2.8,76.8
ISONE,7/21/1980 13:00,299.7,0,394,410.6,3,79.8
ISONE,7/21/1980 14:00,301.7,0,633.4,410.8,3.2,83.3
ISONE,7/21/1980 15:00,303.2,0,762.5,416.3,3.6,86
ISONE,7/21/1980 16:00,304.2,0,855.2,420.4,4,87.9
ISONE,7/21/1980 17:00,304.8,0,872.5,423.3,4.2,89
ISONE,7/21/1980 18:00,305,0,840.3,425.9,4.4,89.3
ISONE,7/21/1980 19:00,304.7,0,780.5,426,4.4,88.7
ISONE,7/21/1980 20:00,304.3,0,665.8,424.8,4.2,88.1
ISONE,7/21/1980 21:00,303.9,0,495,424.7,4,87.4
ISONE,7/21/1980 22:00,303.2,0,349,422.4,3.8,86.1
ISONE,7/21/1980 23:00,302.1,0,162.7,419.5,3.4,84
ISONE,12/26/1980 0:00,248.6,0,0,128.2,5.3,-12.2
ISONE,12/26/1980 1:00,248.5,0,0,129.9,4.7,-12.4
ISONE,12/26/1980 2:00,248.3,0,0,131.5,4.2,-12.7
ISONE,12/26/1980 3:00,248.2,0,0,133.7,3.5,-12.9
ISONE,12/26/1980 4:00,248.2,0,0,136.1,3.1,-12.8
ISONE,12/26/1980 5:00,248.4,0,0,139.4,2.9,-12.5
ISONE,12/26/1980 6:00,248.8,0,0,142.3,2.6,-11.8
ISONE,12/26/1980 7:00,249.3,0,0,146.7,2.4,-10.9
ISONE,12/26/1980 8:00,249.7,0,0,149.5,2.5,-10.2
ISONE,12/26/1980 9:00,250.2,0,0,152.5,2.6,-9.3
ISONE,12/26/1980 10:00,250.7,0,0,155.1,2.6,-8.5
ISONE,12/26/1980 11:00,251.2,0,0,159.7,2.5,-7.5
ISONE,12/26/1980 12:00,251.7,0,0,161,2.3,-6.7
