Region,Time_UTC,Temperature_F
MISO-N,1/9/1982 0:00,6.817353826
MISO-N,1/9/1982 1:00,5.859762399
MISO-N,1/9/1982 2:00,4.834460137
MISO-N,1/9/1982 3:00,3.782708528
MISO-N,1/9/1982 4:00,2.656798568
MISO-N,1/9/1982 5:00,1.434173445
MISO-N,1/9/1982 6:00,0.064216975
MISO-N,1/9/1982 7:00,-0.836876204
MISO-N,1/9/1982 8:00,-1.778423392
MISO-N,1/9/1982 9:00,-2.941215242
MISO-N,1/9/1982 10:00,-4.371794877
MISO-N,1/9/1982 11:00,-5.937887245
MISO-N,1/9/1982 12:00,-7.493172546
MISO-N,1/9/1982 13:00,-8.993084187
MISO-N,1/9/1982 14:00,-9.982763515
MISO-N,1/9/1982 15:00,-9.098704804
MISO-N,1/9/1982 16:00,-7.298545637
MISO-N,1/9/1982 17:00,-5.782525156
MISO-N,1/9/1982 18:00,-4.777772464
MISO-N,1/9/1982 19:00,-4.408390074
MISO-N,1/9/1982 20:00,-4.713966998
MISO-N,1/9/1982 21:00,-5.579159314
MISO-N,1/9/1982 22:00,-7.940894167
MISO-N,1/9/1982 23:00,-10.59132509
MISO-N,1/10/1982 0:00,-11.84852308
MISO-N,1/10/1982 1:00,-12.88151659
MISO-N,1/10/1982 2:00,-13.9620538
MISO-N,1/10/1982 3:00,-15.14390838
MISO-N,1/10/1982 4:00,-16.40390241
MISO-N,1/10/1982 5:00,-17.8726489
MISO-N,1/10/1982 6:00,-19.35021822
MISO-N,1/10/1982 7:00,-20.47368222
MISO-N,1/10/1982 8:00,-21.84357797
MISO-N,1/10/1982 9:00,-23.48577524
MISO-N,1/10/1982 10:00,-25.00008275
MISO-N,1/10/1982 11:00,-26.03353913
MISO-N,1/10/1982 12:00,-26.76339833
MISO-N,1/10/1982 13:00,-27.20517015
MISO-N,1/10/1982 14:00,-26.77330672
MISO-N,1/10/1982 15:00,-24.7178343
MISO-N,1/10/1982 16:00,-22.06350802
MISO-N,1/10/1982 17:00,-19.42193205
MISO-N,1/10/1982 18:00,-17.63425231
MISO-N,1/10/1982 19:00,-16.5657807
MISO-N,1/10/1982 20:00,-16.55789131
MISO-N,1/10/1982 21:00,-17.09871586
MISO-N,1/10/1982 22:00,-17.95592927
MISO-N,1/10/1982 23:00,-18.58928857
MISO-N,1/11/1982 0:00,-18.63648159
MISO-N,1/11/1982 1:00,-18.60358136
MISO-N,1/11/1982 2:00,-18.11678247
MISO-N,1/11/1982 3:00,-17.46376806
MISO-N,1/11/1982 4:00,-16.57777949
MISO-N,1/11/1982 5:00,-15.62597948
MISO-N,1/11/1982 6:00,-14.59460385
MISO-N,1/11/1982 7:00,-13.99818513
MISO-N,1/11/1982 8:00,-13.34523289
MISO-N,1/11/1982 9:00,-12.46135952
MISO-N,1/11/1982 10:00,-11.47024443
MISO-N,1/11/1982 11:00,-10.52660859
MISO-N,1/11/1982 12:00,-9.695698666
MISO-N,1/11/1982 13:00,-9.556547516
MISO-N,1/11/1982 14:00,-9.388305351
MISO-N,1/11/1982 15:00,-7.755967495
MISO-N,1/11/1982 16:00,-5.686817204
MISO-N,1/11/1982 17:00,-3.394886975
MISO-N,1/11/1982 18:00,-1.183206543
MISO-N,1/11/1982 19:00,0.566785564
MISO-N,1/11/1982 20:00,1.811131893
MISO-N,1/11/1982 21:00,2.067544073
MISO-N,1/11/1982 22:00,0.829732361
MISO-N,1/11/1982 23:00,-1.65433352
MISO-N,1/16/1982 0:00,7.973799032
MISO-N,1/16/1982 1:00,7.13396896
MISO-N,1/16/1982 2:00,6.636107617
MISO-N,1/16/1982 3:00,6.307933516
MISO-N,1/16/1982 4:00,5.831152903
MISO-N,1/16/1982 5:00,4.869520577
MISO-N,1/16/1982 6:00,3.22582423
MISO-N,1/16/1982 7:00,1.659277641
MISO-N,1/16/1982 8:00,-0.476934785
MISO-N,1/16/1982 9:00,-3.065728846
MISO-N,1/16/1982 10:00,-6.079009426
MISO-N,1/16/1982 11:00,-9.153209043
MISO-N,1/16/1982 12:00,-12.07750767
MISO-N,1/16/1982 13:00,-14.47153954
MISO-N,1/16/1982 14:00,-16.29742454
MISO-N,1/16/1982 15:00,-16.28231284
MISO-N,1/16/1982 16:00,-15.46451312
MISO-N,1/16/1982 17:00,-14.58393817
MISO-N,1/16/1982 18:00,-14.01652976
MISO-N,1/16/1982 19:00,-13.85456602
MISO-N,1/16/1982 20:00,-14.14555898
MISO-N,1/16/1982 21:00,-15.03901522
MISO-N,1/16/1982 22:00,-16.88907006
MISO-N,1/16/1982 23:00,-20.48106174
MISO-N,1/17/1982 0:00,-23.11655465
MISO-N,1/17/1982 1:00,-24.96592935
MISO-N,1/17/1982 2:00,-26.77125291
MISO-N,1/17/1982 3:00,-28.3952502
MISO-N,1/17/1982 4:00,-29.5491168
MISO-N,1/17/1982 5:00,-30.45607064
MISO-N,1/17/1982 6:00,-31.26517399
MISO-N,1/17/1982 7:00,-31.61771348
MISO-N,1/17/1982 8:00,-31.65482185
MISO-N,1/17/1982 9:00,-31.40284459
MISO-N,1/17/1982 10:00,-30.96950478
MISO-N,1/17/1982 11:00,-30.24551298
MISO-N,1/17/1982 12:00,-29.36597453
MISO-N,1/17/1982 13:00,-28.74897131
MISO-N,1/17/1982 14:00,-26.01823874
MISO-N,1/17/1982 15:00,-21.26351165
MISO-N,1/17/1982 16:00,-15.89201281
MISO-N,1/17/1982 17:00,-11.46136176
MISO-N,1/17/1982 18:00,-7.862540515
MISO-N,1/17/1982 19:00,-5.079622771
MISO-N,1/17/1982 20:00,-2.930314304
MISO-N,1/17/1982 21:00,-1.479286056
MISO-N,1/17/1982 22:00,-1.526684879
MISO-N,1/17/1982 23:00,-2.163592977
MISO-N,12/23/1983 0:00,-10.15885528
MISO-N,12/23/1983 1:00,-11.5437955
MISO-N,12/23/1983 2:00,-12.70246551
MISO-N,12/23/1983 3:00,-13.53686896
MISO-N,12/23/1983 4:00,-14.17615417
MISO-N,12/23/1983 5:00,-14.66256327
MISO-N,12/23/1983 6:00,-15.23446731
MISO-N,12/23/1983 7:00,-15.86708049
MISO-N,12/23/1983 8:00,-16.37384083
MISO-N,12/23/1983 9:00,-16.86686001
MISO-N,12/23/1983 10:00,-17.29771896
MISO-N,12/23/1983 11:00,-17.35132991
MISO-N,12/23/1983 12:00,-17.1761611
MISO-N,12/23/1983 13:00,-17.23665936
MISO-N,12/23/1983 14:00,-16.46910479
MISO-N,12/23/1983 15:00,-14.0774616
MISO-N,12/23/1983 16:00,-11.21833522
MISO-N,12/23/1983 17:00,-8.683546727
MISO-N,12/23/1983 18:00,-6.824585719
MISO-N,12/23/1983 19:00,-5.837259795
MISO-N,12/23/1983 20:00,-5.657448987
MISO-N,12/23/1983 21:00,-6.267212264
MISO-N,12/23/1983 22:00,-8.029453152
MISO-N,12/23/1983 23:00,-10.12426818
MISO-N,12/24/1983 0:00,-11.68988047
MISO-N,12/24/1983 1:00,-12.8242515
MISO-N,12/24/1983 2:00,-13.98615514
MISO-N,12/24/1983 3:00,-15.16679979
MISO-N,12/24/1983 4:00,-16.48051723
MISO-N,12/24/1983 5:00,-17.60990146
MISO-N,12/24/1983 6:00,-18.45021019
MISO-N,12/24/1983 7:00,-19.17077436
MISO-N,12/24/1983 8:00,-19.77012147
MISO-N,12/24/1983 9:00,-20.18602433
MISO-N,12/24/1983 10:00,-20.49912226
