Region,Time_UTC,Temperature_F
MISO-S,7/14/1980 0:00,95.16197554
MISO-S,7/14/1980 1:00,90.82910412
MISO-S,7/14/1980 2:00,87.25734806
MISO-S,7/14/1980 3:00,84.73054954
MISO-S,7/14/1980 4:00,82.46173454
MISO-S,7/14/1980 5:00,80.41772512
MISO-S,7/14/1980 6:00,78.54081223
MISO-S,7/14/1980 7:00,76.90010164
MISO-S,7/14/1980 8:00,75.42411136
MISO-S,7/14/1980 9:00,74.42392409
MISO-S,7/14/1980 10:00,73.78417654
MISO-S,7/14/1980 11:00,73.19478887
MISO-S,7/14/1980 12:00,74.9795481
MISO-S,7/14/1980 13:00,79.81467477
MISO-S,7/14/1980 14:00,86.01030727
MISO-S,7/14/1980 15:00,89.89887257
MISO-S,7/14/1980 16:00,92.97654271
MISO-S,7/14/1980 17:00,95.36714615
MISO-S,7/14/1980 18:00,97.30226221
MISO-S,7/14/1980 19:00,98.65333665
MISO-S,7/14/1980 20:00,99.40809719
MISO-S,7/14/1980 21:00,99.72564854
MISO-S,7/14/1980 22:00,99.22138658
MISO-S,7/14/1980 23:00,97.94516998
MISO-S,7/15/1980 0:00,95.48805023
MISO-S,7/15/1980 1:00,91.43008472
MISO-S,7/15/1980 2:00,88.18124633
MISO-S,7/15/1980 3:00,85.87776184
MISO-S,7/15/1980 4:00,83.99030411
MISO-S,7/15/1980 5:00,82.40350888
MISO-S,7/15/1980 6:00,81.00636891
MISO-S,7/15/1980 7:00,79.69932732
MISO-S,7/15/1980 8:00,78.51814664
MISO-S,7/15/1980 9:00,77.38363634
MISO-S,7/15/1980 10:00,76.29564958
MISO-S,7/15/1980 11:00,75.3309426
MISO-S,7/15/1980 12:00,77.4038142
MISO-S,7/15/1980 13:00,81.8699946
MISO-S,7/15/1980 14:00,87.77059669
MISO-S,7/15/1980 15:00,91.58254834
MISO-S,7/15/1980 16:00,94.40199462
MISO-S,7/15/1980 17:00,96.61170561
MISO-S,7/15/1980 18:00,98.3733894
MISO-S,7/15/1980 19:00,99.72082785
MISO-S,7/15/1980 20:00,100.5980752
MISO-S,7/15/1980 21:00,100.8710051
MISO-S,7/15/1980 22:00,100.4372465
MISO-S,7/15/1980 23:00,99.05603754
MISO-S,7/16/1980 0:00,96.48301341
MISO-S,7/16/1980 1:00,92.32503759
MISO-S,7/16/1980 2:00,88.70725628
MISO-S,7/16/1980 3:00,86.20180533
MISO-S,7/16/1980 4:00,84.01710767
MISO-S,7/16/1980 5:00,81.97839808
MISO-S,7/16/1980 6:00,80.16380711
MISO-S,7/16/1980 7:00,78.59315386
MISO-S,7/16/1980 8:00,77.15786786
MISO-S,7/16/1980 9:00,76.17867536
MISO-S,7/16/1980 10:00,75.51732246
MISO-S,7/16/1980 11:00,74.90058223
MISO-S,7/16/1980 12:00,76.1957292
MISO-S,7/16/1980 13:00,81.04783093
MISO-S,7/16/1980 14:00,86.48058703
MISO-S,7/16/1980 15:00,90.68687781
MISO-S,7/16/1980 16:00,93.9985404
MISO-S,7/16/1980 17:00,96.66747154
MISO-S,7/16/1980 18:00,98.70921358
MISO-S,7/16/1980 19:00,100.1385195
MISO-S,7/16/1980 20:00,100.9511332
MISO-S,7/16/1980 21:00,101.0364448
MISO-S,7/16/1980 22:00,100.4659261
MISO-S,7/16/1980 23:00,99.13927162
MISO-S,1/10/1982 0:00,42.16923737
MISO-S,1/10/1982 1:00,39.85072869
MISO-S,1/10/1982 2:00,37.9987331
MISO-S,1/10/1982 3:00,36.60498472
MISO-S,1/10/1982 4:00,35.32507427
MISO-S,1/10/1982 5:00,34.28250162
MISO-S,1/10/1982 6:00,33.53898092
MISO-S,1/10/1982 7:00,32.82321676
MISO-S,1/10/1982 8:00,32.19734056
MISO-S,1/10/1982 9:00,31.1352553
MISO-S,1/10/1982 10:00,30.11720429
MISO-S,1/10/1982 11:00,28.81086094
MISO-S,1/10/1982 12:00,27.57674716
MISO-S,1/10/1982 13:00,25.86156289
MISO-S,1/10/1982 14:00,27.0466906
MISO-S,1/10/1982 15:00,28.48461057
MISO-S,1/10/1982 16:00,29.24881649
MISO-S,1/10/1982 17:00,29.54877145
MISO-S,1/10/1982 18:00,29.97203709
MISO-S,1/10/1982 19:00,30.20067225
MISO-S,1/10/1982 20:00,29.63254048
MISO-S,1/10/1982 21:00,28.33299857
MISO-S,1/10/1982 22:00,26.03578194
MISO-S,1/10/1982 23:00,23.13754793
MISO-S,1/11/1982 0:00,20.15354177
MISO-S,1/11/1982 1:00,17.88887583
MISO-S,1/11/1982 2:00,15.70199076
MISO-S,1/11/1982 3:00,13.82333757
MISO-S,1/11/1982 4:00,12.38225631
MISO-S,1/11/1982 5:00,11.36898762
MISO-S,1/11/1982 6:00,10.4874132
MISO-S,1/11/1982 7:00,9.765597649
MISO-S,1/11/1982 8:00,8.9278915
MISO-S,1/11/1982 9:00,8.039267412
MISO-S,1/11/1982 10:00,7.265825636
MISO-S,1/11/1982 11:00,6.627907108
MISO-S,1/11/1982 12:00,6.116015135
MISO-S,1/11/1982 13:00,5.70651021
MISO-S,1/11/1982 14:00,6.64094617
MISO-S,1/11/1982 15:00,9.698044138
MISO-S,1/11/1982 16:00,13.31826702
MISO-S,1/11/1982 17:00,16.95313241
MISO-S,1/11/1982 18:00,20.0380723
MISO-S,1/11/1982 19:00,22.62817545
MISO-S,1/11/1982 20:00,24.49581314
MISO-S,1/11/1982 21:00,25.64911188
MISO-S,1/11/1982 22:00,25.81940423
MISO-S,1/11/1982 23:00,24.42970006
MISO-S,1/12/1982 0:00,22.61008379
MISO-S,1/12/1982 1:00,22.46440909
MISO-S,1/12/1982 2:00,22.46234938
MISO-S,1/12/1982 3:00,22.58238918
MISO-S,1/12/1982 4:00,22.6766765
MISO-S,1/12/1982 5:00,22.87825146
MISO-S,1/12/1982 6:00,23.57915766
MISO-S,1/12/1982 7:00,23.76387558
MISO-S,1/12/1982 8:00,24.19973179
MISO-S,1/12/1982 9:00,25.036091
MISO-S,1/12/1982 10:00,25.88547415
MISO-S,1/12/1982 11:00,26.44315874
MISO-S,1/12/1982 12:00,26.78787882
MISO-S,1/12/1982 13:00,26.95786292
MISO-S,1/12/1982 14:00,28.31455685
MISO-S,1/12/1982 15:00,29.44730092
MISO-S,1/12/1982 16:00,30.84991093
MISO-S,1/12/1982 17:00,31.63044049
MISO-S,1/12/1982 18:00,32.33140073
MISO-S,1/12/1982 19:00,32.76792495
MISO-S,1/12/1982 20:00,33.4026939
MISO-S,1/12/1982 21:00,34.28925074
MISO-S,1/12/1982 22:00,34.79408681
MISO-S,1/12/1982 23:00,35.15803225
MISO-S,12/24/1983 0:00,31.46233959
MISO-S,12/24/1983 1:00,31.14376861
MISO-S,12/24/1983 2:00,30.62489595
MISO-S,12/24/1983 3:00,29.79928072
MISO-S,12/24/1983 4:00,28.72874883
MISO-S,12/24/1983 5:00,27.5306121
MISO-S,12/24/1983 6:00,26.28660203
MISO-S,12/24/1983 7:00,24.95910526
MISO-S,12/24/1983 8:00,23.59116249
MISO-S,12/24/1983 9:00,21.88392788
MISO-S,12/24/1983 10:00,20.46321193
MISO-S,12/24/1983 11:00,19.18101562
MISO-S,12/24/1983 12:00,17.91158614
MISO-S,12/24/1983 13:00,16.78718912
MISO-S,12/24/1983 14:00,16.439694
MISO-S,12/24/1983 15:00,16.81140796
MISO-S,12/24/1983 16:00,17.81675039
MISO-S,12/24/1983 17:00,19.2868358
MISO-S,12/24/1983 18:00,20.35764112
MISO-S,12/24/1983 19:00,20.51307909
MISO-S,12/24/1983 20:00,20.03929688
MISO-S,12/24/1983 21:00,19.13760766
MISO-S,12/24/1983 22:00,17.45796565
MISO-S,12/24/1983 23:00,15.017645
MISO-S,12/25/1983 0:00,12.7410441
MISO-S,12/25/1983 1:00,11.06674085
MISO-S,12/25/1983 2:00,10.0033416
MISO-S,12/25/1983 3:00,9.202042293
MISO-S,12/25/1983 4:00,8.44697383
MISO-S,12/25/1983 5:00,7.577524847
MISO-S,12/25/1983 6:00,6.543864794
MISO-S,12/25/1983 7:00,5.564331126
MISO-S,12/25/1983 8:00,4.736167093
MISO-S,12/25/1983 9:00,4.106881716
MISO-S,12/25/1983 10:00,3.591816945
MISO-S,12/25/1983 11:00,3.186798663
MISO-S,12/25/1983 12:00,2.895154335
MISO-S,12/25/1983 13:00,2.697222755
MISO-S,12/25/1983 14:00,3.669848314
MISO-S,12/25/1983 15:00,5.607950646
MISO-S,12/25/1983 16:00,8.189973423
MISO-S,12/25/1983 17:00,10.99291635
MISO-S,12/25/1983 18:00,13.73800158
MISO-S,12/25/1983 19:00,16.01439203
MISO-S,12/25/1983 20:00,17.49491056
MISO-S,12/25/1983 21:00,18.25326486
MISO-S,12/25/1983 22:00,18.1614661
MISO-S,12/25/1983 23:00,16.72298371
MISO-S,12/26/1983 0:00,15.1687038
MISO-S,12/26/1983 1:00,14.18237547
MISO-S,12/26/1983 2:00,13.67299417
MISO-S,12/26/1983 3:00,13.27152188
MISO-S,12/26/1983 4:00,12.86153484
MISO-S,12/26/1983 5:00,12.60337279
MISO-S,12/26/1983 6:00,12.56352194
MISO-S,12/26/1983 7:00,12.62836313
MISO-S,12/26/1983 8:00,12.53718128
MISO-S,12/26/1983 9:00,12.61048127
MISO-S,12/26/1983 10:00,12.88520585
