Region,Time_UTC,T2,Q2,SWDOWN,GLW,WSPD,Temperature_F
NYISO,7/21/1980 0:00,300.9,0,21.4,414.3,3.3,82
NYISO,7/21/1980 1:00,299.4,0,0,410.3,3.1,79.2
NYISO,7/21/1980 2:00,298.7,0,0,405.8,3.1,78
NYISO,7/21/1980 3:00,298,0,0,400.5,3,76.7
NYISO,7/21/1980 4:00,298,0,0,399.4,3.4,76.8
NYISO,7/21/1980 5:00,298,0,0,399.6,3.9,76.7
NYISO,7/21/1980 6:00,297.8,0,0,399.9,3.8,76.4
NYISO,7/21/1980 7:00,297.5,0,0,400.8,3.8,75.9
NYISO,7/21/1980 8:00,297.2,0,0,399.8,3.7,75.4
NYISO,7/21/1980 9:00,296.9,0,0,399.3,3.6,74.8
NYISO,7/21/1980 10:00,296.7,0,11.1,397.6,3.4,74.4
NYISO,7/21/1980 11:00,297.8,0,156.3,398.6,3.6,76.4
NYISO,7/21/1980 12:00,299.6,0,349.9,402.4,3.8,79.7
NYISO,7/21/1980 13:00,301.8,0,500.9,407.4,4.1,83.6
NYISO,7/21/1980 14:00,303.9,0,671.6,413.9,4.4,87.3
NYISO,7/21/1980 15:00,305.1,0,809.3,418.3,4.8,89.5
NYISO,7/21/1980 16:00,305.9,0,904.8,419.3,4.8,90.9
NYISO,7/21/1980 17:00,306.4,0,938.5,420.2,5,91.8
NYISO,7/21/1980 18:00,306.6,0,919.4,420.6,5,92.2
NYISO,7/21/1980 19:00,306.5,0,858.1,419.9,5.1,92
NYISO,7/21/1980 20:00,306.3,0,728.3,419.4,4.9,91.7
NYISO,7/21/1980 21:00,306,0,552.6,419,4.6,91.1
NYISO,7/21/1980 22:00,305.4,0,396.8,417.5,4.1,90
NYISO,7/21/1980 23:00,304.3,0,199.2,415.9,3.6,88.1
NYISO,12/26/1980 0:00,253.1,0,0,148.8,3.6,-4
NYISO,12/26/1980 1:00,253,0,0,151.8,3.3,-4.3
NYISO,12/26/1980 2:00,252.8,0,0,154.3,3,-4.5
NYISO,12/26/1980 3:00,252.8,0,0,157,2.9,-4.6
NYISO,12/26/1980 4:00,252.9,0,0,159.2,3,-4.5
NYISO,12/26/1980 5:00,252.9,0,0,161.7,2.8,-4.4
NYISO,12/26/1980 6:00,253,0,0,163.1,2.5,-4.3
NYISO,12/26/1980 7:00,253.2,0,0,163.5,2.6,-3.9
NYISO,12/26/1980 8:00,253.2,0,0,164.3,2.6,-4
NYISO,12/26/1980 9:00,253.2,0,0,165.4,2.4,-4
NYISO,12/26/1980 10:00,253.3,0,0,166.9,2.4,-3.7
NYISO,12/26/1980 11:00,253.6,0,0,170.1,2.3,-3.3
NYISO,12/26/1980 12:00,253.9,0,0,174,2.4,-2.6
NYISO,12/26/1980 13:00,255.1,0,69.9,172.8,2.5,-0.5
NYISO,12/26/1980 14:00,257.1,0,212.7,172.6,2.6,3.2
NYISO,12/26/1980 15:00,259.9,0,354.8,177.6,3,8.1
NYISO,12/26/1980 16:00,262.2,0,429.3,181,3.3,12.3
NYISO,12/26/1980 17:00,263.9,0,448.3,187.8,3.8,15.3
NYISO,12/26/1980 18:00,265,0,415.1,192.9,4.2,17.3
NYISO,12/26/1980 19:00,265.4,0,303.6,201.6,4.5,18
NYISO,12/26/1980 20:00,265.4,0,192.2,203.6,4.3,18
NYISO,12/26/1980 21:00,264.4,0,49.2,202.8,3.7,16.2
NYISO,12/26/1980 22:00,262.1,0,0,202.6,2.8,12.1
NYISO,12/26/1980 23:00,261.1,0,0,198.1,2.6,10.4
NYISO,1/4/1981 0:00,260.5,0,0,206.8,2.5,9.2
NYISO,1/4/1981 1:00,260,0,0,209.2,2.5,8.4
NYISO,1/4/1981 2:00,259.6,0,0,206.5,2.7,7.6
NYISO,1/4/1981 3:00,259.1,0,0,205.6,3.2,6.7
NYISO,1/4/1981 4:00,258,0,0,181.2,3.4,4.7
NYISO,1/4/1981 5:00,256.9,0,0,172.1,3.7,2.8
NYISO,1/4/1981 6:00,256,0,0,164.9,4.3,1.2
NYISO,1/4/1981 7:00,255.2,0,0,157.5,5,-0.2
NYISO,1/4/1981 8:00,254.5,0,0,153.9,5.2,-1.6
NYISO,1/4/1981 9:00,253.4,0,0,149.2,5.3,-3.5
NYISO,1/4/1981 10:00,252.4,0,0,142.8,5.3,-5.3
NYISO,1/4/1981 11:00,251.3,0,0,139.4,4.8,-7.3
NYISO,1/4/1981 12:00,250.5,0,0,137.5,4.8,-8.8
NYISO,1/4/1981 13:00,250.3,0,80,135.2,4.8,-9.2
NYISO,1/4/1981 14:00,251.2,0,232.5,134.4,4.8,-7.6
NYISO,1/4/1981 15:00,252.6,0,364.3,135.1,5.5,-5
NYISO,1/4/1981 16:00,253.9,0,469.2,137.8,6.2,-2.7
NYISO,1/4/1981 17:00,254.7,0,492.5,141.9,6.8,-1.2
NYISO,1/4/1981 18:00,255.1,0,459.9,146.8,7.4,-0.4
NYISO,1/4/1981 19:00,255,0,368.2,146,7.6,-0.7
NYISO,1/4/1981 20:00,254.6,0,248.8,142.4,7.6,-1.3
NYISO,1/4/1981 21:00,254.1,0,98.9,143.5,7.4,-2.4
NYISO,1/4/1981 22:00,253.1,0,0,149.7,6.8,-4
NYISO,1/4/1981 23:00,252.6,0,0,154.1,6.4,-4.9
NYISO,1/11/1981 0:00,256.7,0,0,155.4,7.8,2.4
NYISO,1/11/1981 1:00,255.8,0,0,152.8,7.6,0.8
NYISO,1/11/1981 2:00,254.8,0,0,150.5,7.4,-1
NYISO,1/11/1981 3:00,254.1,0,0,148.9,7.3,-2.3
NYISO,1/11/1981 4:00,253.7,0,0,147.8,7.1,-3
NYISO,1/11/1981 5:00,253.4,0,0,147.4,6.8,-3.5
NYISO,1/11/1981 6:00,253.1,0,0,147.1,6.5,-4
