Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
PacificNW,1/27/1980 0:00,13.6,0,120.3,177.4,6.54
PacificNW,1/27/1980 1:00,10.2,0,1.3,176.1,6.05
PacificNW,1/27/1980 2:00,8.9,0,0,174.2,5.8
PacificNW,1/27/1980 3:00,8.1,0,0,171.1,5.65
PacificNW,1/27/1980 4:00,7.4,0,0,169.6,5.38
PacificNW,1/27/1980 5:00,7.2,0,0,168.7,5.15
PacificNW,1/27/1980 6:00,7,0,0,167,4.8
PacificNW,1/27/1980 7:00,6.6,0,0,167.2,4.55
PacificNW,1/27/1980 8:00,6.3,0,0,167.9,4.41
PacificNW,1/27/1980 9:00,6,0,0,166.3,4.36
PacificNW,1/27/1980 10:00,5.8,0,0,164,4.18
PacificNW,1/27/1980 11:00,5.6,0,0,162.4,4.02
PacificNW,1/27/1980 12:00,5.3,0,0,161.3,3.94
PacificNW,1/27/1980 13:00,4.9,0,0,160.3,3.63
PacificNW,1/27/1980 14:00,4.2,0,0,159.1,3.42
PacificNW,1/27/1980 15:00,3.6,0,0.3,157.8,3.36
PacificNW,1/27/1980 16:00,3.7,0,27.5,157.2,3.35
PacificNW,1/27/1980 17:00,7.2,0,196.1,157.7,3.55
PacificNW,1/27/1980 18:00,10.5,0,346.2,159.6,3.79
PacificNW,1/27/1980 19:00,12.9,0,427.9,162,3.87
PacificNW,1/27/1980 20:00,14.7,0,479.6,164.3,3.92
PacificNW,1/27/1980 21:00,15.5,0,465.7,165.7,3.89
PacificNW,1/27/1980 22:00,16,0,409.3,166.6,3.66
PacificNW,1/27/1980 23:00,15.3,0,283.9,167.1,3.37
PacificNW,1/28/1980 0:00,13.2,0,122,166.3,3.01
PacificNW,1/28/1980 1:00,8.9,0,8.9,164.9,2.77
PacificNW,1/28/1980 2:00,6.7,0,0,162.6,2.77
PacificNW,1/28/1980 3:00,5.7,0,0,161.6,2.84
PacificNW,1/28/1980 4:00,5.1,0,0,161.2,2.8
PacificNW,1/28/1980 5:00,4.4,0,0,160.8,2.83
PacificNW,1/28/1980 6:00,4.1,0,0,160.5,2.85
PacificNW,1/28/1980 7:00,3.8,0,0,160.4,2.96
PacificNW,1/28/1980 8:00,3.4,0,0,160.2,3.05
PacificNW,1/28/1980 9:00,3.2,0,0,159.7,3.12
PacificNW,1/28/1980 10:00,3.2,0,0,159.7,3.24
PacificNW,1/28/1980 11:00,3.2,0,0,159.4,3.38
PacificNW,1/28/1980 12:00,2.9,0,0,159.6,3.37
PacificNW,1/28/1980 13:00,2.3,0,0,159,3.39
PacificNW,1/28/1980 14:00,2,0,0,158.4,3.36
PacificNW,1/28/1980 15:00,1.5,0,0.4,158.1,3.44
PacificNW,1/28/1980 16:00,2,0,30.8,158,3.45
PacificNW,1/28/1980 17:00,6.1,0,200.9,159.1,3.53
PacificNW,1/28/1980 18:00,10.1,0,348.6,162,3.76
PacificNW,1/28/1980 19:00,12.6,0,434.7,163.8,3.79
PacificNW,1/28/1980 20:00,14.3,0,484.8,165.7,3.92
PacificNW,1/28/1980 21:00,15.1,0,474.1,167,4.11
PacificNW,1/28/1980 22:00,15.3,0,398.1,167.8,4.16
PacificNW,1/28/1980 23:00,14.7,0,291.5,167.7,4.14
PacificNW,1/29/1980 0:00,12.2,0,123.1,167.1,3.96
PacificNW,1/29/1980 1:00,8,0,5.3,164.7,3.75
PacificNW,1/29/1980 2:00,5.7,0,0,162,3.81
PacificNW,1/29/1980 3:00,4.5,0,0,160.8,3.81
PacificNW,1/29/1980 4:00,3.7,0,0,159.7,3.78
PacificNW,1/29/1980 5:00,3.1,0,0,159.1,3.77
PacificNW,1/29/1980 6:00,2.7,0,0,158.2,3.68
PacificNW,1/29/1980 7:00,2.4,0,0,158,3.64
PacificNW,1/29/1980 8:00,2,0,0,157.5,3.57
PacificNW,1/29/1980 9:00,1.7,0,0,156.9,3.4
PacificNW,1/29/1980 10:00,1.3,0,0,156.6,3.27
PacificNW,1/29/1980 11:00,1.2,0,0,156.4,3.18
PacificNW,1/29/1980 12:00,1,0,0,156.5,3.13
PacificNW,1/29/1980 13:00,0.5,0,0,156.4,3.03
PacificNW,1/29/1980 14:00,0.2,0,0,156,3.02
PacificNW,1/29/1980 15:00,0.1,0,0.2,155.8,3
PacificNW,1/29/1980 16:00,1.2,0,57.6,155.7,2.91
PacificNW,1/29/1980 17:00,5.4,0,200.5,157.2,2.62
PacificNW,1/29/1980 18:00,10,0,354.4,160.2,2.28
PacificNW,1/29/1980 19:00,13.4,0,441.6,163.1,2.38
PacificNW,1/29/1980 20:00,15.6,0,492.5,166.5,2.44
PacificNW,1/29/1980 21:00,16.9,0,479.2,168.8,2.51
PacificNW,1/29/1980 22:00,17.6,0,422.6,170.2,2.57
PacificNW,1/29/1980 23:00,17.2,0,301,171.4,2.66
PacificNW,1/30/1980 0:00,15,0,130.3,171.5,2.52
PacificNW,1/30/1980 1:00,10.1,0,9,170.4,2.73
PacificNW,1/30/1980 2:00,8.1,0,0,169.1,2.97
PacificNW,1/30/1980 3:00,7.1,0,0,168.7,2.89
PacificNW,1/30/1980 4:00,6.7,0,0,170.5,3.07
PacificNW,1/30/1980 5:00,6.8,0,0,176.4,3.04
PacificNW,1/30/1980 6:00,6.9,0,0,178.5,2.94
PacificNW,1/30/1980 7:00,6.9,0,0,177.4,3.09
PacificNW,1/30/1980 8:00,7,0,0,174.7,3.2
PacificNW,1/30/1980 9:00,6.9,0,0,172.9,3.29
PacificNW,1/30/1980 10:00,6.7,0,0,173.2,3.17
PacificNW,1/30/1980 11:00,6.6,0,0,173.3,3.35
PacificNW,1/30/1980 12:00,6.7,0,0,174.6,3.46
PacificNW,1/30/1980 13:00,6.6,0,0,174.6,3.59
PacificNW,1/30/1980 14:00,6.5,0,0,174.1,3.62
PacificNW,1/30/1980 15:00,6.6,0,0.3,175.4,3.71
PacificNW,1/30/1980 16:00,7.5,0,54.6,177.1,3.86
PacificNW,1/30/1980 17:00,11.1,0,183.4,178.9,3.86
PacificNW,1/30/1980 18:00,15.4,0,327.7,182.9,3.88
PacificNW,1/30/1980 19:00,18.5,0,429.9,185.7,3.98
PacificNW,1/30/1980 20:00,20.9,0,474.6,189.7,4.05
PacificNW,1/30/1980 21:00,22.6,0,459.3,193.5,4.13
PacificNW,1/30/1980 22:00,23.2,0,385.1,196.5,4.15
PacificNW,1/30/1980 23:00,22.8,0,287.5,198.4,4.04
PacificNW,8/7/1981 0:00,86.6,0,572.7,358.8,2.99
PacificNW,8/7/1981 1:00,85.2,0,387.9,358.5,2.9
PacificNW,8/7/1981 2:00,82.5,0,197.5,356,2.46
PacificNW,8/7/1981 3:00,78,0,30,350.9,2.19
PacificNW,8/7/1981 4:00,74.1,0,0,345.2,2.04
PacificNW,8/7/1981 5:00,72,0,0,340.4,1.99
PacificNW,8/7/1981 6:00,70.5,0,0,337.2,2.02
PacificNW,8/7/1981 7:00,69,0,0,333.9,2
PacificNW,8/7/1981 8:00,67.7,0,0,330.9,2.02
PacificNW,8/7/1981 9:00,66.9,0,0,328.1,1.95
PacificNW,8/7/1981 10:00,65.8,0,0,326.6,1.87
PacificNW,8/7/1981 11:00,65.2,0,0,324.6,1.86
PacificNW,8/7/1981 12:00,64.5,0,0,322.9,1.85
PacificNW,8/7/1981 13:00,64.1,0,7.4,321.2,1.75
PacificNW,8/7/1981 14:00,66.5,0,114.9,320.6,1.63
PacificNW,8/7/1981 15:00,71.2,0,301.3,323.9,1.36
PacificNW,8/7/1981 16:00,75.9,0,500.6,331.2,1.44
PacificNW,8/7/1981 17:00,79.9,0,672.8,338.5,1.62
PacificNW,8/7/1981 18:00,82.9,0,781.9,344.6,1.89
PacificNW,8/7/1981 19:00,85.9,0,875.5,351.9,2.09
PacificNW,8/7/1981 20:00,88.3,0,914.2,358.1,2.24
PacificNW,8/7/1981 21:00,89.9,0,894.1,363.2,2.4
PacificNW,8/7/1981 22:00,90.7,0,819.9,366.7,2.55
PacificNW,8/7/1981 23:00,90.8,0,721.6,368.4,2.89
PacificNW,8/8/1981 0:00,90.1,0,563.2,369.1,3.19
PacificNW,8/8/1981 1:00,88.1,0,384.3,368,3.13
PacificNW,8/8/1981 2:00,85,0,195.2,365,2.52
PacificNW,8/8/1981 3:00,80,0,27.9,359.6,2.08
PacificNW,8/8/1981 4:00,76.1,0,0,353.9,1.77
PacificNW,8/8/1981 5:00,74,0,0,349.5,1.74
PacificNW,8/8/1981 6:00,72.8,0,0,346.8,1.77
PacificNW,8/8/1981 7:00,71.7,0,0,344.3,1.73
PacificNW,8/8/1981 8:00,70.7,0,0,342.4,1.64
PacificNW,8/8/1981 9:00,70,0,0,340.6,1.71
PacificNW,8/8/1981 10:00,68.9,0,0,338.9,1.74
PacificNW,8/8/1981 11:00,68.2,0,0,337.3,1.85
PacificNW,8/8/1981 12:00,67.8,0,0,335.9,1.88
PacificNW,8/8/1981 13:00,67.4,0,6.1,334.3,1.83
PacificNW,8/8/1981 14:00,70.3,0,143.2,334.1,1.71
PacificNW,8/8/1981 15:00,74.1,0,295.4,337,1.82
PacificNW,8/8/1981 16:00,78.5,0,485.8,343.5,2.18
PacificNW,8/8/1981 17:00,82,0,658.1,350.6,2.44
PacificNW,8/8/1981 18:00,84.9,0,771,356,2.63
PacificNW,8/8/1981 19:00,87.5,0,864.9,362.6,2.84
PacificNW,8/8/1981 20:00,89.8,0,902.2,368.4,2.92
PacificNW,8/8/1981 21:00,91,0,880.2,373.4,3.07
PacificNW,8/8/1981 22:00,91.9,0,818.7,376.1,3.17
PacificNW,8/8/1981 23:00,91.8,0,688.2,378.5,3.4
PacificNW,8/9/1981 0:00,91,0,528.5,379.8,3.66
PacificNW,8/9/1981 1:00,89.5,0,383,378.8,3.72
PacificNW,8/9/1981 2:00,86.2,0,190.5,375.2,3.29
PacificNW,8/9/1981 3:00,81.3,0,26.3,369,2.71
PacificNW,8/9/1981 4:00,77.8,0,0,363.5,2.55
PacificNW,8/9/1981 5:00,75.9,0,0,358.8,2.51
PacificNW,8/9/1981 6:00,74.5,0,0,356,2.42
