Region,Time_UTC,T2,Q2,SWDOWN,GLW,WSPD,Temperature_F
PJM,7/16/1980 0:00,301.6,0,68.8,413.8,3.7,83.2
PJM,7/16/1980 1:00,300,0,6.9,410.5,3.5,80.3
PJM,7/16/1980 2:00,298.8,0,0,406,3.4,78.2
PJM,7/16/1980 3:00,298,0,0,404.1,3.6,76.8
PJM,7/16/1980 4:00,297.4,0,0,399.1,3.8,75.6
PJM,7/16/1980 5:00,296.7,0,0,393.5,3.8,74.4
PJM,7/16/1980 6:00,296.2,0,0,390.4,3.7,73.5
PJM,7/16/1980 7:00,295.8,0,0,393.3,3.3,72.7
PJM,7/16/1980 8:00,295.4,0,0,393,3.2,72
PJM,7/16/1980 9:00,294.8,0,0,387.5,3.2,71.1
PJM,7/16/1980 10:00,294.3,0,5.2,382.3,3.3,70.1
PJM,7/16/1980 11:00,295,0,111,382.1,3.2,71.4
PJM,7/16/1980 12:00,296.8,0,249.6,386.2,3.3,74.6
PJM,7/16/1980 13:00,299.2,0,431.3,394.3,3.6,78.9
PJM,7/16/1980 14:00,301.3,0,577.4,400.8,3.8,82.6
PJM,7/16/1980 15:00,302.9,0,708.2,408.5,4,85.6
PJM,7/16/1980 16:00,304.3,0,844.6,413.1,4,88.1
PJM,7/16/1980 17:00,305.4,0,897.8,417.8,4.1,90
PJM,7/16/1980 18:00,306,0,890,421.3,4.3,91.2
PJM,7/16/1980 19:00,306.5,0,838.4,423.9,4.4,92
PJM,7/16/1980 20:00,306.5,0,740.2,425.4,4.5,92
PJM,7/16/1980 21:00,306.2,0,593,425.7,4.3,91.5
PJM,7/16/1980 22:00,305.4,0,403.5,424.8,4,90.1
PJM,7/16/1980 23:00,304.4,0,237.3,421.3,3.3,88.3
PJM,7/20/1980 0:00,300.5,0,78.9,404.9,2.8,81.3
PJM,7/20/1980 1:00,298.7,0,2.3,398.6,2.7,77.9
PJM,7/20/1980 2:00,297.5,0,0,394.6,2.6,75.9
PJM,7/20/1980 3:00,296.7,0,0,389.9,2.6,74.4
PJM,7/20/1980 4:00,296,0,0,386.5,2.6,73.1
PJM,7/20/1980 5:00,295.5,0,0,384.1,2.6,72.2
PJM,7/20/1980 6:00,295,0,0,381.3,2.5,71.4
PJM,7/20/1980 7:00,294.7,0,0,379.5,2.6,70.8
PJM,7/20/1980 8:00,294.5,0,0,379,2.8,70.5
PJM,7/20/1980 9:00,294.4,0,0,378.8,3,70.2
PJM,7/20/1980 10:00,294.2,0,2.4,377.4,3.2,69.8
PJM,7/20/1980 11:00,295.1,0,104.1,376.8,3.1,71.4
PJM,7/20/1980 12:00,297.2,0,251,381.4,3,75.3
PJM,7/20/1980 13:00,299.6,0,430.8,389.5,3.1,79.5
PJM,7/20/1980 14:00,301.7,0,623.8,396.4,3.2,83.4
PJM,7/20/1980 15:00,303.4,0,778.8,403.4,3.7,86.5
PJM,7/20/1980 16:00,304.8,0,860.2,408.4,4.2,88.9
PJM,7/20/1980 17:00,305.7,0,913.7,414.2,4.6,90.6
PJM,7/20/1980 18:00,306.3,0,912.5,417.7,4.5,91.7
PJM,7/20/1980 19:00,306.7,0,863.6,420.8,4.4,92.4
PJM,7/20/1980 20:00,306.8,0,752.5,423.1,4.3,92.6
PJM,7/20/1980 21:00,306.7,0,594.5,423.8,4.3,92.3
PJM,7/20/1980 22:00,306.2,0,447,423.5,4.3,91.5
PJM,7/20/1980 23:00,305.2,0,250.1,422.2,4,89.7
PJM,1/11/1981 0:00,258.5,0,0,169.8,4.9,5.6
PJM,1/11/1981 1:00,257.7,0,0,169.6,4.9,4.3
PJM,1/11/1981 2:00,257,0,0,168.6,4.8,2.8
