Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
RockyMtn,2/4/1982 0:00,6.7,0,29.3,226,3.59
RockyMtn,2/4/1982 1:00,4.5,0,0,222.8,3.4
RockyMtn,2/4/1982 2:00,3,0,0,215.1,3.4
RockyMtn,2/4/1982 3:00,1.2,0,0,203.3,3.25
RockyMtn,2/4/1982 4:00,-0.6,0,0,192.2,2.88
RockyMtn,2/4/1982 5:00,-2,0,0,185,2.68
RockyMtn,2/4/1982 6:00,-3,0,0,187.4,2.36
RockyMtn,2/4/1982 7:00,-2.3,0,0,207.5,2.23
RockyMtn,2/4/1982 8:00,-3.4,0,0,202.2,2.44
RockyMtn,2/4/1982 9:00,-4.6,0,0,197.7,2.33
RockyMtn,2/4/1982 10:00,-4.6,0,0,203,2.24
RockyMtn,2/4/1982 11:00,-4.9,0,0,203.6,2.14
RockyMtn,2/4/1982 12:00,-5.3,0,0,205.1,2.04
RockyMtn,2/4/1982 13:00,-6,0,0,198.2,1.94
RockyMtn,2/4/1982 14:00,-6.5,0,0.4,195.7,1.75
RockyMtn,2/4/1982 15:00,-5.4,0,97.6,187.7,1.75
RockyMtn,2/4/1982 16:00,-3.2,0,287,181.5,2.24
RockyMtn,2/4/1982 17:00,-1.2,0,438.5,176.6,2.46
RockyMtn,2/4/1982 18:00,0.5,0,555.9,179.5,2.8
RockyMtn,2/4/1982 19:00,1.7,0,596.7,185.4,3.11
RockyMtn,2/4/1982 20:00,2.2,0,566.2,190.9,3.5
RockyMtn,2/4/1982 21:00,2.1,0,488.1,191,3.85
RockyMtn,2/4/1982 22:00,1.4,0,320.3,194,3.84
RockyMtn,2/4/1982 23:00,2.78E-17,0,166.2,200.5,3.7
RockyMtn,2/5/1982 0:00,-2.2,0,34.1,203.5,3.21
RockyMtn,2/5/1982 1:00,-4,0,0,201.8,2.68
RockyMtn,2/5/1982 2:00,-5.5,0,0,195.9,2.09
RockyMtn,2/5/1982 3:00,-6.9,0,0,186.9,1.53
RockyMtn,2/5/1982 4:00,-8.6,0,0,174.3,1.33
RockyMtn,2/5/1982 5:00,-9.7,0,0,166.8,1.38
RockyMtn,2/5/1982 6:00,-10.7,0,0,160.9,1.48
RockyMtn,2/5/1982 7:00,-11.1,0,0,162.2,1.54
RockyMtn,2/5/1982 8:00,-11.7,0,0,161.1,1.65
RockyMtn,2/5/1982 9:00,-13,0,0,153.4,1.8
RockyMtn,2/5/1982 10:00,-14.2,0,0,147.1,1.9
RockyMtn,2/5/1982 11:00,-14.9,0,0,144.7,1.99
RockyMtn,2/5/1982 12:00,-15.6,0,0,141.7,2.1
RockyMtn,2/5/1982 13:00,-15.9,0,0,137.9,2.19
RockyMtn,2/5/1982 14:00,-16.1,0,0.4,136.6,2.26
RockyMtn,2/5/1982 15:00,-11.7,0,134.3,135.7,2
RockyMtn,2/5/1982 16:00,-5.6,0,343.2,137.2,1.81
RockyMtn,2/5/1982 17:00,-1.1,0,520.6,139.1,1.64
RockyMtn,2/5/1982 18:00,2.3,0,618.4,141.1,1.69
RockyMtn,2/5/1982 19:00,5,0,674.3,144.2,1.99
RockyMtn,2/5/1982 20:00,6.8,0,653.9,146.9,2.25
RockyMtn,2/5/1982 21:00,7.9,0,582.6,148.3,2.45
RockyMtn,2/5/1982 22:00,7.9,0,433.7,149.3,2.41
RockyMtn,2/5/1982 23:00,6.5,0,234.8,149,2.2
RockyMtn,2/6/1982 0:00,1.1,0,59.1,147.4,2.1
RockyMtn,2/6/1982 1:00,-3.3,0,0,144.7,2.56
RockyMtn,2/6/1982 2:00,-4.7,0,0,143.1,2.82
RockyMtn,2/6/1982 3:00,-5.5,0,0,142.2,2.92
RockyMtn,2/6/1982 4:00,-5.9,0,0,141.3,2.92
RockyMtn,2/6/1982 5:00,-6.2,0,0,140.3,3.02
RockyMtn,2/6/1982 6:00,-6.4,0,0,139.5,3.07
RockyMtn,2/6/1982 7:00,-6.3,0,0,138.9,3.21
RockyMtn,2/6/1982 8:00,-6,0,0,138.6,3.38
RockyMtn,2/6/1982 9:00,-5.9,0,0,138.4,3.63
RockyMtn,2/6/1982 10:00,-5.5,0,0,138.1,3.89
RockyMtn,2/6/1982 11:00,-4.9,0,0,137.8,3.99
RockyMtn,2/6/1982 12:00,-4.8,0,0,137.6,4.09
RockyMtn,2/6/1982 13:00,-3.9,0,0,138.2,4.44
RockyMtn,2/6/1982 14:00,-2.9,0,1.1,138.9,4.8
RockyMtn,2/6/1982 15:00,1.8,0,164,140.4,4.58
RockyMtn,2/6/1982 16:00,7.9,0,365.3,144.3,4.02
RockyMtn,2/6/1982 17:00,13.8,0,512.5,149.4,3.96
RockyMtn,2/6/1982 18:00,17.6,0,636.7,156.2,3.99
RockyMtn,2/6/1982 19:00,20.7,0,678.9,162.4,4.19
RockyMtn,2/6/1982 20:00,22.8,0,655.4,168.1,4.24
RockyMtn,2/6/1982 21:00,24.1,0,576.3,171.7,3.82
RockyMtn,2/6/1982 22:00,24.4,0,452.9,174.7,3.36
RockyMtn,2/6/1982 23:00,22.9,0,247.1,176.4,3.02
RockyMtn,12/21/1983 0:00,-3.6,0,0.1,182.5,2.35
RockyMtn,12/21/1983 1:00,-3.6,0,0,191.7,2.04
RockyMtn,12/21/1983 2:00,-4.2,0,0,194.1,1.83
RockyMtn,12/21/1983 3:00,-5.5,0,0,180.7,1.53
RockyMtn,12/21/1983 4:00,-6.2,0,0,170.6,1.29
RockyMtn,12/21/1983 5:00,-6.6,0,0,164.8,1.29
RockyMtn,12/21/1983 6:00,-6.9,0,0,164.1,1.48
RockyMtn,12/21/1983 7:00,-7.3,0,0,164.8,1.73
RockyMtn,12/21/1983 8:00,-7.7,0,0,168.7,1.89
RockyMtn,12/21/1983 9:00,-8.3,0,0,170.3,1.98
RockyMtn,12/21/1983 10:00,-8.9,0,0,172.5,2.09
