Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
Southeast,2/2/1980 0:00,22.7,0,1.9,209.8,4.33
Southeast,2/2/1980 1:00,21.4,0,0.1,207.9,4.42
Southeast,2/2/1980 2:00,20.1,0,0,206.3,4.28
Southeast,2/2/1980 3:00,19.5,0,0,205.8,4.1
Southeast,2/2/1980 4:00,18.6,0,0,206.3,3.91
Southeast,2/2/1980 5:00,18,0,0,205.7,3.71
Southeast,2/2/1980 6:00,17.5,0,0,204.5,3.48
Southeast,2/2/1980 7:00,16.9,0,0,204.8,3.44
Southeast,2/2/1980 8:00,16.5,0,0,206.4,3.42
Southeast,2/2/1980 9:00,16.1,0,0,209,3.32
Southeast,2/2/1980 10:00,15.6,0,0,210.5,3.16
Southeast,2/2/1980 11:00,15.4,0,0,210.7,3.04
Southeast,2/2/1980 12:00,14.9,0,0,210.5,2.93
Southeast,2/2/1980 13:00,15.8,0,57.3,212.2,2.83
Southeast,2/2/1980 14:00,20.3,0,283.5,214,3.05
Southeast,2/2/1980 15:00,24.6,0,467.7,216.8,3.25
Southeast,2/2/1980 16:00,28,0,638.8,220,3.12
Southeast,2/2/1980 17:00,30.7,0,722.7,223,2.87
Southeast,2/2/1980 18:00,32.9,0,748.8,225.9,2.71
Southeast,2/2/1980 19:00,34.5,0,700.8,229.7,2.74
Southeast,2/2/1980 20:00,35,0,566.1,234.2,2.8
Southeast,2/2/1980 21:00,35,0,406.7,236.2,2.82
Southeast,2/2/1980 22:00,33.5,0,176.4,236,2.67
Southeast,2/2/1980 23:00,29.4,0,20.8,236.1,2.3
Southeast,3/3/1980 0:00,21,0,9,226.3,6.53
Southeast,3/3/1980 1:00,19,0,3.4,222.5,6.26
Southeast,3/3/1980 2:00,17.2,0,0,217.2,5.9
Southeast,3/3/1980 3:00,15.7,0,0,211.4,5.63
Southeast,3/3/1980 4:00,14.5,0,0,207.6,5.31
Southeast,3/3/1980 5:00,13.3,0,0,204.4,4.97
Southeast,3/3/1980 6:00,12,0,0,199.7,4.59
Southeast,3/3/1980 7:00,11.1,0,0,198.2,4.31
Southeast,3/3/1980 8:00,10.3,0,0,196.1,3.92
Southeast,3/3/1980 9:00,9.4,0,0,193.9,3.66
Southeast,3/3/1980 10:00,8.3,0,0,192.1,3.39
Southeast,3/3/1980 11:00,7.7,0,0,191,3.33
Southeast,3/3/1980 12:00,7.2,0,10.9,190.9,3.28
Southeast,3/3/1980 13:00,11,0,178.3,192.8,3.22
Southeast,3/3/1980 14:00,17.9,0,450.3,198.4,3.25
Southeast,3/3/1980 15:00,24,0,644.8,203.7,3.32
Southeast,3/3/1980 16:00,28.7,0,813.4,209.9,3.2
Southeast,3/3/1980 17:00,32.7,0,913.4,216.5,2.99
Southeast,3/3/1980 18:00,35.9,0,929.9,222.8,2.76
Southeast,3/3/1980 19:00,38.2,0,875.8,228.4,2.72
Southeast,3/3/1980 20:00,39.8,0,740.3,232.9,2.55
Southeast,3/3/1980 21:00,40.3,0,574.3,236.2,2.44
Southeast,3/3/1980 22:00,39.7,0,320.7,237.7,2.2
Southeast,3/3/1980 23:00,36,0,104.1,237.5,1.95
Southeast,7/12/1980 0:00,95.5,0,101.4,454.5,2.79
