Region,Time_UTC,Temperature_F,Q2,SWDOWN,GLW,WSPD
Southwest,6/29/1980 0:00,104.9,0,483.8,397.5,4.48
Southwest,6/29/1980 1:00,102.9,0,258.3,397.1,4.55
Southwest,6/29/1980 2:00,99.5,0,92.3,395.1,4.06
Southwest,6/29/1980 3:00,93.3,0,2,388,3.56
Southwest,6/29/1980 4:00,90,0,0,379.7,3.36
Southwest,6/29/1980 5:00,87.4,0,0,374.7,2.96
Southwest,6/29/1980 6:00,85.5,0,0,371.9,2.58
Southwest,6/29/1980 7:00,84,0,0,371.3,2.25
Southwest,6/29/1980 8:00,82.2,0,0,367.7,2.14
Southwest,6/29/1980 9:00,80.7,0,0,366.3,1.93
Southwest,6/29/1980 10:00,79.4,0,0,362.9,1.6
Southwest,6/29/1980 11:00,78.2,0,0,361.1,1.48
Southwest,6/29/1980 12:00,77.1,0,0.1,357.8,1.33
Southwest,6/29/1980 13:00,78.4,0,80.7,356.1,1.33
Southwest,6/29/1980 14:00,84,0,293,357.8,1.16
Southwest,6/29/1980 15:00,89.7,0,481,362.5,1.18
Southwest,6/29/1980 16:00,94.2,0,695.2,370.2,1.32
Southwest,6/29/1980 17:00,97.6,0,861.7,378.6,1.59
Southwest,6/29/1980 18:00,100.5,0,961.7,383.7,1.69
Southwest,6/29/1980 19:00,103,0,1031.2,389.6,1.81
Southwest,6/29/1980 20:00,104.7,0,1026.4,394.5,1.9
Southwest,6/29/1980 21:00,105.7,0,954.3,398.4,1.86
Southwest,6/29/1980 22:00,106.1,0,821.5,401.4,2.23
Southwest,6/29/1980 23:00,105.9,0,672.6,402.6,2.4
Southwest,1/31/1985 0:00,45.4,0,142.4,246.5,7.1
Southwest,1/31/1985 1:00,42.1,0,6,243.4,5.68
Southwest,1/31/1985 2:00,39.5,0,0,237.6,4.67
Southwest,1/31/1985 3:00,37.6,0,0,233.5,4.06
Southwest,1/31/1985 4:00,36.2,0,0,230.8,3.69
Southwest,1/31/1985 5:00,34.8,0,0,226.9,3.45
Southwest,1/31/1985 6:00,33.6,0,0,223.5,3.11
Southwest,1/31/1985 7:00,32.6,0,0,221.9,2.86
Southwest,1/31/1985 8:00,31.5,0,0,218.1,2.79
Southwest,1/31/1985 9:00,30.7,0,0,215.8,2.86
Southwest,1/31/1985 10:00,29.7,0,0,213.8,2.92
Southwest,1/31/1985 11:00,29.1,0,0,212.2,2.95
Southwest,1/31/1985 12:00,28.4,0,0,210.1,2.95
Southwest,1/31/1985 13:00,27.9,0,0,207.9,2.9
Southwest,1/31/1985 14:00,27.5,0,0,205.2,2.84
Southwest,1/31/1985 15:00,28.4,0,102.2,204.1,2.88
Southwest,1/31/1985 16:00,31.4,0,281.6,204.7,3.54
Southwest,1/31/1985 17:00,34.4,0,490,206.6,4.42
Southwest,1/31/1985 18:00,36.2,0,621.6,206.5,5.22
Southwest,1/31/1985 19:00,37.9,0,707.3,208.4,6.11
Southwest,1/31/1985 20:00,38.8,0,729.4,207.5,6.85
Southwest,1/31/1985 21:00,39.3,0,667.8,209.4,7.25
Southwest,1/31/1985 22:00,39,0,532.2,209.3,7.35
Southwest,1/31/1985 23:00,38.3,0,387.1,208.9,7.29
Southwest,2/1/1985 0:00,36.3,0,164.7,207.3,6.74
Southwest,2/1/1985 1:00,32.9,0,1.7,205.6,5.13
Southwest,2/1/1985 2:00,30.7,0,0,203.3,4.21
Southwest,2/1/1985 3:00,29.3,0,0,200.5,3.95
Southwest,2/1/1985 4:00,28.2,0,0,203.2,3.64
Southwest,2/1/1985 5:00,27.4,0,0,204.2,3.37
Southwest,2/1/1985 6:00,26.9,0,0,202.1,3.12
Southwest,2/1/1985 7:00,26.2,0,0,201.9,3.11
Southwest,2/1/1985 8:00,25.5,0,0,199.2,3.17
Southwest,2/1/1985 9:00,25,0,0,197,3.2
Southwest,2/1/1985 10:00,24.4,0,0,194.4,3.31
Southwest,2/1/1985 11:00,24,0,0,195.4,3.18
Southwest,2/1/1985 12:00,23.6,0,0,196.8,3.1
Southwest,2/1/1985 13:00,23.2,0,0,196.5,2.78
Southwest,2/1/1985 14:00,22.6,0,0.2,193,2.43
Southwest,2/1/1985 15:00,23,0,71.4,190,2.58
Southwest,2/1/1985 16:00,26.1,0,294,188.3,3.2
Southwest,2/1/1985 17:00,29.1,0,497.6,190.1,3.88
