Region,Time_UTC,Temperature_F
SPP-N,1/10/1982 0:00,-15.05774758
SPP-N,1/10/1982 1:00,-17.098188
SPP-N,1/10/1982 2:00,-19.6785432
SPP-N,1/10/1982 3:00,-22.4289569
SPP-N,1/10/1982 4:00,-24.99796961
SPP-N,1/10/1982 5:00,-27.18353584
SPP-N,1/10/1982 6:00,-29.11986669
SPP-N,1/10/1982 7:00,-30.55497276
SPP-N,1/10/1982 8:00,-31.80864778
SPP-N,1/10/1982 9:00,-32.95343664
SPP-N,1/10/1982 10:00,-34.06151214
SPP-N,1/10/1982 11:00,-34.94516318
SPP-N,1/10/1982 12:00,-35.51588818
SPP-N,1/10/1982 13:00,-35.3736579
SPP-N,1/10/1982 14:00,-35.49650839
SPP-N,1/10/1982 15:00,-34.49066525
SPP-N,1/10/1982 16:00,-31.99074473
SPP-N,1/10/1982 17:00,-29.14738109
SPP-N,1/10/1982 18:00,-26.37677254
SPP-N,1/10/1982 19:00,-23.82228478
SPP-N,1/10/1982 20:00,-21.54425061
SPP-N,1/10/1982 21:00,-20.02066916
SPP-N,1/10/1982 22:00,-19.55586072
SPP-N,1/10/1982 23:00,-20.76224999
SPP-N,1/11/1982 0:00,-22.15898597
SPP-N,1/11/1982 1:00,-22.41477953
SPP-N,1/11/1982 2:00,-22.11231403
SPP-N,1/11/1982 3:00,-21.59892636
SPP-N,1/11/1982 4:00,-21.30329428
SPP-N,1/11/1982 5:00,-21.17076004
SPP-N,1/11/1982 6:00,-20.9796924
SPP-N,1/11/1982 7:00,-20.67542747
SPP-N,1/11/1982 8:00,-20.65694734
SPP-N,1/11/1982 9:00,-20.77173462
SPP-N,1/11/1982 10:00,-20.94644964
SPP-N,1/11/1982 11:00,-21.06454064
SPP-N,1/11/1982 12:00,-20.964505
SPP-N,1/11/1982 13:00,-20.89839884
SPP-N,1/11/1982 14:00,-20.16843016
SPP-N,1/11/1982 15:00,-17.78627587
SPP-N,1/11/1982 16:00,-14.24275315
SPP-N,1/11/1982 17:00,-10.43692162
SPP-N,1/11/1982 18:00,-7.149351357
SPP-N,1/11/1982 19:00,-4.681482813
SPP-N,1/11/1982 20:00,-3.152383346
SPP-N,1/11/1982 21:00,-2.544466309
SPP-N,1/11/1982 22:00,-3.335799006
SPP-N,1/11/1982 23:00,-6.242163615
SPP-N,1/15/1982 0:00,8.891884379
SPP-N,1/15/1982 1:00,8.222717302
SPP-N,1/15/1982 2:00,8.053837274
SPP-N,1/15/1982 3:00,8.219761971
SPP-N,1/15/1982 4:00,8.566487583
SPP-N,1/15/1982 5:00,9.190466634
SPP-N,1/15/1982 6:00,10.06111536
SPP-N,1/15/1982 7:00,10.6824365
SPP-N,1/15/1982 8:00,11.2502754
SPP-N,1/15/1982 9:00,11.93354209
SPP-N,1/15/1982 10:00,12.35735284
SPP-N,1/15/1982 11:00,12.20188671
SPP-N,1/15/1982 12:00,11.22372079
SPP-N,1/15/1982 13:00,9.822158624
SPP-N,1/15/1982 14:00,8.346168543
SPP-N,1/15/1982 15:00,7.424302356
SPP-N,1/15/1982 16:00,7.548890851
SPP-N,1/15/1982 17:00,6.494717302
SPP-N,1/15/1982 18:00,4.056953406
SPP-N,1/15/1982 19:00,0.864667919
SPP-N,1/15/1982 20:00,-2.131283199
SPP-N,1/15/1982 21:00,-4.684991149
SPP-N,1/15/1982 22:00,-7.332432246
SPP-N,1/15/1982 23:00,-10.16882846
SPP-N,1/16/1982 0:00,-12.89524984
SPP-N,1/16/1982 1:00,-14.9050215
SPP-N,1/16/1982 2:00,-16.69512471
SPP-N,1/16/1982 3:00,-18.03270308
SPP-N,1/16/1982 4:00,-19.20564175
SPP-N,1/16/1982 5:00,-20.37090599
SPP-N,1/16/1982 6:00,-21.01103906
SPP-N,1/16/1982 7:00,-21.35273016
SPP-N,1/16/1982 8:00,-22.73744497
SPP-N,1/16/1982 9:00,-24.46220108
SPP-N,1/16/1982 10:00,-25.50966787
SPP-N,1/16/1982 11:00,-27.19659244
SPP-N,1/16/1982 12:00,-28.32151064
SPP-N,1/16/1982 13:00,-28.81117451
SPP-N,1/16/1982 14:00,-29.7596531
SPP-N,1/16/1982 15:00,-28.90425651
SPP-N,1/16/1982 16:00,-26.23120159
SPP-N,1/16/1982 17:00,-23.2842364
SPP-N,1/16/1982 18:00,-20.93492063
SPP-N,1/16/1982 19:00,-18.98617
SPP-N,1/16/1982 20:00,-17.20313216
SPP-N,1/16/1982 21:00,-16.1510581
SPP-N,1/16/1982 22:00,-16.55339445
SPP-N,1/16/1982 23:00,-21.05039306
SPP-N,2/4/1982 0:00,-15.05441835
SPP-N,2/4/1982 1:00,-17.77223488
SPP-N,2/4/1982 2:00,-20.06994561
SPP-N,2/4/1982 3:00,-21.38312127
SPP-N,2/4/1982 4:00,-22.1579466
SPP-N,2/4/1982 5:00,-22.74252772
SPP-N,2/4/1982 6:00,-23.18550032
SPP-N,2/4/1982 7:00,-23.41926456
SPP-N,2/4/1982 8:00,-23.35338655
SPP-N,2/4/1982 9:00,-23.1831521
SPP-N,2/4/1982 10:00,-22.98813117
