Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
California,Heat Event,2020,9,9/6/2020,79.0,89.2,103.1,101.4,75.9,101.4
California,Heat Event,2020,9,9/7/2020,76.5,87.5,100.6,99.1,74.2,99.1
California,Heat Event,2022,9,9/5/2022,74.4,85.3,99.9,99.1,74.6,99.1
California,Heat Event,2022,9,9/6/2022,76.7,87.2,100.3,98.9,75.2,98.9
California,Heat Event,2020,9,9/5/2020,72.1,82.6,100.5,98.3,72.2,98.3
California,Heat Event,2006,7,7/23/2006,77.3,87.6,98.5,98.1,75.6,98.1
California,Heat Event,2006,7,7/22/2006,75.8,85.9,100.1,97.4,74.8,97.4
California,Heat Event,2022,9,9/7/2022,74.6,84.8,96.4,97.4,74.9,97.4
California,Heat Event,2017,9,9/2/2017,75.4,86.0,98.5,97.3,74.8,97.3
California,Heat Event,2022,9,9/4/2022,72.6,83.5,97.1,97.3,72.7,97.3
California,Heat Event,2017,9,9/1/2017,73.4,84.2,98.0,97.1,73.1,97.1
California,Heat Event,2020,8,8/15/2020,74.2,85.0,97.9,96.9,73.8,96.9
California,Heat Event,1988,9,9/4/1988,73.5,83.6,97.7,96.8,71.9,96.8
California,Heat Event,2020,8,8/16/2020,75.2,84.7,96.2,96.5,74.8,96.5
California,Heat Event,2020,8,8/18/2020,73.9,84.6,97.0,96.5,74.7,96.5
California,Heat Event,2020,8,8/17/2020,74.9,84.1,95.5,96.2,74.7,96.2
California,Heat Event,2006,7,7/24/2006,73.7,84.5,95.6,95.9,74.7,95.9
California,Heat Event,2020,8,8/19/2020,75.2,84.7,97.0,95.7,73.0,95.7
California,Heat Event,1998,8,8/4/1998,71.4,83.5,97.2,95.6,70.2,95.6
California,Heat Event,2022,9,9/3/2022,71.0,81.5,95.0,95.4,71.5,95.4
California,Heat Event,2020,8,8/14/2020,71.9,82.1,96.6,95.3,70.9,95.3
California,Heat Event,1985,7,7/2/1985,70.4,82.8,94.7,95.2,68.9,95.2
California,Heat Event,2006,7,7/21/2006,71.2,81.3,93.6,95.1,71.7,95.1
California,Heat Event,1988,9,9/5/1988,71.4,82.3,95.9,95.0,71.3,95.0
California,Heat Event,2017,8,8/31/2017,70.4,80.7,94.9,95.0,71.5,95.0
California,Heat Event,2022,9,9/8/2022,73.3,83.5,95.6,95.0,73.7,95.0
California,Heat Event,2018,7,7/7/2018,72.1,83.7,95.0,94.9,70.6,94.9
California,Heat Event,2022,9,9/2/2022,70.9,81.5,94.1,94.9,71.1,94.9
California,Heat Event,1998,8,8/5/1998,71.3,83.0,94.9,94.8,70.0,94.8
California,Heat Event,2017,7,7/8/2017,72.5,83.8,95.3,94.8,70.3,94.8
California,Heat Event,1988,9,9/3/1988,70.7,80.6,96.8,94.7,70.5,94.7
California,Heat Event,1997,8,8/6/1997,71.6,83.1,95.1,94.7,70.6,94.7
California,Heat Event,2017,8,8/28/2017,71.3,82.1,96.0,94.7,70.6,94.7
California,Heat Event,1989,7,7/6/1989,69.1,81.4,94.9,94.5,68.4,94.5
California,Heat Event,1985,7,7/3/1985,67.9,80.7,94.8,94.4,69.6,94.4
California,Heat Event,2009,8,8/28/2009,68.8,80.4,95.0,94.4,68.7,94.4
California,Heat Event,2009,8,8/29/2009,72.4,82.8,95.4,94.4,69.8,94.4
California,Heat Event,2017,7,7/7/2017,69.4,81.3,96.6,94.4,69.1,94.4
California,Heat Event,2017,9,9/3/2017,75.7,83.9,95.3,94.4,73.2,94.4
California,Heat Event,1988,7,7/17/1988,70.7,82.6,96.3,94.3,67.8,94.3
California,Cold Event,1990,12,12/22/1990,16.9,23.7,34.0,35.7,19.9,19.9
California,Cold Event,1990,12,12/23/1990,21.1,26.9,38.9,39.6,21.6,21.6
California,Cold Event,1990,12,12/21/1990,21.6,27.0,34.2,36.8,22.4,22.4
California,Cold Event,1989,2,2/6/1989,23.6,30.2,38.8,41.1,25.1,25.1
California,Cold Event,1989,2,2/7/1989,24.8,30.9,41.9,41.2,26.1,26.1
California,Cold Event,1990,12,12/24/1990,26.7,32.4,45.9,44.6,26.4,26.4
California,Cold Event,2007,1,1/14/2007,27.4,33.5,43.6,44.6,27.9,27.9
California,Cold Event,2007,1,1/13/2007,26.2,33.0,42.3,44.2,28.3,28.3
California,Cold Event,1998,12,12/22/1998,28.6,34.8,43.7,44.1,28.6,28.6
California,Cold Event,2013,1,1/13/2013,28.3,34.4,43.3,43.5,28.7,28.7
California,Cold Event,1990,2,2/15/1990,26.5,33.2,44.3,45.5,29.3,29.3
California,Cold Event,2013,1,1/14/2013,28.3,34.2,43.6,44.9,29.4,29.4
California,Cold Event,2013,1,1/12/2013,29.4,35.6,43.5,43.8,29.5,29.5
California,Cold Event,1989,2,2/5/1989,26.8,33.6,42.6,42.1,29.6,29.6
California,Cold Event,1988,12,12/27/1988,29.2,33.4,40.9,41.3,29.7,29.7
California,Cold Event,1988,12,12/28/1988,30.8,34.5,40.7,41.8,29.7,29.7
California,Cold Event,1990,12,12/20/1990,28.6,34.8,42.2,42.0,29.7,29.7
California,Cold Event,1998,12,12/23/1998,29.0,34.7,45.3,46.6,30.0,30.0
California,Cold Event,1987,12,12/25/1987,29.2,34.5,44.5,44.1,30.2,30.2
California,Cold Event,2007,1,1/15/2007,30.1,35.7,47.8,47.3,30.2,30.2
California,Cold Event,1990,12,12/25/1990,31.4,37.3,49.1,48.7,30.7,30.7
California,Cold Event,1987,12,12/24/1987,30.0,35.2,42.1,45.1,30.9,30.9
California,Cold Event,2013,12,12/9/2013,29.7,35.1,46.2,46.7,30.9,30.9
California,Cold Event,1989,2,2/8/1989,30.0,34.7,42.8,44.1,31.0,31.0
California,Cold Event,2002,1,1/30/2002,30.2,35.9,46.2,45.9,31.0,31.0
California,Cold Event,1987,12,12/26/1987,31.4,36.4,45.6,44.9,31.2,31.2
California,Cold Event,1990,2,2/14/1990,28.0,35.6,47.1,48.8,31.2,31.2
California,Cold Event,2013,12,12/8/2013,29.3,35.5,42.6,44.5,31.2,31.2
California,Cold Event,1987,1,1/16/1987,28.4,34.7,43.0,48.3,31.3,31.3
California,Cold Event,1988,12,12/26/1988,29.1,34.6,42.4,42.6,31.3,31.3
California,Cold Event,1988,12,12/29/1988,29.2,34.1,43.8,43.8,31.4,31.4
California,Cold Event,1998,12,12/21/1998,28.1,34.8,43.3,44.9,31.4,31.4
California,Cold Event,1985,2,2/4/1985,31.3,37.2,45.0,45.5,31.6,31.6
California,Cold Event,1987,1,1/17/1987,30.5,36.2,48.6,47.9,31.7,31.7
California,Cold Event,2007,1,1/16/2007,33.0,39.3,50.4,49.0,31.7,31.7
California,Cold Event,2009,12,12/9/2009,30.2,35.3,45.2,45.5,31.7,31.7
