Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,1988,6,6/6/1988,66.4,98.9,97.5,66.4,97.5
Heat Event,1988,6,6/5/1988,68.9,98.6,97.4,64,97.4
Heat Event,1989,8,8/1/1989,63.4,100.7,96.5,62.6,96.5
Heat Event,2018,8,8/11/2018,55.8,96.8,95.7,56.2,95.7
Heat Event,1984,8,8/26/1984,61.5,94.1,95.5,58.9,95.5
Heat Event,1989,7,7/31/1989,63,96.6,95.1,59.8,95.1
Heat Event,2021,6,6/4/2021,62.8,97.4,94.9,59.5,94.9
Heat Event,1983,8,8/5/1983,62.3,88.5,94.1,64,94.1
Heat Event,1983,8,8/3/1983,62.9,95.9,94,65,94
Heat Event,1988,6,6/4/1988,56.6,94.7,93.8,56.5,93.8
Heat Event,2021,8,8/15/2021,56.1,94.6,93.7,54.5,93.7
Heat Event,1983,8,8/4/1983,67.5,96.8,93.7,64.2,93.7
Heat Event,2015,8,8/14/2015,59.8,96.7,93.6,61.1,93.6
Heat Event,2015,8,8/13/2015,60.7,91.6,93.4,60.8,93.4
Heat Event,1981,7,7/6/1981,61.8,97.2,93.2,61,93.2
Heat Event,1987,6,6/15/1987,66.4,98,93.2,59,93.2
Heat Event,1984,8,8/25/1984,57.4,96.2,93.2,59.3,93.2
Heat Event,1989,7,7/20/1989,60.1,95.4,93.1,59.3,93.1
Heat Event,2003,8,8/16/2003,56.6,92,93.1,59,93.1
Heat Event,1988,6,6/7/1988,64,95.1,93.1,64.5,93.1
Heat Event,1987,6,6/14/1987,51.6,89.4,92.9,58.3,92.9
Heat Event,1989,7,7/21/1989,62.4,94.1,92.8,62.5,92.8
Heat Event,2003,8,8/18/2003,64.4,90.2,92.8,61.6,92.8
Heat Event,2007,7,7/23/2007,66.8,91.7,92.8,66.4,92.8
Heat Event,2003,8,8/15/2003,60.2,92.5,92.6,60.3,92.6
Heat Event,1995,8,8/6/1995,66.3,96.4,92.6,64.2,92.6
Heat Event,1988,8,8/5/1988,52.9,94.1,92.6,52.2,92.6
Heat Event,1989,8,8/2/1989,61.3,92.1,92.6,60.2,92.6
Heat Event,1988,7,7/27/1988,55.8,98.2,92.4,57.4,92.4
Heat Event,2003,8,8/17/2003,60.1,94.7,92.3,60.4,92.3
Heat Event,2007,7,7/30/2007,62.6,92.2,92.2,63.6,92.2
Heat Event,1988,7,7/26/1988,55.8,89.7,92,57.7,92
Heat Event,1983,9,9/1/1983,59.9,90.2,91.9,61,91.9
Heat Event,1989,8,8/11/1989,57.3,93.2,91.9,57.3,91.9
Heat Event,2018,8,8/10/2018,52.1,92.4,91.8,53.4,91.8
Heat Event,1989,8,8/10/1989,56.3,90.9,91.8,53.9,91.8
Heat Event,2007,7,7/24/2007,67.9,96.6,91.8,66.8,91.8
Heat Event,1981,7,7/5/1981,57.7,88.7,91.7,58,91.7
Heat Event,2003,8,8/14/2003,64,93.4,91.7,62.7,91.7
Heat Event,1984,8,8/27/1984,57.7,96.2,91.6,56.2,91.6
Cold Event,1996,2,2/1/1996,-41.2,-29,-23.1,-38.5,-38.5
Cold Event,1989,12,12/20/1989,-36.4,-26.7,-22.6,-36.5,-36.5
Cold Event,1996,1,1/31/1996,-37.3,-18,-20.4,-36.1,-36.1
Cold Event,2021,2,2/13/2021,-38.1,-18.9,-14.8,-36,-36
Cold Event,1996,2,2/2/1996,-37,-22.3,-20.6,-36,-36
Cold Event,1996,1,1/19/1996,-38.7,-19.2,-15.9,-35.9,-35.9
Cold Event,2004,1,1/29/2004,-35.8,-20.5,-20.9,-35.9,-35.9
Cold Event,2004,1,1/28/2004,-39.7,-26.4,-18.8,-35.4,-35.4
Cold Event,1990,12,12/21/1990,-38,-25,-20.3,-35.2,-35.2
Cold Event,1989,12,12/21/1989,-36.5,-23.9,-18.1,-34.7,-34.7
Cold Event,1989,12,12/19/1989,-36.7,-17.2,-20.2,-34.6,-34.6
Cold Event,2021,2,2/12/2021,-34.6,-16,-17.6,-34.5,-34.5
Cold Event,2005,1,1/4/2005,-35.2,-12.1,-9.8,-34.1,-34.1
Cold Event,1989,1,1/9/1989,-34.6,-18.7,-13.2,-34,-34
Cold Event,1996,1,1/20/1996,-36.7,-10,-10.8,-33.7,-33.7
Cold Event,1989,2,2/2/1989,-34.4,-25.1,-21.9,-33.6,-33.6
Cold Event,1983,12,12/23/1983,-39.4,-25.6,-18.5,-33.5,-33.5
Cold Event,2021,2,2/14/2021,-35.4,-9.4,-9.1,-33.4,-33.4
Cold Event,1994,2,2/8/1994,-31.8,-14.1,-14,-33.3,-33.3
Cold Event,1997,1,1/26/1997,-37.8,-13.3,-13,-33.1,-33.1
Cold Event,2019,2,2/9/2019,-31.8,-3.7,-6.8,-32.9,-32.9
Cold Event,2019,2,2/8/2019,-36.1,-13.7,-9.9,-32.5,-32.5
Cold Event,2019,1,1/30/2019,-38.9,-14.3,-8.1,-32.4,-32.4
Cold Event,1994,1,1/18/1994,-37.6,-14.1,-15.1,-32.4,-32.4
Cold Event,2009,1,1/14/2009,-35.5,-16.8,-10.4,-32.4,-32.4
Cold Event,1983,12,12/22/1983,-33.8,-22.3,-20,-32.3,-32.3
Cold Event,1990,12,12/22/1990,-38.2,-13.2,-10.6,-32,-32
Cold Event,1996,1,1/5/1996,-33,-15.5,-10,-31.9,-31.9
Cold Event,1991,1,1/8/1991,-32.2,-10.1,-8.7,-31.7,-31.7
Cold Event,2004,1,1/27/2004,-30.8,-9.3,-14,-31.5,-31.5
Cold Event,1989,12,12/18/1989,-30.6,-16.9,-14.1,-31.3,-31.3
Cold Event,1996,1,1/30/1996,-29.9,-14.2,-16,-31.1,-31.1
Cold Event,1990,12,12/20/1990,-29.4,-22.8,-18.8,-31.1,-31.1
Cold Event,2005,1,1/5/2005,-37.1,-12.1,-6.1,-31.1,-31.1
Cold Event,2021,12,12/30/2021,-28.7,-7.4,-12.6,-31.1,-31.1
Cold Event,1994,2,2/7/1994,-34.8,-21.2,-15.2,-31,-31
Cold Event,2021,12,12/29/2021,-33.8,-15.8,-11.5,-31,-31
Cold Event,1996,1,1/18/1996,-32.3,-18.4,-13.7,-30.9,-30.9
Cold Event,1997,1,1/27/1997,-28.5,-9.7,-11.4,-30.7,-30.7
Cold Event,1993,1,1/9/1993,-38.4,-19.9,-8.7,-30.6,-30.6
