Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2021,6,6/28/2021,62.6,93.2,91.2,62.9,91.2
Heat Event,2021,6,6/27/2021,62.2,89.1,90.9,62.1,90.9
Heat Event,2021,6,6/29/2021,63.8,91.3,90,63.4,90
Heat Event,2021,6,6/26/2021,61.4,90.5,87.2,61.2,87.2
Heat Event,2006,7,7/22/2006,62.1,89.8,87.1,61.9,87.1
Heat Event,2021,6,6/30/2021,63.7,85.6,87,63.5,87
Heat Event,2018,8,8/9/2018,59,89.1,87,58.6,87
Heat Event,2021,8,8/13/2021,57.6,88.9,86,58,86
Heat Event,2021,8,8/14/2021,60.2,86.5,85.5,59.4,85.5
Heat Event,2006,7,7/21/2006,58.9,86.8,85.1,59.1,85.1
Heat Event,2006,7,7/23/2006,64.7,84.7,85,62.4,85
Heat Event,2020,8,8/17/2020,60.7,85.9,84.7,59,84.7
Heat Event,1981,8,8/9/1981,59.8,85,84.7,59.8,84.7
Heat Event,1988,9,9/4/1988,53.6,81.7,84.6,52.8,84.6
Heat Event,2018,8,8/8/2018,57.5,84.4,84.4,58.5,84.4
Heat Event,2002,7,7/11/2002,58.6,84.5,84.4,57.9,84.4
Heat Event,1981,8,8/10/1981,60.4,86.2,84.3,60.3,84.3
Heat Event,1998,8,8/4/1998,59.4,83.9,84.3,59.4,84.3
Heat Event,1988,9,9/3/1988,53.5,85.2,84,52.6,84
Heat Event,2022,7,7/28/2022,61.7,84.6,83.8,62.4,83.8
Heat Event,2021,8,8/4/2021,57.1,84.7,83.8,59.8,83.8
Heat Event,2015,8,8/12/2015,57.4,84.3,83.6,57.5,83.6
Heat Event,2022,7,7/29/2022,63,83.9,83.6,61.9,83.6
Heat Event,1990,8,8/5/1990,59.5,85.5,83.6,58.8,83.6
Heat Event,2022,8,8/18/2022,57.8,83.8,83.4,58.3,83.4
Heat Event,2002,7,7/12/2002,58.9,84.2,83.3,59.8,83.3
Heat Event,2021,7,7/1/2021,63.1,84.3,83.2,62.7,83.2
Heat Event,2022,8,8/19/2022,59.3,85.2,83.1,59.4,83.1
Heat Event,2022,8,8/30/2022,56.7,84.7,83.1,55.9,83.1
Heat Event,1990,8,8/11/1990,63,82.3,83.1,60.4,83.1
Heat Event,2018,7,7/29/2018,57.4,84.3,83.1,57.7,83.1
Heat Event,2007,7,7/12/2007,60.2,82.8,83.1,61.1,83.1
Heat Event,2009,7,7/28/2009,60.8,81.3,83,58.3,83
Heat Event,2009,7,7/29/2009,57.1,84.6,82.9,58.7,82.9
Heat Event,1984,7,7/25/1984,58.4,83.8,82.9,57.3,82.9
Heat Event,2021,8,8/12/2021,56.2,82.5,82.8,57.7,82.8
Heat Event,2015,6,6/27/2015,58.9,83,82.8,60.3,82.8
Heat Event,2008,8,8/16/2008,59.1,81.3,82.7,59.2,82.7
Heat Event,2022,7,7/27/2022,62.5,83,82.7,61.2,82.7
Heat Event,1994,7,7/21/1994,60.1,82.4,82.7,59.2,82.7
Cold Event,1989,2,2/2/1989,-38.7,-23,-14.7,-36.9,-36.9
Cold Event,1989,2,2/1/1989,-38.3,-19.3,-19.5,-34.3,-34.3
Cold Event,1990,12,12/20/1990,-31.1,-16.1,-10.9,-29,-29
Cold Event,1989,2,2/3/1989,-33.8,-1.8,-4.2,-28.3,-28.3
Cold Event,1991,1,1/7/1991,-23.4,-9.5,-10.4,-27.8,-27.8
Cold Event,1989,1,1/31/1989,-26,-16.3,-8.2,-27.3,-27.3
Cold Event,1991,1,1/8/1991,-30.9,-12.5,-9.8,-27.1,-27.1
Cold Event,1989,1,1/8/1989,-29.7,-14.5,-8.7,-27,-27
Cold Event,1989,2,2/17/1989,-29.4,-1.3,2.6,-26.9,-26.9
Cold Event,1989,2,2/16/1989,-29.5,-1.7,-2.8,-26.1,-26.1
Cold Event,1991,1,1/9/1991,-26.9,-7.5,-3.8,-25.9,-25.9
Cold Event,1990,12,12/21/1990,-29.4,0.3,1.1,-25.9,-25.9
Cold Event,1990,12,12/28/1990,-28.6,-22,-8.8,-25,-25
Cold Event,1990,12,12/19/1990,-26.4,-17.1,-14.6,-24.7,-24.7
Cold Event,1990,12,12/29/1990,-34.7,-4.1,-6.7,-24.4,-24.4
Cold Event,1989,1,1/9/1989,-28.6,-6.6,-1.8,-24.3,-24.3
Cold Event,1989,2,2/18/1989,-21.7,10.8,10.6,-20.5,-20.5
Cold Event,2020,1,1/13/2020,-21.2,-8.1,-7.9,-20.4,-20.4
Cold Event,1989,1,1/7/1989,-22.5,-5.1,-6.6,-19.8,-19.8
Cold Event,1989,2,2/15/1989,-19.3,-5.4,-2.2,-19.2,-19.2
Cold Event,1990,12,12/30/1990,-9.8,5.8,-0.6,-18.8,-18.8
Cold Event,2020,1,1/14/2020,-27.6,-16.8,-4.2,-18.3,-18.3
Cold Event,1989,3,3/2/1989,-19.6,9.9,9.5,-17.6,-17.6
Cold Event,1989,3,3/1/1989,-15.3,6.2,5.4,-16.4,-16.4
Cold Event,1989,3,3/3/1989,-18,12.3,11.2,-15.2,-15.2
Cold Event,1989,1,1/10/1989,-14.5,15.6,11.2,-15.2,-15.2
Cold Event,1990,12,12/27/1990,-11.7,-0.2,4.5,-14.9,-14.9
Cold Event,1989,3,3/17/1989,-19.2,14.1,16,-14.7,-14.7
Cold Event,1991,1,1/6/1991,-29,-9.2,0.4,-13.9,-13.9
Cold Event,1990,12,12/26/1990,-4.5,35.5,15.9,-13.6,-13.6
Cold Event,1990,12,12/18/1990,-16.6,-10.6,0.2,-13.1,-13.1
Cold Event,1990,12,12/31/1990,-11.8,-3.6,-0.8,-13.1,-13.1
Cold Event,1990,12,12/25/1990,-24.6,12.4,17,-12.8,-12.8
Cold Event,1990,12,12/22/1990,-17.1,18.9,14.3,-12.5,-12.5
Cold Event,2020,1,1/12/2020,-12.3,1.4,-0.7,-12.2,-12.2
Cold Event,1989,2,2/4/1989,-12.3,12.2,9.9,-12.2,-12.2
Cold Event,1989,2,2/19/1989,-10.3,22.4,20.2,-12.2,-12.2
Cold Event,1991,1,1/10/1991,-20,8.5,11.4,-10.6,-10.6
Cold Event,2020,1,1/15/2020,-5.9,12.3,3.2,-10.2,-10.2
Cold Event,1988,12,12/31/1988,-10.8,-1.4,8.7,-10,-10
