Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
ERCOT,Heat Event,2000,9,9/4/2000,73.6,91.4,108.9,107.7,74.3,107.7
ERCOT,Heat Event,1980,6,6/27/1980,74.1,91,108,106.9,74.9,106.9
ERCOT,Heat Event,2000,9,9/5/2000,74.7,92.1,108.1,106.5,73.5,106.5
ERCOT,Heat Event,2018,7,7/21/2018,76,91.5,106.8,106.5,75.6,106.5
ERCOT,Heat Event,2018,7,7/22/2018,73.9,90.3,106.5,106.4,75.1,106.4
ERCOT,Heat Event,2000,9,9/3/2000,74.6,90,106.2,106.3,74.1,106.3
ERCOT,Heat Event,1980,6,6/26/1980,74.3,89.8,105.9,106,74.7,106
ERCOT,Heat Event,1980,6,6/28/1980,76.4,91.7,106.9,105.9,75.2,105.9
ERCOT,Heat Event,2011,8,8/28/2011,71.4,89.2,106.9,105.9,71.7,105.9
ERCOT,Heat Event,2018,7,7/20/2018,77,91.6,106.2,105.8,76.4,105.8
ERCOT,Heat Event,2011,8,8/3/2011,75.8,90.9,105.3,105.3,75.9,105.3
ERCOT,Heat Event,2011,8,8/29/2011,71.8,88,105,105.1,71.5,105.1
ERCOT,Heat Event,2003,8,8/7/2003,72.8,89.6,106.1,105,73.6,105
ERCOT,Heat Event,2011,8,8/2/2011,76,91,105.5,105,75.2,105
ERCOT,Heat Event,2011,8,8/27/2011,71.8,88.6,105.8,105,71.9,105
ERCOT,Heat Event,2022,7,7/19/2022,76.8,91.1,105.8,105,76.2,105
ERCOT,Heat Event,2011,8,8/4/2011,76,91,105,104.9,75.7,104.9
ERCOT,Heat Event,2018,7,7/23/2018,75.3,90.6,105.9,104.8,75.3,104.8
ERCOT,Heat Event,2022,7,7/11/2022,76,91,105.2,104.8,76.1,104.8
ERCOT,Heat Event,1995,7,7/28/1995,74,90.1,106.1,104.6,74.2,104.6
ERCOT,Heat Event,2012,6,6/26/2012,74.8,91.2,105.9,104.6,75.1,104.6
ERCOT,Heat Event,1980,7,7/2/1980,74.7,90.2,105.7,104.5,74.8,104.5
ERCOT,Heat Event,2022,7,7/10/2022,78.1,91.3,105,104.5,76.6,104.5
ERCOT,Heat Event,2022,7,7/18/2022,75.7,89.7,104,104.4,75.6,104.4
ERCOT,Heat Event,2000,9,9/2/2000,74.1,89,103.7,104.3,75.3,104.3
ERCOT,Heat Event,2011,8,8/5/2011,75.3,90.3,104.4,104.3,75.7,104.3
ERCOT,Heat Event,1980,6,6/25/1980,75.7,89.7,104,104.2,75.2,104.2
ERCOT,Heat Event,1980,6,6/29/1980,75,89.6,102.9,104.2,75,104.2
ERCOT,Heat Event,1980,7,7/1/1980,75.5,89.3,104.2,104.2,74.6,104.2
ERCOT,Heat Event,1994,6,6/27/1994,75.8,89.5,104.1,104.2,76.1,104.2
ERCOT,Heat Event,1994,6,6/28/1994,75.8,89.9,105.5,104.2,76.2,104.2
ERCOT,Heat Event,1995,7,7/27/1995,74.4,89.5,104.6,104.2,74.6,104.2
ERCOT,Heat Event,2003,8,8/8/2003,74.3,90.4,105,104.2,73.8,104.2
ERCOT,Heat Event,2022,7,7/12/2022,74.2,89.8,104.2,104.2,75,104.2
