Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Florida,Heat Event,1998,6,6/18/1998,72.5,84.4,97.1,96.8,71.9,96.8
Florida,Heat Event,1998,7,7/1/1998,73.5,85.3,97.2,96.7,73.4,96.7
Florida,Heat Event,1998,6,6/14/1998,72.9,84.5,96.7,96.6,71.7,96.6
Florida,Heat Event,1998,7,7/2/1998,73.8,85.4,96.5,96.6,73.6,96.6
Florida,Heat Event,1998,6,6/15/1998,72.6,84.2,96.7,96.5,72,96.5
Florida,Heat Event,1998,6,6/17/1998,71.5,83.8,95.9,96.3,71.5,96.3
Florida,Heat Event,1998,6,6/19/1998,71.8,84.1,97.5,96.3,72.1,96.3
Florida,Heat Event,1998,6,6/13/1998,69.5,83,96.4,96.2,70.7,96.2
Florida,Heat Event,1998,6,6/16/1998,70.6,83.2,96,96.2,71.6,96.2
Florida,Heat Event,1998,6,6/30/1998,72.8,84.3,96.3,96.2,73.1,96.2
Florida,Heat Event,1998,6,6/12/1998,69.6,82.8,95.5,95.7,70.2,95.7
Florida,Heat Event,1998,6,6/29/1998,73.1,83.9,95,95.2,73.1,95.2
Florida,Heat Event,1998,7,7/3/1998,73.6,84.8,96.2,95.2,74.3,95.2
Florida,Heat Event,1981,6,6/16/1981,71.9,83.5,95.4,95,72.1,95
Florida,Heat Event,1998,6,6/4/1998,71.4,82.9,94.5,94.9,71.7,94.9
Florida,Heat Event,1998,6,6/11/1998,71.6,83,95.2,94.9,70.6,94.9
Florida,Heat Event,1998,6,6/5/1998,69.8,82.6,95.8,94.8,71,94.8
Florida,Heat Event,1998,6,6/20/1998,72.1,82.8,94.2,94.8,72.1,94.8
Florida,Heat Event,2019,6,6/24/2019,71.8,83.2,94.9,94.8,72.7,94.8
Florida,Heat Event,2019,6,6/25/2019,74,84.5,95.9,94.8,73.4,94.8
Florida,Heat Event,1981,6,6/17/1981,72.9,84,95.3,94.6,72.7,94.6
Florida,Heat Event,1998,6,6/3/1998,74,84,94.4,94.6,73.2,94.6
Florida,Heat Event,2019,7,7/3/2019,74.8,84.8,95,94.6,75,94.6
Florida,Heat Event,1998,7,7/4/1998,75.4,84.2,92.9,94.5,74.5,94.5
Florida,Heat Event,2011,6,6/21/2011,73.6,83.7,95,94.5,73.1,94.5
Florida,Heat Event,1985,6,6/3/1985,73.4,83.4,94.5,94.4,73.4,94.4
Florida,Heat Event,2004,5,5/31/2004,68.8,81.3,95,94.3,66.6,94.3
