Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
GreatBasin,Heat Event,2002,7,7/13/2002,72.9,85.8,98.3,97.6,72.6,97.6
GreatBasin,Heat Event,2002,7,7/12/2002,71.9,84.6,97.8,97.2,71.6,97.2
GreatBasin,Heat Event,2021,7,7/11/2021,73.6,85.6,97.4,96.6,72.9,96.6
GreatBasin,Heat Event,2021,7,7/10/2021,72.3,84.4,96.4,96.2,72.5,96.2
GreatBasin,Heat Event,1998,7,7/17/1998,69.8,83.3,96.7,96,69.4,96
GreatBasin,Heat Event,1998,7,7/18/1998,70.9,83.9,96,95.9,70.4,95.9
GreatBasin,Heat Event,2002,7,7/11/2002,70.1,83,95.4,95.9,69.9,95.9
GreatBasin,Heat Event,2002,7,7/14/2002,73,84.9,96.7,95.9,71.9,95.9
GreatBasin,Heat Event,2021,7,7/12/2021,72.8,85,95.9,95.9,72.7,95.9
GreatBasin,Heat Event,2013,6,6/30/2013,71.3,83.9,95.4,95.8,71.9,95.8
GreatBasin,Heat Event,2007,7,7/6/2007,71.2,84.5,96.3,95.7,70.8,95.7
GreatBasin,Heat Event,2021,7,7/9/2021,71.7,83.9,94.8,95.7,71.5,95.7
GreatBasin,Heat Event,2000,7,7/30/2000,70.3,83.1,95.9,95.6,70,95.6
GreatBasin,Heat Event,2000,7,7/31/2000,71.3,83.8,95.7,95.6,70.8,95.6
GreatBasin,Heat Event,2007,7,7/5/2007,70,83.2,96,95.6,69.4,95.6
GreatBasin,Heat Event,2013,7,7/1/2013,72.5,84.5,96.1,95.6,72.3,95.6
GreatBasin,Heat Event,2013,6,6/29/2013,71.8,84.5,96,95.5,70.6,95.5
GreatBasin,Heat Event,2020,8,8/17/2020,70.9,83.2,96.5,95.5,70.6,95.5
GreatBasin,Heat Event,2021,7,7/8/2021,70.5,83.6,95.8,95.5,70.9,95.5
GreatBasin,Heat Event,2020,8,8/18/2020,71.5,83.5,95.6,95.4,71.5,95.4
GreatBasin,Heat Event,2013,7,7/2/2013,73.2,84.7,95.4,95.3,72.8,95.3
GreatBasin,Heat Event,2003,7,7/22/2003,72.1,84.2,96.2,95.2,72.3,95.2
GreatBasin,Heat Event,2005,7,7/14/2005,68.4,81.4,93.9,95.2,69.8,95.2
GreatBasin,Heat Event,2005,7,7/15/2005,70.2,82.9,96.3,95.2,70.4,95.2
GreatBasin,Heat Event,2020,8,8/1/2020,70.6,83.2,94.9,95.2,70.1,95.2
GreatBasin,Heat Event,2003,7,7/16/2003,70.4,83.2,95.1,95.1,70.1,95.1
GreatBasin,Heat Event,2005,7,7/16/2005,72.7,84.5,95.4,95.1,70.1,95.1
GreatBasin,Heat Event,2021,7,7/7/2021,70.6,83.4,95.9,95.1,69.8,95.1
GreatBasin,Heat Event,2017,7,7/7/2017,71.8,83.9,95.3,95,71.5,95
GreatBasin,Heat Event,2022,9,9/6/2022,70.2,82.2,96,95,71,95
GreatBasin,Heat Event,1985,7,7/5/1985,69,82.6,95.2,94.9,69,94.9
GreatBasin,Heat Event,2020,7,7/31/2020,70.3,82.8,96.1,94.9,69.6,94.9
GreatBasin,Heat Event,1989,7,7/7/1989,68.9,82.5,95.8,94.8,67.9,94.8
GreatBasin,Heat Event,1998,7,7/19/1998,70.4,83,94.9,94.8,70.1,94.8
GreatBasin,Heat Event,2000,8,8/1/2000,70.8,83.6,95.2,94.8,70.9,94.8
GreatBasin,Heat Event,2003,7,7/11/2003,67.8,81.5,94.3,94.8,67.1,94.8
GreatBasin,Heat Event,2003,7,7/21/2003,70.7,82.8,94.7,94.8,71.3,94.8
GreatBasin,Heat Event,2005,7,7/20/2005,70.2,82.9,94.8,94.8,70.7,94.8
GreatBasin,Heat Event,2006,7,7/16/2006,71.3,83.1,94.9,94.8,70.9,94.8
GreatBasin,Heat Event,2017,7,7/6/2017,70.6,82.8,94.6,94.8,70.5,94.8
GreatBasin,Cold Event,1990,12,12/22/1990,-9.1,-3.2,5.7,6.9,-6.9,-6.9
GreatBasin,Cold Event,1990,12,12/23/1990,-6,-1.3,9.6,10.8,-4.8,-4.8
GreatBasin,Cold Event,1990,12,12/21/1990,-5.7,-0.1,5.3,9.9,-3.4,-3.4
GreatBasin,Cold Event,1989,2,2/6/1989,-3.4,2.7,12,14.1,-1.2,-1.2
GreatBasin,Cold Event,1989,2,2/7/1989,-0.3,5.1,15.8,15.9,-0.3,-0.3
GreatBasin,Cold Event,1990,12,12/24/1990,0.7,5.1,17,15.5,0,0
GreatBasin,Cold Event,1989,2,2/5/1989,0,6.1,14.5,15.4,1.8,1.8
GreatBasin,Cold Event,1985,2,2/1/1985,-0.1,5.8,14.3,15.9,3.3,3.3
GreatBasin,Cold Event,2013,1,1/13/2013,3.7,8.3,15.1,15.4,3.4,3.4
GreatBasin,Cold Event,1998,12,12/22/1998,3.8,8.3,16.7,16.5,3.5,3.5
GreatBasin,Cold Event,2013,1,1/14/2013,0.2,5.5,13.8,17.2,3.7,3.7
GreatBasin,Cold Event,1985,1,1/31/1985,3.5,8.6,15.1,17.2,4,4
GreatBasin,Cold Event,1989,2,2/8/1989,2.9,8.4,19.8,21.9,4.6,4.6
GreatBasin,Cold Event,2007,1,1/14/2007,4.2,9.5,16.6,17.8,4.7,4.7
GreatBasin,Cold Event,1985,2,2/2/1985,6.5,10.2,18.3,17.5,4.8,4.8
GreatBasin,Cold Event,1990,12,12/20/1990,4.7,10.4,18.7,17.2,5.1,5.1
GreatBasin,Cold Event,1982,2,2/5/1982,1.7,8,17.6,22.2,5.2,5.2
GreatBasin,Cold Event,1990,12,12/25/1990,5.2,10.8,19.9,20.2,5.2,5.2
GreatBasin,Cold Event,1990,12,12/30/1990,-0.6,5.1,19,22.7,5.3,5.3
GreatBasin,Cold Event,1985,2,2/4/1985,3.4,10.1,16.6,19.3,5.5,5.5
GreatBasin,Cold Event,1998,12,12/21/1998,2.8,8.9,14.7,17.4,5.7,5.7
GreatBasin,Cold Event,1985,2,2/3/1985,8,12.2,19.8,18.2,6,6
GreatBasin,Cold Event,2007,1,1/13/2007,4.5,9.8,16.7,19.1,6,6
GreatBasin,Cold Event,1998,12,12/23/1998,4,9.4,18,20.2,6.1,6.1
GreatBasin,Cold Event,2011,1,1/1/2011,4,7.9,16.7,18,6.1,6.1
