Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
ISONE,Heat Event,1991,7,7/20/1991,70,80,90.4,89.6,70.4,89.6
ISONE,Heat Event,2002,7,7/3/2002,70.5,80.3,89.9,89.2,69.1,89.2
ISONE,Heat Event,2011,7,7/22/2011,73.6,82.1,92.4,89.1,70.2,89.1
ISONE,Heat Event,2006,8,8/2/2006,73.7,81.8,90.9,88.8,72.1,88.8
ISONE,Heat Event,2001,8,8/8/2001,68.6,77.7,85.7,88.7,68.8,88.7
ISONE,Heat Event,1991,7,7/19/1991,68.9,78.4,87.9,88.6,68.2,88.6
ISONE,Heat Event,1999,7,7/5/1999,73,81.5,90.4,88.6,70.6,88.6
ISONE,Heat Event,2022,7,7/23/2022,69,78.7,88.6,88.5,68.9,88.5
ISONE,Heat Event,1993,7,7/9/1993,71.1,79.6,87.8,88.1,71.1,88.1
ISONE,Heat Event,1981,7,7/8/1981,64.6,76.9,89,88,66.9,88
ISONE,Heat Event,2010,9,9/1/2010,67.8,77.9,88.4,88,66,88
ISONE,Heat Event,1999,7,7/17/1999,68.4,79.3,90.8,87.8,67.4,87.8
ISONE,Heat Event,2011,7,7/23/2011,68.8,79.3,89.2,87.8,70.4,87.8
ISONE,Heat Event,1993,7,7/8/1993,71.4,79.3,87,87.7,70.1,87.7
ISONE,Heat Event,2002,8,8/13/2002,66.1,76.7,87.1,87.7,65.4,87.7
ISONE,Heat Event,2013,7,7/18/2013,72,79.6,87.4,87.7,71.7,87.7
ISONE,Heat Event,1995,7,7/14/1995,68.4,77.8,89.4,87.6,67.6,87.6
ISONE,Heat Event,2002,8,8/14/2002,67.7,78.2,89.3,87.5,67.2,87.5
ISONE,Heat Event,2019,7,7/20/2019,74.2,81.3,90.5,87.5,70.9,87.5
ISONE,Heat Event,2020,7,7/27/2020,69.4,79.4,90,87.5,70.6,87.5
ISONE,Heat Event,1988,8,8/14/1988,71.8,79,87,87.4,70.4,87.4
ISONE,Heat Event,2010,7,7/5/2010,64.7,76.1,86.5,87.4,66.1,87.4
ISONE,Heat Event,2022,7,7/22/2022,68.4,78.7,88.3,87.4,68.9,87.4
ISONE,Heat Event,1980,7,7/21/1980,73,80.3,89.3,87.3,70,87.3
ISONE,Heat Event,1988,8,8/13/1988,67.4,77.9,87.5,87.3,70.3,87.3
ISONE,Heat Event,1991,7,7/21/1991,72.2,81,90.4,87.3,69.7,87.3
ISONE,Heat Event,2013,7,7/19/2013,72.9,80.8,89.6,87.3,73.6,87.3
ISONE,Heat Event,1993,7,7/10/1993,70.8,80,89.4,87.2,69,87.2
