Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2002,8,8/14/2002,65,92,91.1,64.3,91.1
Heat Event,2010,9,9/2/2010,65.9,90.8,91.1,65.9,91.1
Heat Event,1991,7,7/20/1991,66.3,93.1,90.9,65.5,90.9
Heat Event,2002,8,8/15/2002,67,92.5,90.9,67.3,90.9
Heat Event,2018,7,7/4/2018,66.3,91.2,90.5,64.9,90.5
Heat Event,2010,9,9/1/2010,67.7,91.5,90.4,65.1,90.4
Heat Event,2002,7,7/3/2002,63.8,92.8,90,64,90
Heat Event,1999,7,7/17/1999,65.8,93.1,89.7,63.1,89.7
Heat Event,2010,8,8/31/2010,61.8,89,89.6,62.7,89.6
Heat Event,2002,8,8/16/2002,69.8,88.1,89.6,67.6,89.6
Heat Event,2022,7,7/24/2022,65.1,90.4,89.6,65,89.6
Heat Event,2001,8,8/9/2001,63.7,90,89.6,64.4,89.6
Heat Event,2022,7,7/22/2022,65.1,86,89.4,62.4,89.4
Heat Event,2001,7,7/23/2001,65.4,88.6,89.2,62.1,89.2
Heat Event,1991,7,7/19/1991,64.3,90.3,89,64.5,89
Heat Event,1993,8,8/27/1993,57.4,88.7,88.8,59,88.8
Heat Event,2022,7,7/23/2022,62.1,90.1,88.8,64.1,88.8
Heat Event,2001,7,7/24/2001,64.1,92.2,88.7,64.9,88.7
Heat Event,2018,7,7/3/2018,63.7,88.1,88.7,63.3,88.7
Heat Event,1988,8,8/5/1988,69,89.7,88.7,66.9,88.7
Heat Event,2022,8,8/6/2022,66.3,87.7,88.7,66.2,88.7
Heat Event,2007,7,7/27/2007,62.8,89.1,88.5,61.9,88.5
Heat Event,1987,8,8/17/1987,67.6,90.9,88.5,65,88.5
Heat Event,2002,8,8/17/2002,65.9,88.2,88.5,65.8,88.5
Heat Event,2019,7,7/5/2019,62.4,90.6,88.5,61,88.5
Heat Event,1989,7,7/26/1989,63.3,90.8,88.4,60.9,88.4
Heat Event,2002,8,8/13/2002,61,88.9,88.4,62,88.4
