Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,1988,8,8/16/1988,66.5,99.1,97.4,68.2,97.4
Heat Event,1988,8,8/17/1988,72.5,98.4,96,68.1,96
Heat Event,1988,8,8/15/1988,65.7,94.6,95.6,67.3,95.6
Heat Event,1988,8,8/2/1988,68.5,95.8,95.5,67.3,95.5
Heat Event,1988,8,8/1/1988,65.4,96,94.9,64.8,94.9
Heat Event,2012,7,7/5/2012,71.3,94.6,94.8,70.7,94.8
Heat Event,2012,7,7/4/2012,70.2,94.3,94,70.1,94
Heat Event,2012,7,7/6/2012,70.6,95.6,93.9,70.3,93.9
Heat Event,1988,8,8/3/1988,68.1,94.9,93.8,68.3,93.8
Heat Event,1988,7,7/6/1988,66.6,94.3,93.5,66.4,93.5
Heat Event,1988,7,7/15/1988,65.3,95.9,93.4,67.6,93.4
Heat Event,2012,7,7/24/2012,70.8,91.2,93.2,68.6,93.2
Heat Event,2006,8,8/1/2006,72.8,92,93.1,71.9,93.1
Heat Event,2006,7,7/31/2006,72,96.3,93.1,71.5,93.1
Heat Event,1988,7,7/31/1988,60.4,92.9,93,63.8,93
Heat Event,2012,7,7/3/2012,69,93,92.9,68.6,92.9
Heat Event,2006,7,7/30/2006,69.8,91,92.9,69.5,92.9
Heat Event,2012,7,7/23/2012,70.1,95.7,92.8,68.8,92.8
Heat Event,1988,7,7/7/1988,69.2,93.3,92.7,67.6,92.7
Heat Event,1988,7,7/14/1988,66.2,93.2,92.7,63.7,92.7
Heat Event,1988,8,8/14/1988,69.6,93.1,92.5,68.4,92.5
Heat Event,2012,7,7/17/2012,70.5,93.4,92.1,68.7,92.1
Heat Event,1988,7,7/29/1988,65.2,92.7,92.1,64,92.1
Heat Event,1988,6,6/20/1988,65.4,91.2,92,64.4,92
Heat Event,1988,6,6/21/1988,64.8,94.7,92,67.5,92
Heat Event,1999,7,7/29/1999,69.4,92.7,92,68.7,92
Heat Event,1988,7,7/5/1988,63.5,92.8,91.9,62.5,91.9
Heat Event,1988,7,7/30/1988,65.5,90,91.9,63.7,91.9
Heat Event,1988,7,7/28/1988,61.4,93.7,91.8,61.5,91.8
Heat Event,2012,7,7/16/2012,66.5,93.3,91.8,67.7,91.8
Heat Event,1995,7,7/13/1995,70.2,93.8,91.7,69.1,91.7
Heat Event,2012,7,7/2/2012,66.6,91.3,91.7,67.1,91.7
