Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2000,9,9/3/2000,75.9,104.5,104.2,74.6,104.2
Heat Event,2000,9,9/4/2000,73.7,105.7,103.8,74.4,103.8
Heat Event,2000,8,8/30/2000,73.7,103.6,102.9,73.8,102.9
Heat Event,2000,9,9/2/2000,74.3,102.5,102.8,75.5,102.8
Heat Event,2000,8,8/31/2000,75.4,103.1,102.7,75.2,102.7
Heat Event,2011,8,8/28/2011,68.7,102.7,102.4,69,102.4
Heat Event,2011,8,8/3/2011,74.9,103.1,102.4,75.5,102.4
Heat Event,2000,9,9/1/2000,76.4,101.5,102.4,75.4,102.4
Heat Event,2011,8,8/27/2011,70.9,103.4,102.2,70.4,102.2
Heat Event,2011,8,8/4/2011,76.2,102.6,102,75.7,102
Heat Event,2000,8,8/29/2000,72.4,102,101.9,72.6,101.9
Heat Event,2011,8,8/2/2011,75.5,101.5,101.8,75.2,101.8
Heat Event,2011,8,8/19/2011,72.4,101.9,101.7,72.6,101.7
Heat Event,2011,8,8/29/2011,67.5,101.3,101.5,68.2,101.5
Heat Event,2000,7,7/15/2000,73.6,102.9,101.4,73.3,101.4
Heat Event,1986,7,7/30/1986,75.1,101.9,101.4,75.9,101.4
Heat Event,2011,8,8/20/2011,72.5,101.9,101.4,73,101.4
Heat Event,2000,7,7/16/2000,71.8,101,101.4,72.4,101.4
Heat Event,2011,8,8/18/2011,73,101.3,101.2,72.2,101.2
Heat Event,2011,8,8/26/2011,71.7,100.5,101,71.6,101
Heat Event,2011,8,8/21/2011,74,100.4,101,73.4,101
Heat Event,2007,8,8/13/2007,75.8,101.9,100.9,75.4,100.9
Heat Event,2007,8,8/12/2007,74.8,100.4,100.7,74.8,100.7
Heat Event,2011,8,8/30/2011,68.4,100.5,100.7,69.1,100.7
Heat Event,2000,7,7/14/2000,74.5,100.4,100.7,73.8,100.7
Heat Event,1980,7,7/15/1980,75.3,100.9,100.5,74.5,100.5
Heat Event,1986,7,7/31/1986,75.9,102.3,100.4,75.2,100.4
Heat Event,2011,8,8/22/2011,73.8,100.7,100.3,74,100.3
Heat Event,2012,6,6/26/2012,74.9,100.3,100.3,73.2,100.3
Heat Event,1980,7,7/16/1980,74.9,101,100.3,75,100.3
Heat Event,2012,6,6/25/2012,74.8,102,100.3,73.9,100.3
Heat Event,2011,8,8/5/2011,76,100.4,100.3,76.4,100.3
Heat Event,1998,8,8/1/1998,69.9,101.1,100.3,71.4,100.3
Heat Event,2011,8,8/17/2011,71.2,100.5,100.3,71.2,100.3
Heat Event,1986,7,7/29/1986,76.7,100,100.3,76.1,100.3
Heat Event,1998,7,7/31/1998,73.6,99.6,100.1,72.1,100.1
Heat Event,1980,7,7/14/1980,73.2,99.7,100.1,73.5,100.1
Heat Event,2000,9,9/5/2000,73.5,101.2,100.1,72.1,100.1
Heat Event,2007,8,8/14/2007,75.5,100.6,100.1,75.8,100.1
Heat Event,2018,7,7/21/2018,74.3,99.7,100,74.3,100
Cold Event,1989,12,12/23/1989,1,19.5,29,6.2,6.2
Cold Event,1983,12,12/25/1983,2.7,18.3,25.9,10.1,10.1
Cold Event,1989,12,12/24/1989,7.6,33.7,34.2,10.3,10.3
Cold Event,2021,2,2/16/2021,-0.3,26.4,29.3,11.3,11.3
Cold Event,1996,2,2/4/1996,10.8,27.8,32.9,12.8,12.8
Cold Event,1985,1,1/21/1985,7.6,30.9,41.5,13.6,13.6
Cold Event,1989,12,12/22/1989,10.2,33.7,31.6,14.1,14.1
Cold Event,1983,12,12/26/1983,12.5,27.9,29.5,14.2,14.2
Cold Event,2021,2,2/15/2021,16.4,26.4,28.6,14.3,14.3
Cold Event,2010,1,1/9/2010,12.7,33.4,33.1,14.5,14.5
Cold Event,1983,12,12/24/1983,15,31.5,27.7,14.6,14.6
Cold Event,2022,12,12/24/2022,14.2,32.9,36.6,14.9,14.9
Cold Event,1983,12,12/30/1983,12.9,30.9,36.6,15.2,15.2
Cold Event,2021,2,2/17/2021,17.7,35.1,32.1,15.2,15.2
Cold Event,2018,1,1/17/2018,11,30.3,38.6,16.1,16.1
Cold Event,1996,2,2/3/1996,12.7,26.7,30.4,16.9,16.9
Cold Event,2010,1,1/10/2010,16.9,38.1,39.4,17,17
Cold Event,1982,1,1/11/1982,5.7,25.8,34.4,17.1,17.1
Cold Event,2018,1,1/2/2018,16,30,32.9,18,18
Cold Event,2018,1,1/18/2018,16,39.8,40.5,18.1,18.1
Cold Event,2014,1,1/7/2014,14.7,36.4,39.6,18.4,18.4
Cold Event,1983,12,12/31/1983,14.4,41.5,41,18.4,18.4
Cold Event,1982,1,1/12/1982,22.5,35.2,32.2,18.6,18.6
Cold Event,2014,1,1/29/2014,16.3,36.2,39.6,18.6,18.6
Cold Event,2010,1,1/8/2010,13.8,27.8,34.1,18.8,18.8
Cold Event,2018,1,1/3/2018,19.8,38.9,37.2,18.9,18.9
Cold Event,1985,1,1/22/1985,19.3,42.5,38.9,19.1,19.1
Cold Event,1985,1,1/20/1985,14,51.1,47.5,19.1,19.1
Cold Event,1982,1,1/10/1982,23.1,42.2,40.1,19.3,19.3
Cold Event,1985,2,2/2/1985,17.6,32.7,34,19.4,19.4
Cold Event,1989,12,12/25/1989,22.4,49.5,46.9,19.6,19.6
Cold Event,1996,2,2/5/1996,14.7,44.3,41.5,19.7,19.7
Cold Event,1984,1,1/20/1984,22,31.1,34.6,19.8,19.8
Cold Event,1984,1,1/21/1984,16.9,37.2,38.6,20.3,20.3
Cold Event,1985,2,2/3/1985,16.6,30.8,35.4,20.3,20.3
Cold Event,2018,1,1/16/2018,21.2,45.8,43.7,20.6,20.6
Cold Event,2021,2,2/18/2021,28.2,34.9,35.4,20.6,20.6
Cold Event,2022,12,12/25/2022,20.9,42.2,42,20.7,20.7
Cold Event,2022,12,12/23/2022,9.6,34.7,40.7,20.8,20.8
Cold Event,2001,1,1/3/2001,19.4,38.7,41.3,20.8,20.8
