Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
NYISO,Heat Event,1999,7,7/5/1999,72.6,83.2,93,91.9,72.7,91.9
NYISO,Heat Event,2011,7,7/22/2011,75.9,84.6,93.2,90.7,72.5,90.7
NYISO,Heat Event,2001,8,8/8/2001,68.7,80.4,90,90.6,67.8,90.6
NYISO,Heat Event,2006,8,8/2/2006,72.2,82.2,91.5,90.5,72.8,90.5
NYISO,Heat Event,2010,7,7/6/2010,70.7,80.6,89.9,90.1,70.2,90.1
NYISO,Heat Event,2011,7,7/23/2011,71.4,81.6,90.7,90,73.2,90
NYISO,Heat Event,1993,7,7/9/1993,71.4,81,90.7,89.9,71.6,89.9
NYISO,Heat Event,1999,7,7/6/1999,72.5,83.2,92.3,89.9,71.7,89.9
NYISO,Heat Event,1988,8,8/14/1988,73.7,81.9,91.2,89.8,72.4,89.8
NYISO,Heat Event,1991,7,7/20/1991,70,80.4,89.7,89.7,69.9,89.7
NYISO,Heat Event,1995,7,7/15/1995,74.7,83.4,93.3,89.7,71.5,89.7
NYISO,Heat Event,1999,7,7/4/1999,72.9,79.6,90.3,89.3,71,89.3
NYISO,Heat Event,1995,7,7/14/1995,70.8,79.8,90.7,89.2,69.5,89.2
NYISO,Heat Event,2013,7,7/18/2013,72.5,80.8,88.9,89.2,72.2,89.2
NYISO,Heat Event,2022,7,7/21/2022,71.9,80.5,88,89.2,69.2,89.2
NYISO,Heat Event,2022,7,7/23/2022,69.9,80.1,90.1,89.2,68.9,89.2
NYISO,Heat Event,1988,8,8/13/1988,70.2,79.5,88.3,89.1,72,89.1
NYISO,Heat Event,2022,8,8/8/2022,73.1,81.2,89.7,89.1,73.5,89.1
NYISO,Heat Event,1993,7,7/8/1993,71.5,80.7,89.7,89,70.4,89
NYISO,Heat Event,1993,7,7/10/1993,71.9,81.3,89.4,89,70.1,89
NYISO,Heat Event,1991,7,7/21/1991,71,81.2,91,88.9,70,88.9
NYISO,Heat Event,1991,7,7/22/1991,69.1,78.4,85.9,88.9,71.2,88.9
NYISO,Heat Event,2002,7,7/3/2002,68.9,79.9,89.3,88.9,68.7,88.9
NYISO,Heat Event,2022,7,7/20/2022,68.7,80.4,91.1,88.9,69.9,88.9
NYISO,Heat Event,2022,7,7/22/2022,67,79.9,88.6,88.9,69.6,88.9
NYISO,Heat Event,1980,7,7/21/1980,74.4,82.9,92.2,88.8,71.6,88.8
NYISO,Heat Event,2006,8,8/1/2006,71.4,80.1,91.3,88.8,70,88.8
NYISO,Heat Event,2010,7,7/5/2010,65.4,78.3,89.3,88.8,65.6,88.8
NYISO,Heat Event,1991,7,7/19/1991,68.7,79,88.3,88.7,67.8,88.7
NYISO,Heat Event,2018,7,7/1/2018,69.3,80.4,91.3,88.7,69.1,88.7
NYISO,Heat Event,2018,7,7/2/2018,72.3,81.7,88.5,88.7,70.6,88.7
NYISO,Heat Event,2021,6,6/29/2021,72.2,81.3,89.9,88.7,72.3,88.7
NYISO,Heat Event,1999,7,7/17/1999,69.8,80.1,90.2,88.6,67.3,88.6
NYISO,Heat Event,2019,7,7/20/2019,75.8,83.1,91,88.6,73.1,88.6
NYISO,Heat Event,2022,8,8/7/2022,73.1,80.9,90.2,88.6,72.8,88.6
NYISO,Heat Event,1981,7,7/8/1981,66.8,78.4,88.7,88.5,67.6,88.5
NYISO,Heat Event,2001,8,8/7/2001,68.9,78.9,89.8,88.5,67.3,88.5
NYISO,Heat Event,2001,8,8/9/2001,65.9,79.1,92,88.5,69.7,88.5
NYISO,Heat Event,2006,8,8/3/2006,74.7,82.1,88.8,88.4,73,88.4
NYISO,Heat Event,2013,7,7/17/2013,70.7,79.8,88.3,88.4,72.2,88.4
NYISO,Cold Event,1994,1,1/20/1994,-13.8,-5.4,7.9,8.7,-13,-13
NYISO,Cold Event,1981,1,1/12/1981,-13.3,-4.2,8.6,10.5,-9.7,-9.7
NYISO,Cold Event,1994,1,1/19/1994,-14.9,-6,2,14,-8.9,-8.9
NYISO,Cold Event,1984,1,1/21/1984,-9.2,0.1,7.1,11.7,-8.5,-8.5
NYISO,Cold Event,2015,2,2/15/2015,-5.2,7.8,19.4,17.2,-8.1,-8.1
NYISO,Cold Event,1994,1,1/16/1994,-12.7,-5.4,4.9,18.6,-7.6,-7.6
