Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,1988,7,7/8/1988,70.4,97.6,97.5,67.8,97.5
Heat Event,1988,7,7/9/1988,67.4,97,96.8,68.5,96.8
Heat Event,2001,8,8/8/2001,68.1,98.3,96.4,71.9,96.4
Heat Event,1988,7,7/7/1988,65.7,98.1,96.2,65.4,96.2
Heat Event,2001,8,8/7/2001,73.2,94.2,95.9,69.8,95.9
Heat Event,2002,7,7/2/2002,74.7,94.7,94.5,72.7,94.5
Heat Event,2011,7,7/21/2011,77.3,98.8,94.3,71.4,94.3
Heat Event,2005,7,7/12/2005,70,93,93.5,70.1,93.5
Heat Event,2011,7,7/22/2011,70.9,89.5,93.5,72.6,93.5
Heat Event,2018,7,7/1/2018,74.1,93.1,93.5,70.9,93.5
Heat Event,2001,8,8/9/2001,74.5,96.6,93.4,67.9,93.4
Heat Event,1995,7,7/14/1995,69.7,97.2,93.4,68.4,93.4
Heat Event,2006,8,8/1/2006,77.5,96.5,93.2,71.1,93.2
Heat Event,1991,7,7/19/1991,69.6,94.6,93.1,69.6,93.1
Heat Event,2013,7,7/18/2013,73.7,91.3,93.1,72.3,93.1
Heat Event,1994,6,6/17/1994,69.8,91.9,93,67.3,93
Heat Event,2001,8,8/6/2001,68,95.1,93,68.3,93
Heat Event,2002,7,7/3/2002,73.9,94.5,93,71.1,93
Heat Event,2016,8,8/11/2016,70.5,91.3,93,71.3,93
Heat Event,1988,7,7/10/1988,67.7,95.8,92.8,66.7,92.8
Heat Event,1988,7,7/6/1988,60.2,92.8,92.8,60.4,92.8
Heat Event,2002,7,7/1/2002,69.6,94.4,92.7,69.6,92.7
Heat Event,2002,8,8/12/2002,68.3,93.3,92.7,67.4,92.7
Heat Event,2002,9,9/9/2002,65.1,93,92.6,62.4,92.6
Heat Event,2005,7,7/11/2005,68.3,94,92.5,66.5,92.5
Heat Event,2020,7,7/8/2020,70,92.3,92.5,69.3,92.5
Heat Event,2011,7,7/20/2011,66,94.7,92.5,70.7,92.5
Heat Event,2005,7,7/13/2005,71.9,93.5,92.4,71.5,92.4
Heat Event,2010,7,7/6/2010,73.6,92,92.2,72.5,92.2
Heat Event,2012,6,6/20/2012,74.9,93.2,92.2,70.2,92.2
Heat Event,2007,8,8/2/2007,71.9,93.6,92.2,68.7,92.2
Heat Event,2002,8,8/13/2002,69.8,93.1,92.1,69.5,92.1
Heat Event,1988,8,8/4/1988,74.5,92.6,92.1,72.7,92.1
Heat Event,1983,7,7/15/1983,68.3,94.1,91.9,63.1,91.9
Heat Event,2010,7,7/7/2010,72.6,91.8,91.9,73.4,91.9
Heat Event,2020,7,7/9/2020,70,93,91.9,69.4,91.9
Heat Event,1999,7,7/16/1999,70.4,91.7,91.9,69.6,91.9
Heat Event,2016,7,7/22/2016,71.8,93.8,91.9,68.4,91.9
Heat Event,2007,8,8/1/2007,66.5,90.7,91.9,67.5,91.9
Heat Event,2003,6,6/25/2003,69.4,92.9,91.8,65.2,91.8
Cold Event,1982,1,1/11/1982,-15.2,11.4,9,-16.1,-16.1
Cold Event,1981,1,1/3/1981,-16.5,-1.6,9.7,-15.6,-15.6
Cold Event,1981,1,1/4/1981,-24.5,6.8,8.3,-15.4,-15.4
Cold Event,1994,1,1/15/1994,-18.1,-4.9,7.8,-15.2,-15.2
Cold Event,1994,1,1/16/1994,-23.7,9,8,-14.8,-14.8
Cold Event,1982,1,1/10/1982,-17.1,3.7,9.7,-14,-14
Cold Event,1981,1,1/11/1981,-14,-4.4,7.2,-12.1,-12.1
Cold Event,2004,1,1/15/2004,-14,-0.5,5.8,-11.9,-11.9
Cold Event,2015,2,2/15/2015,-13,-0.7,8.3,-11.1,-11.1
Cold Event,1989,12,12/23/1989,-12.8,15.5,10.9,-10.9,-10.9
