Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
PacificNW,Heat Event,2021,6,6/28/2021,76.7,88.8,102.1,101.1,71.8,101.1
PacificNW,Heat Event,2021,6,6/27/2021,72,84.6,100.1,98.3,71.8,98.3
PacificNW,Heat Event,2021,6,6/29/2021,66.8,80.6,101,97,68.6,97
PacificNW,Heat Event,2021,8,8/13/2021,67.2,79.9,94.4,93.8,65.6,93.8
PacificNW,Heat Event,2021,8,8/12/2021,67,79.2,95,93.3,65.6,93.3
PacificNW,Heat Event,1992,8,8/12/1992,68.9,80.2,93.9,92.9,66.9,92.9
PacificNW,Heat Event,1988,9,9/3/1988,62.6,76.6,92.9,92.8,62.3,92.8
PacificNW,Heat Event,2006,7,7/22/2006,71.5,80.9,92.9,92.4,69.1,92.4
PacificNW,Heat Event,2017,9,9/5/2017,67.6,79.1,93.9,92.4,64.8,92.4
PacificNW,Heat Event,1981,8,8/10/1981,66.8,79.3,93,92.3,67.9,92.3
PacificNW,Heat Event,1981,8,8/9/1981,70.2,80.2,91.8,92.2,68.1,92.2
PacificNW,Heat Event,2021,6,6/26/2021,66.8,77.7,92.8,92.2,66.1,92.2
PacificNW,Heat Event,2017,8,8/3/2017,68.1,79.6,92.4,91.9,65.9,91.9
PacificNW,Heat Event,2017,9,9/4/2017,64.2,76.1,91.4,91.6,65.4,91.6
PacificNW,Heat Event,2021,8,8/14/2021,62.6,76,92,91.6,64,91.6
PacificNW,Heat Event,1981,8,8/8/1981,67.4,78.9,91.9,91.5,67.2,91.5
PacificNW,Heat Event,1988,9,9/2/1988,63.3,76,94.3,91.5,61,91.5
PacificNW,Heat Event,1992,8,8/13/1992,67.3,79.3,91.8,91.5,65.7,91.5
PacificNW,Heat Event,2009,7,7/28/2009,69.1,80.3,92.2,91.5,67.8,91.5
PacificNW,Heat Event,1981,8,8/11/1981,66.8,78.8,92.2,91.3,64.8,91.3
PacificNW,Heat Event,2006,7,7/23/2006,69.3,80.2,91.1,91.3,68.6,91.3
PacificNW,Heat Event,1992,8,8/11/1992,64.6,76.8,93.1,91.2,63.2,91.2
PacificNW,Heat Event,2009,7,7/29/2009,69.9,80.6,91.7,91.2,68.3,91.2
PacificNW,Heat Event,2020,8,8/16/2020,65,77.9,93,91.1,62.6,91.1
PacificNW,Heat Event,2017,9,9/6/2017,62.6,74.8,92,90.6,63.5,90.6
PacificNW,Heat Event,1988,9,9/4/1988,60.9,74.1,91.2,90.4,60.6,90.4
PacificNW,Heat Event,2017,8,8/2/2017,65.5,77,91.6,90.4,64.7,90.4
PacificNW,Heat Event,2015,7,7/31/2015,63,76.7,90.4,90.2,61.8,90.2
