Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
PJM,Heat Event,2012,7,7/6/2012,69.6,81,91.2,93.3,70.6,93.3
PJM,Heat Event,1995,7,7/14/1995,70.1,81.3,92.7,92,70.1,92
PJM,Heat Event,1999,7,7/5/1999,72.7,83.4,93.1,92,72.7,92
PJM,Heat Event,1988,8,8/14/1988,71.8,81.9,92.3,91.8,71.1,91.8
PJM,Heat Event,1988,8,8/16/1988,63.8,77.3,89.3,91.8,66.5,91.8
PJM,Heat Event,2006,8,8/1/2006,72,82.2,93.1,91.8,71.6,91.8
PJM,Heat Event,2012,7,7/5/2012,71,82.1,92.5,91.8,70.5,91.8
PJM,Heat Event,2011,7,7/21/2011,71.9,82.1,93.1,91.7,71.8,91.7
PJM,Heat Event,2011,7,7/22/2011,74.5,83.8,92.1,91.5,73.6,91.5
PJM,Heat Event,2012,7,7/7/2012,71.2,83.6,96.2,91.4,70.1,91.4
PJM,Heat Event,1999,7,7/4/1999,72,81.8,92.5,91.3,71.2,91.3
PJM,Heat Event,2006,8,8/2/2006,73.3,83.4,93,91.3,72.4,91.3
PJM,Heat Event,1988,7,7/15/1988,66.2,78.8,91.3,91.2,67.2,91.2
PJM,Heat Event,1988,8,8/15/1988,70.5,81.2,91.8,91.1,68.7,91.1
PJM,Heat Event,2001,8,8/8/2001,70,81,91.6,91.1,69.1,91.1
PJM,Heat Event,1995,7,7/15/1995,73,83.7,93.5,91,71.3,91
PJM,Heat Event,2010,7,7/6/2010,69.5,80.8,90.9,91,69.3,91
PJM,Heat Event,1988,7,7/16/1988,68.5,80.7,92.6,90.9,68.4,90.9
PJM,Heat Event,2012,7,7/4/2012,71,81.2,91.6,90.9,69.4,90.9
PJM,Heat Event,1999,7,7/30/1999,69.2,79.8,91.7,90.8,69.1,90.8
PJM,Heat Event,2012,7,7/17/2012,69.2,81.3,93.4,90.8,70.1,90.8
PJM,Heat Event,2012,6,6/29/2012,69.4,80.8,92.6,90.7,65.9,90.7
PJM,Heat Event,1988,7,7/7/1988,65.5,78.3,89.8,90.5,64.7,90.5
PJM,Heat Event,2012,6,6/30/2012,67.6,79.6,89.5,90.5,68.4,90.5
PJM,Heat Event,2022,7,7/23/2022,68.6,80,91.1,90.5,68.8,90.5
PJM,Heat Event,1988,8,8/2/1988,68.1,79.6,91.2,90.4,67.4,90.4
PJM,Heat Event,1988,7,7/8/1988,67.3,79.7,91.9,90.2,66.9,90.2
PJM,Heat Event,1991,7,7/21/1991,71.1,81.5,90.2,90.2,70.6,90.2
PJM,Heat Event,2001,8,8/7/2001,68.3,79.3,90.6,90.2,67.8,90.2
PJM,Heat Event,1980,7,7/16/1980,70.1,81,92,90.1,68.3,90.1
PJM,Heat Event,1988,8,8/13/1988,70.9,80.8,91.2,90.1,71.4,90.1
PJM,Heat Event,1988,8,8/17/1988,65.2,79.1,94.3,90,65.9,90
PJM,Heat Event,1999,7,7/31/1999,70,81.4,92.9,90,69.9,90
PJM,Heat Event,1988,8,8/3/1988,68.6,79.3,89.7,89.9,68.7,89.9
PJM,Heat Event,2022,7,7/22/2022,67.7,79.3,89.6,89.9,69.1,89.9
PJM,Heat Event,2002,7,7/3/2002,68.3,79.8,90,89.8,68.1,89.8
PJM,Heat Event,2011,7,7/20/2011,68.9,79.1,89.9,89.8,70.4,89.8
PJM,Heat Event,1980,7,7/20/1980,69.8,80.6,92.6,89.7,69.4,89.7
PJM,Heat Event,1991,7,7/22/1991,70.9,81,90.7,89.7,71.6,89.7
PJM,Heat Event,1993,7,7/9/1993,70.4,80.8,90.8,89.7,70.2,89.7
PJM,Cold Event,1994,1,1/20/1994,-8.4,-1.8,11.8,8.6,-13.7,-13.7
PJM,Cold Event,1994,1,1/19/1994,-23.4,-13.7,-1.7,10.1,-13.5,-13.5
PJM,Cold Event,1984,1,1/21/1984,-16.3,-5.9,4.9,10.6,-10,-10
PJM,Cold Event,1994,1,1/18/1994,-8.6,2.7,20.1,14,-9.1,-9.1
PJM,Cold Event,1983,12,12/25/1983,-11.8,-6.6,0.5,7.3,-8,-8
PJM,Cold Event,1985,1,1/21/1985,-16.3,-9.2,4.2,10.8,-7.5,-7.5
PJM,Cold Event,1989,12,12/23/1989,-8.6,-0.7,12.8,12.3,-7.4,-7.4
PJM,Cold Event,1982,1,1/11/1982,-10.4,-6,3.4,9.7,-7.2,-7.2
PJM,Cold Event,1984,1,1/20/1984,-7.8,-0.4,7.1,10,-6.4,-6.4
PJM,Cold Event,1982,1,1/17/1982,-21,-9.6,5.7,14.2,-6.3,-6.3
PJM,Cold Event,1996,2,2/4/1996,-7.4,-0.4,6.8,11,-5.6,-5.6
PJM,Cold Event,2015,2,2/19/2015,-5.8,2.8,10.3,14.1,-5.5,-5.5
PJM,Cold Event,1996,2,2/5/1996,-8.3,0.9,16.2,16.1,-5.4,-5.4
PJM,Cold Event,1982,1,1/18/1982,-6,3.8,20,17.8,-5.3,-5.3
PJM,Cold Event,2015,2,2/20/2015,-12.5,-2,12.2,17.3,-5.3,-5.3
PJM,Cold Event,1994,1,1/17/1994,4.8,13.9,23.5,17.3,-5.2,-5.2
PJM,Cold Event,1984,1,1/22/1984,-5.9,2.8,19.8,18.3,-5.1,-5.1
PJM,Cold Event,1989,12,12/22/1989,-8.6,-1.2,7.8,10.9,-5,-5
PJM,Cold Event,1983,12,12/26/1983,-8.3,-2,9.7,11.3,-4.8,-4.8
PJM,Cold Event,1985,1,1/20/1985,-9.2,-2.9,8.7,11.8,-4.8,-4.8
PJM,Cold Event,1994,1,1/16/1994,-11.9,-4.1,8.3,14.1,-4.5,-4.5
PJM,Cold Event,1989,12,12/24/1989,-5.1,2.9,16.4,17.6,-4.1,-4.1
PJM,Cold Event,1994,1,1/21/1994,-9.3,0.4,15.8,18.1,-4,-4
PJM,Cold Event,1981,1,1/12/1981,-9.6,0.2,13.2,16.8,-3.8,-3.8
PJM,Cold Event,2009,1,1/16/2009,-8.2,-1.1,8.1,14,-3.5,-3.5
PJM,Cold Event,1988,1,1/6/1988,-6.5,0.2,9.8,14.2,-3.4,-3.4
PJM,Cold Event,1982,1,1/16/1982,8.2,12.5,16.9,14.1,-3.3,-3.3
PJM,Cold Event,1997,1,1/18/1997,-3.6,1.9,10,14.1,-3.3,-3.3
PJM,Cold Event,2014,1,1/23/2014,-3.1,4.7,13.9,14.4,-3.3,-3.3
PJM,Cold Event,1983,12,12/24/1983,-4,4.2,11.7,12.1,-3.2,-3.2
PJM,Cold Event,1981,1,1/11/1981,-3.1,3.8,13.6,14.2,-3.1,-3.1
PJM,Cold Event,2014,1,1/29/2014,-3.2,4.4,17,17.8,-3.1,-3.1
PJM,Cold Event,1985,1,1/22/1985,3,8.1,19.5,16,-3,-3
PJM,Cold Event,2015,2,2/16/2015,-5.6,1.1,13.1,15.6,-2.7,-2.7
PJM,Cold Event,2018,1,1/6/2018,-3.3,3.8,13.3,15.8,-2.7,-2.7
PJM,Cold Event,2014,1,1/7/2014,-11.8,-4.3,3.6,19.2,-2.5,-2.5
PJM,Cold Event,1982,1,1/10/1982,-8,-2.2,9.4,10.7,-2.3,-2.3
PJM,Cold Event,2019,1,1/31/2019,-11,-2.3,10.2,17,-2.3,-2.3
PJM,Cold Event,2014,2,2/11/2014,-5.1,5.8,19,20.8,-1.9,-1.9
PJM,Cold Event,1994,1,1/15/1994,-6.5,-0.3,10.6,15.1,-1.8,-1.8
