Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2018,7,7/3/2018,68.9,91,93.9,66.6,93.9
Heat Event,2018,7,7/4/2018,64.7,93.5,93.1,67,93.1
Heat Event,2020,6,6/22/2020,64.9,93.5,92.8,63.6,92.8
Heat Event,2002,7,7/2/2002,74.2,94.8,92.7,71.2,92.7
Heat Event,2010,7,7/7/2010,72.3,93,92.6,71.4,92.6
Heat Event,2020,6,6/19/2020,60,92.9,92.6,61.1,92.6
Heat Event,2020,6,6/21/2020,60.8,92,92.3,63.4,92.3
Heat Event,1989,7,7/25/1989,66.2,93.8,92.2,64.4,92.2
Heat Event,2020,6,6/20/2020,64.6,91.3,92.1,61.8,92.1
Heat Event,2020,6,6/18/2020,58.7,93.5,91.9,56.5,91.9
Heat Event,2021,6,6/7/2021,68.5,94.5,91.9,67.5,91.9
Heat Event,2018,7,7/2/2018,66.2,97.2,91.8,67.7,91.8
Heat Event,2002,7,7/3/2002,70.6,93.1,91.6,69,91.6
Heat Event,1989,7,7/26/1989,66.3,92.6,91.5,67.4,91.5
Heat Event,1988,7,7/9/1988,71.1,92.1,91.5,69,91.5
Heat Event,2010,7,7/6/2010,71.4,92.1,91.4,69.7,91.4
Heat Event,2012,7,7/14/2012,65.6,92.6,91.2,65.1,91.2
Heat Event,2021,8,8/25/2021,64.3,89.9,91.2,65.9,91.2
Heat Event,2003,6,6/25/2003,66.2,89.3,91.2,66.6,91.2
Heat Event,1994,6,6/17/1994,71.3,91.6,91.1,67,91.1
Heat Event,1987,7,7/12/1987,71.8,91.2,91,70.2,91
Heat Event,2001,8,8/8/2001,57.8,90.9,91,62.9,91
Heat Event,2010,7,7/8/2010,70.3,92.8,90.9,70.3,90.9
Heat Event,2010,8,8/31/2010,69.5,92.5,90.8,67.1,90.8
Heat Event,2003,6,6/24/2003,63.5,90.7,90.7,63.2,90.7
Heat Event,2012,7,7/13/2012,62.2,90.4,90.6,61.7,90.6
Heat Event,2020,5,5/27/2020,64.6,94.9,90.6,63.8,90.6
Heat Event,2002,8,8/13/2002,66.8,89.2,90.6,67,90.6
Heat Event,2023,6,6/1/2023,60.1,96.1,90.5,54.9,90.5
Heat Event,2013,7,7/16/2013,68.2,88.9,90.4,67.1,90.4
Heat Event,1987,7,7/11/1987,67.4,90.2,90.3,67.5,90.3
Heat Event,2003,6,6/23/2003,59.7,92,90.3,60.3,90.3
Heat Event,2018,7,7/1/2018,68,87.1,90.3,67.2,90.3
Heat Event,2016,6,6/19/2016,63.5,90.9,90.3,60.8,90.3
Heat Event,1988,7,7/8/1988,70.4,92.5,90.2,68.1,90.2
Heat Event,1991,7,7/19/1991,67.1,91.9,90.1,67.8,90.1
Heat Event,2020,5,5/28/2020,69.7,87.2,90.1,67.2,90.1
Heat Event,2013,7,7/15/2013,65.8,91.7,90.1,65.4,90.1
Heat Event,1982,7,7/17/1982,66,89.6,90.1,64.9,90.1
Heat Event,2010,5,5/25/2010,61.7,91.7,90,60.4,90
Cold Event,1994,1,1/26/1994,-26.9,-10.6,7.5,-30.4,-30.4
Cold Event,2009,1,1/16/2009,-33.9,-6.5,-6.2,-30.2,-30.2
Cold Event,1981,1,1/4/1981,-35.4,-2.3,-2.3,-29.1,-29.1
Cold Event,1982,1,1/18/1982,-34.8,-4.5,-5.7,-29.1,-29.1
Cold Event,2009,1,1/15/2009,-30.6,-8.1,-1.5,-26.9,-26.9
Cold Event,1982,1,1/19/1982,-29.6,-1.5,2.6,-26.3,-26.3
Cold Event,1987,1,1/26/1987,-25.4,4.8,5,-25.5,-25.5
Cold Event,1982,1,1/22/1982,-27.8,-2.3,3.3,-25,-25
Cold Event,1996,1,1/7/1996,-30.6,-1.1,1.1,-24.5,-24.5
Cold Event,2004,1,1/14/2004,-25.1,-12.2,-2.5,-24.5,-24.5
Cold Event,1993,12,12/28/1993,-25.1,-5,-6.2,-24.1,-24.1
Cold Event,1994,1,1/27/1994,-38.7,26.7,19.5,-24,-24
Cold Event,2022,1,1/21/2022,-25.8,-1.6,5.1,-23.8,-23.8
Cold Event,1987,1,1/25/1987,-22.7,0,2.4,-23.8,-23.8
Cold Event,2000,1,1/18/2000,-26.1,-8.7,-5.4,-23.7,-23.7
Cold Event,1989,12,12/29/1989,-26.6,-1.7,3.6,-23.6,-23.6
Cold Event,1981,1,1/14/1981,-23.1,4,3.4,-23.6,-23.6
Cold Event,1982,1,1/17/1982,-22.8,-11,1.6,-23.6,-23.6
Cold Event,2009,1,1/26/2009,-28.1,-1.5,6.3,-23.6,-23.6
Cold Event,1981,1,1/3/1981,-30.2,-10.3,-0.1,-23.5,-23.5
Cold Event,2003,2,2/15/2003,-25.2,-0.6,-1.1,-23.5,-23.5
Cold Event,1989,12,12/30/1989,-28.5,8,14.6,-23.5,-23.5
Cold Event,2022,1,1/28/2022,-21.8,17,14.2,-23.2,-23.2
Cold Event,1996,1,1/6/1996,-19.4,-1.7,-2.8,-22.9,-22.9
Cold Event,1993,12,12/27/1993,-26.3,-14.7,-3.9,-22.8,-22.8
Cold Event,2022,1,1/23/2022,-15.5,17.9,8.1,-22.8,-22.8
Cold Event,2022,1,1/22/2022,-27.2,2,6.1,-22.8,-22.8
Cold Event,1995,1,1/10/1995,-25.9,-5.6,5.1,-22.8,-22.8
Cold Event,2009,1,1/17/2009,-26.1,-3.9,0.2,-22.8,-22.8
Cold Event,1993,2,2/20/1993,-17.5,5.9,7.7,-22.7,-22.7
Cold Event,2003,2,2/16/2003,-24.1,-3,1.7,-22.6,-22.6
Cold Event,1982,1,1/26/1982,-23.6,-2,1.8,-22.5,-22.5
Cold Event,2022,1,1/27/2022,-24,16.3,11.2,-22.4,-22.4
Cold Event,1983,12,12/20/1983,-27.9,-5.8,1.5,-22.3,-22.3
Cold Event,2003,2,2/14/2003,-21.2,0.4,-1.4,-22.1,-22.1
Cold Event,2004,1,1/15/2004,-29.9,-8.2,-2.7,-22.1,-22.1
Cold Event,1989,1,1/5/1989,-15.5,1.7,1.8,-22,-22
Cold Event,1984,3,3/9/1984,-21.9,12,12.4,-22,-22
Cold Event,1984,1,1/12/1984,-29.6,-0.7,2.3,-21.8,-21.8
Cold Event,2015,1,1/7/2015,-20.5,4.2,1.8,-21.7,-21.7
