Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
RockyMtn,Heat Event,2005,7,7/20/2005,64.4,80.6,94.3,94,62.7,94
RockyMtn,Heat Event,2005,7,7/21/2005,65.3,80.3,94.2,94,65.1,94
RockyMtn,Heat Event,1998,7,7/19/1998,62.9,79.8,94.5,93.7,62.7,93.7
RockyMtn,Heat Event,2012,6,6/24/2012,66.8,80.6,92.4,93.6,64.4,93.6
RockyMtn,Heat Event,2021,6,6/15/2021,63.4,79.6,94.3,93.6,63.3,93.6
RockyMtn,Heat Event,1998,7,7/20/1998,63.9,80.3,93.6,93.4,63.4,93.4
RockyMtn,Heat Event,2006,7,7/16/2006,66,81,94.5,93.4,65.8,93.4
RockyMtn,Heat Event,2012,6,6/25/2012,63.8,78.6,94.6,93.4,65.2,93.4
RockyMtn,Heat Event,2003,7,7/17/2003,63.1,79.4,93.9,93.3,63.8,93.3
RockyMtn,Heat Event,2006,7,7/15/2006,64.1,79.4,93.8,93.3,63.6,93.3
RockyMtn,Heat Event,2002,6,6/30/2002,62.7,78.9,93.1,93.2,62.2,93.2
RockyMtn,Heat Event,2021,6,6/16/2021,65.2,80.6,93.7,93.2,64.4,93.2
RockyMtn,Heat Event,2003,7,7/14/2003,64,79.6,93,93.1,62.3,93.1
RockyMtn,Heat Event,2002,7,7/31/2002,61.6,78.8,94.3,93,61,93
RockyMtn,Heat Event,2003,7,7/16/2003,64.1,79.1,93.6,93,62.9,93
RockyMtn,Heat Event,2005,7,7/22/2005,65.6,80,93.6,93,65.3,93
RockyMtn,Heat Event,2002,7,7/1/2002,62.8,79.3,94,92.9,62.8,92.9
RockyMtn,Heat Event,2003,7,7/13/2003,61.3,78.5,94.7,92.8,61.5,92.8
RockyMtn,Heat Event,2012,6,6/30/2012,63.1,78.7,91.8,92.8,62.3,92.8
RockyMtn,Heat Event,2019,7,7/19/2019,63.5,79.4,93.7,92.8,63.4,92.8
