Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Southeast,Heat Event,2012,6,6/30/2012,79.3,93.6,107.5,106.9,78.5,106.9
Southeast,Heat Event,2007,8,8/16/2007,77.2,92.1,107.3,106.3,76.9,106.3
Southeast,Heat Event,2007,8,8/15/2007,73.8,89.9,106.6,105.9,75.5,105.9
Southeast,Heat Event,2012,6,6/29/2012,75.4,91,107.4,105.7,74.4,105.7
Southeast,Heat Event,1999,7,7/31/1999,79.8,92.9,106.3,105.4,79.4,105.4
Southeast,Heat Event,2007,8,8/14/2007,75.6,89.8,103.7,104.9,75.2,104.9
Southeast,Heat Event,2007,8,8/17/2007,79.6,92.1,104.9,104.9,77.4,104.9
Southeast,Heat Event,2011,8,8/3/2011,79.2,92.5,105.8,104.9,79.4,104.9
Southeast,Heat Event,2007,8,8/21/2007,76.9,90.8,105.1,104.5,76.4,104.5
Southeast,Heat Event,2012,7,7/1/2012,80.9,93.8,105.7,104.3,79.8,104.3
Southeast,Heat Event,1999,7,7/30/1999,78.2,91,105,104,78.8,104
Southeast,Heat Event,2007,8,8/22/2007,76.9,91,105.1,104,77.1,104
Southeast,Heat Event,2011,8,8/4/2011,80.6,93.4,106.1,103.8,79.4,103.8
Southeast,Heat Event,2007,8,8/10/2007,80.6,92.7,104.8,103.5,80.1,103.5
Southeast,Heat Event,1999,8,8/1/1999,80.1,92.9,104.9,103.3,80.1,103.3
Southeast,Heat Event,2007,8,8/20/2007,75.4,89.3,103.2,103.3,75.8,103.3
Southeast,Heat Event,2007,8,8/9/2007,82.3,92.3,102.6,103.1,81.5,103.1
Southeast,Heat Event,2010,7,7/24/2010,80.8,91.8,103.4,103,81,103
Southeast,Heat Event,2007,8,8/11/2007,77.5,90.5,103.2,102.9,77.9,102.9
Southeast,Heat Event,2007,8,8/13/2007,76.2,89.9,104.3,102.9,75.8,102.9
Southeast,Heat Event,2007,8,8/18/2007,75.4,89.4,102.4,102.9,76.7,102.9
Southeast,Heat Event,2007,8,8/12/2007,75.7,88.3,100.7,102.7,76.5,102.7
Southeast,Heat Event,2011,8,8/2/2011,78.4,90.3,102.9,102.7,78.8,102.7
Southeast,Heat Event,1986,7,7/19/1986,80.1,91.7,102.9,102.4,79.7,102.4
Southeast,Heat Event,1986,7,7/20/1986,79.8,92.1,103.7,102.4,80.2,102.4
Southeast,Heat Event,1999,7,7/29/1999,78.4,90,100.8,102.4,77.9,102.4
Southeast,Heat Event,2007,8,8/19/2007,75.2,88,101.5,102.4,75.3,102.4
Southeast,Heat Event,1999,8,8/12/1999,76.6,89.9,102.9,102.2,76.6,102.2
Southeast,Heat Event,2010,7,7/23/2010,80.3,91,102.4,102.2,80.1,102.2
Southeast,Heat Event,1983,8,8/20/1983,78.9,91,102.1,102.1,78.7,102.1
Southeast,Heat Event,1980,7,7/12/1980,78.2,90,100.2,102,79.2,102
Southeast,Heat Event,1993,7,7/28/1993,79.8,91.4,102.8,101.9,79.8,101.9
Southeast,Heat Event,1980,7,7/14/1980,77.4,89.2,100.1,101.8,77.8,101.8
Southeast,Heat Event,1980,8,8/8/1980,77.5,89.8,102.5,101.8,77.1,101.8
Southeast,Heat Event,1988,7,7/16/1988,79.8,90.8,102,101.8,79.3,101.8
Southeast,Heat Event,2000,8,8/17/2000,73.6,87.7,101.6,101.8,73.6,101.8
Southeast,Heat Event,1980,8,8/7/1980,76.6,89.2,101.6,101.7,76.6,101.7
Southeast,Heat Event,2007,8,8/23/2007,77.6,90.1,101.8,101.7,77,101.7
Southeast,Heat Event,1999,7,7/27/1999,75.9,89,101.4,101.6,76.9,101.6
Southeast,Heat Event,2011,7,7/11/2011,78.8,89.6,101.3,101.6,79,101.6
Southeast,Cold Event,1985,1,1/21/1985,-8.9,0.9,18.6,30.2,0.6,0.6
Southeast,Cold Event,1983,12,12/25/1983,-3.3,3.5,13.6,25.2,2.8,2.8
Southeast,Cold Event,1985,1,1/22/1985,9.4,17.9,34.6,31.6,5.6,5.6
Southeast,Cold Event,1989,12,12/23/1989,5.2,10.9,18.1,24.1,6,6
Southeast,Cold Event,1982,1,1/11/1982,-1.4,6.3,19.5,28.5,6.1,6.1
Southeast,Cold Event,1985,1,1/20/1985,1.2,19.6,37.5,34.4,7.2,7.2
Southeast,Cold Event,1983,12,12/26/1983,4.7,12.7,27.3,26.9,8.2,8.2
Southeast,Cold Event,1996,2,2/5/1996,3.3,14,31.5,32,9.3,9.3
Southeast,Cold Event,1996,2,2/4/1996,7,14.4,21.2,28.3,9.4,9.4
Southeast,Cold Event,1989,12,12/24/1989,6.2,14,27.6,27.2,9.5,9.5
Southeast,Cold Event,1983,12,12/24/1983,6.9,22.7,34.8,30.4,10.7,10.7
Southeast,Cold Event,2022,12,12/24/2022,5.9,12.5,23.6,34.4,11.3,11.3
Southeast,Cold Event,1982,1,1/10/1982,7.4,17.8,33.1,32.9,11.6,11.6
Southeast,Cold Event,1989,12,12/22/1989,6.7,15,26.7,27.6,12.4,12.4
Southeast,Cold Event,1994,1,1/19/1994,4.6,12.2,24.3,33.6,12.6,12.6
Southeast,Cold Event,2015,2,2/19/2015,8.3,17.8,27.5,33.6,13.2,13.2
Southeast,Cold Event,1982,1,1/12/1982,12.4,19.8,32.9,29.1,13.3,13.3
Southeast,Cold Event,1994,1,1/20/1994,16.6,24.1,38.4,33.6,13.5,13.5
Southeast,Cold Event,2014,1,1/7/2014,4.7,12.7,23.8,37.4,13.7,13.7
Southeast,Cold Event,2022,12,12/25/2022,14.7,22,34.7,33.4,13.8,13.8
Southeast,Cold Event,2015,2,2/20/2015,9.7,19.1,34.9,38,15.3,15.3
Southeast,Cold Event,2003,1,1/24/2003,7.7,17.1,32.2,37.8,15.4,15.4
Southeast,Cold Event,1997,1,1/18/1997,14.4,21.7,32.3,34.1,15.5,15.5
Southeast,Cold Event,1994,1,1/18/1994,16.7,25.5,38.1,34.8,15.9,15.9
Southeast,Cold Event,1981,1,1/12/1981,11.9,20.5,28.8,36.5,16,16
Southeast,Cold Event,2014,1,1/29/2014,15.1,21.9,31.2,35.5,16.1,16.1
Southeast,Cold Event,1980,3,3/3/1980,7.2,21.3,40.3,39.7,16.3,16.3
Southeast,Cold Event,2014,1,1/23/2014,20.9,27.3,36.2,34.1,16.3,16.3
Southeast,Cold Event,1989,12,12/25/1989,17,23.6,35.9,35.3,16.4,16.4
Southeast,Cold Event,1996,2,2/6/1996,17.7,27.6,43.3,41.7,16.4,16.4
Southeast,Cold Event,2018,1,1/2/2018,11.9,20.6,32.1,33.3,16.5,16.5
Southeast,Cold Event,1980,2,2/2/1980,14.9,23,35,35,16.6,16.6
Southeast,Cold Event,1984,1,1/21/1984,16,23.3,31.5,35.6,16.6,16.6
Southeast,Cold Event,1986,1,1/28/1986,8.7,18,36,41.1,16.6,16.6
Southeast,Cold Event,1985,1,1/23/1985,16.4,26,41.5,41.2,16.7,16.7
Southeast,Cold Event,2015,1,1/9/2015,21.8,28,40.1,36.7,16.7,16.7
Southeast,Cold Event,2018,1,1/6/2018,17.7,25.4,35.8,37.1,16.7,16.7
Southeast,Cold Event,2018,1,1/3/2018,20.2,26.4,38.5,33.7,17,17
Southeast,Cold Event,2014,1,1/24/2014,10.2,20,31.4,37.5,17.1,17.1
Southeast,Cold Event,2018,1,1/5/2018,14.7,22.9,35.7,34,17.1,17.1
