Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Southwest,Heat Event,1995,7,7/28/1995,76.1,92.9,110.3,109.1,76.7,109.1
Southwest,Heat Event,1995,7,7/27/1995,76.6,92.5,108.5,108.8,75.6,108.8
Southwest,Heat Event,1990,6,6/26/1990,78.9,94.5,109.3,108.4,77.9,108.4
Southwest,Heat Event,1990,6,6/27/1990,78.9,94.4,108.2,108,78.6,108
Southwest,Heat Event,2017,6,6/20/2017,76.6,93.3,108.9,108,75.8,108
Southwest,Heat Event,1995,7,7/29/1995,77.3,92.6,108.5,107.7,76,107.7
Southwest,Heat Event,1994,6,6/28/1994,75.9,92.2,108.6,107.6,76.3,107.6
Southwest,Heat Event,1994,6,6/29/1994,78.1,93.6,107.9,107.6,76.5,107.6
Southwest,Heat Event,1994,6,6/27/1994,74.8,91,106.4,107.5,75.8,107.5
Southwest,Heat Event,2017,6,6/21/2017,77.3,93.1,107.7,107.5,76.7,107.5
Southwest,Heat Event,1994,6,6/25/1994,76.4,92.8,108.2,107.4,75.8,107.4
Southwest,Heat Event,2003,7,7/14/2003,76.9,92.5,108.4,107.4,76.2,107.4
Southwest,Heat Event,1994,6,6/26/1994,76.6,92.5,107.4,107.3,75.9,107.3
Southwest,Heat Event,1990,6,6/25/1990,75.8,91.8,107.6,107.2,76.1,107.2
Southwest,Heat Event,2003,7,7/15/2003,76.7,92.3,107.2,107.2,77.3,107.2
Southwest,Heat Event,2021,6,6/16/2021,75.9,91.8,106.6,107.1,76.6,107.1
Southwest,Heat Event,2013,6,6/29/2013,79.6,93.9,107.5,106.9,79.1,106.9
Southwest,Heat Event,2017,6,6/19/2017,73.6,90.2,107.3,106.9,73.7,106.9
Southwest,Heat Event,2021,6,6/15/2021,75.2,91.8,107.7,106.8,74.7,106.8
Southwest,Heat Event,2003,7,7/13/2003,75.1,90.9,106.6,106.6,75.2,106.6
Southwest,Heat Event,1995,7,7/26/1995,74,90.4,107.5,106.5,73.9,106.5
Southwest,Heat Event,2021,6,6/17/2021,78.7,93.2,107.1,106.5,77.1,106.5
Southwest,Heat Event,2005,7,7/17/2005,77.1,92.4,107.5,106.4,76.9,106.4
Southwest,Heat Event,2016,6,6/20/2016,76,92,107.6,106.4,75.4,106.4
Southwest,Heat Event,1990,6,6/28/1990,78,93.2,106.5,106.2,77.8,106.2
Southwest,Heat Event,2021,6,6/14/2021,72.9,89.4,106.1,106.2,73.4,106.2
Southwest,Heat Event,1994,6,6/30/1994,75.4,91.2,106.2,106.1,76.2,106.1
Southwest,Heat Event,2016,6,6/19/2016,75.1,91.2,108.1,106,73.1,106
Southwest,Heat Event,2017,6,6/22/2017,76.2,91.4,105.8,106,75.7,106
Southwest,Heat Event,2021,6,6/18/2021,76.8,92.4,105.8,106,77.2,106
Southwest,Heat Event,1989,7,7/4/1989,76,91.8,106.7,105.9,74.6,105.9
