Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2006,7,7/30/2006,73.6,104.6,103.3,73.3,103.3
Heat Event,1988,8,8/15/1988,64.8,105.6,102.9,67,102.9
Heat Event,2006,7,7/29/2006,70.4,102.7,102.6,70.3,102.6
Heat Event,1988,8,8/16/1988,73.1,102.8,102.4,69.3,102.4
Heat Event,2006,7,7/16/2006,65.6,103.5,102.2,66.9,102.2
Heat Event,2006,7,7/31/2006,75.9,102.6,101.4,73.4,101.4
Heat Event,1988,7,7/31/1988,66.8,102.7,101.2,67.4,101.2
Heat Event,2006,7,7/15/2006,64.6,102.1,100.8,64.4,100.8
Heat Event,2003,8,8/24/2003,69.4,100.5,100.6,66.7,100.6
Heat Event,2012,7,7/23/2012,70.4,99.6,100.4,69.8,100.4
Heat Event,1988,7,7/30/1988,63.4,100.2,100.3,65.2,100.3
Heat Event,2006,7,7/17/2006,70.4,101.1,100,65.6,100
Heat Event,2012,7,7/22/2012,70.7,102.2,99.9,69.9,99.9
Heat Event,2003,8,8/17/2003,65,101.2,99.8,66,99.8
Heat Event,2003,8,8/16/2003,64.8,99.7,99.6,64.5,99.6
Heat Event,1988,6,6/21/1988,71.5,101.4,99.6,69.9,99.6
Heat Event,1988,8,8/1/1988,72.1,100.6,99.6,69.6,99.6
Heat Event,2012,7,7/21/2012,68.6,97.8,99.6,68.8,99.6
Heat Event,1988,8,8/14/1988,63,100.3,99.4,65.1,99.4
Heat Event,2003,8,8/18/2003,68.1,98.4,99.4,67.6,99.4
Heat Event,1988,6,6/20/1988,67.1,99,99.3,69.3,99.3
Heat Event,2002,7,7/20/2002,71.6,101.3,99.3,71.3,99.3
Heat Event,2003,8,8/25/2003,65.4,99.7,99.2,67,99.2
Heat Event,2012,7,7/24/2012,68.3,99.5,99.2,70.4,99.2
Heat Event,2006,7,7/28/2006,66.7,100.5,99.1,68.3,99.1
Heat Event,1988,8,8/17/1988,69.9,98.7,99,69.1,99
Heat Event,2003,8,8/23/2003,65.2,101.5,98.9,64.1,98.9
Heat Event,2006,7,7/18/2006,60.7,95.4,98.9,66.8,98.9
Heat Event,2013,8,8/26/2013,72,98.7,98.9,71.7,98.9
Heat Event,2002,7,7/19/2002,68.2,97.8,98.8,68.6,98.8
Heat Event,2000,8,8/11/2000,68.4,100,98.8,68.4,98.8
Heat Event,1988,7,7/29/1988,65.4,97.8,98.6,64.6,98.6
Heat Event,1988,6,6/24/1988,70.4,101.6,98.6,68.2,98.6
Heat Event,1988,7,7/14/1988,64.6,100.6,98.6,66.8,98.6
Heat Event,2012,7,7/20/2012,67,98.8,98.5,67.8,98.5
Heat Event,1989,7,7/9/1989,66.5,99.2,98.4,66.4,98.4
Heat Event,1987,7,7/31/1987,72.7,100,98.4,71.9,98.4
Heat Event,2000,8,8/10/2000,65.2,98.5,98.3,65.4,98.3
Heat Event,2002,7,7/31/2002,67.9,99.3,98.3,66.9,98.3
Heat Event,1988,7,7/28/1988,65,97.9,98.3,63.8,98.3
Cold Event,1996,2,2/2/1996,-38.5,-15.9,-9.5,-33,-33
Cold Event,1983,12,12/23/1983,-28.6,-21.3,-19.7,-32.1,-32.1
Cold Event,1996,2,2/3/1996,-33.8,-6.7,-3,-31.7,-31.7
Cold Event,1996,2,2/1/1996,-26.9,-5.9,-6.8,-30.5,-30.5
Cold Event,1983,12,12/24/1983,-34.7,-21.7,-16,-30.3,-30.3
Cold Event,1983,12,12/22/1983,-33.1,-16.3,-15.7,-27.2,-27.2
Cold Event,1983,12,12/19/1983,-26.6,-11.2,-10.7,-27,-27
Cold Event,1983,12,12/21/1983,-20,-9.6,-11.8,-26.3,-26.3
Cold Event,1996,1,1/31/1996,-26.1,1.4,-4.9,-25.6,-25.6
Cold Event,1983,12,12/25/1983,-27.6,-4.9,-5.5,-25.3,-25.3
Cold Event,1983,12,12/18/1983,-28.5,-11.6,-9.1,-24.5,-24.5
Cold Event,1982,1,1/10/1982,-35.5,-15.1,-7,-24.4,-24.4
Cold Event,2021,2,2/15/2021,-25.8,-3,-3.5,-24.2,-24.2
Cold Event,1983,12,12/20/1983,-25.8,-9.4,-10.1,-24.1,-24.1
Cold Event,1984,1,1/19/1984,-18.9,-2.7,-3,-23.5,-23.5
Cold Event,1982,1,1/11/1982,-22.4,-2.5,-5.2,-23,-23
Cold Event,1996,1,1/30/1996,-23.7,-10,0.9,-22.8,-22.8
Cold Event,1985,2,2/1/1985,-24.3,-5.1,-1.5,-22.7,-22.7
Cold Event,1989,2,2/4/1989,-21.5,-7.9,-7.7,-22.4,-22.4
Cold Event,1982,2,2/4/1982,-23.4,-3.1,-3.8,-22.4,-22.4
Cold Event,1997,1,1/12/1997,-24.8,-10.2,-7.5,-22.2,-22.2
Cold Event,1997,1,1/11/1997,-22.9,-13.7,-8.8,-21.7,-21.7
Cold Event,1982,1,1/16/1982,-29.8,-12.9,5.2,-21.6,-21.6
Cold Event,1989,2,2/3/1989,-28.4,-16.2,-10.8,-21.6,-21.6
Cold Event,1983,12,12/17/1983,-18.5,-4.6,-5.3,-21.6,-21.6
Cold Event,1982,2,2/5/1982,-19.7,-3.9,2.6,-21.5,-21.5
Cold Event,1990,12,12/22/1990,-25.5,-12.8,-5.8,-21.3,-21.3
Cold Event,2021,2,2/14/2021,-22.5,-8.6,-5.2,-21.2,-21.2
Cold Event,1985,1,1/31/1985,-25.4,-4.2,1.8,-21,-21
Cold Event,1994,2,2/8/1994,-14.2,-4.5,-3.7,-20.7,-20.7
Cold Event,2021,2,2/16/2021,-24.2,1.2,3.4,-20.3,-20.3
Cold Event,1984,1,1/20/1984,-27.4,-3.6,2,-20.2,-20.2
Cold Event,2021,2,2/13/2021,-15.5,-4.1,-6,-19.9,-19.9
Cold Event,1985,1,1/20/1985,-29.7,-4.8,4.4,-19.7,-19.7
Cold Event,1990,12,12/23/1990,-23.1,0.8,1.3,-19.6,-19.6
Cold Event,1996,2,2/4/1996,-22.7,13.6,7.4,-19.5,-19.5
Cold Event,1985,2,2/2/1985,-18.4,4.8,0.9,-19.4,-19.4
Cold Event,2022,12,12/23/2022,-19.8,-8,-2.1,-19.1,-19.1
Cold Event,2005,1,1/15/2005,-19.3,2.4,0.8,-19.1,-19.1
Cold Event,1982,1,1/15/1982,-10.2,12.4,3.9,-18.6,-18.6
