Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
Heat Event,2011,8,8/2/2011,77.7,110.7,108.6,77.1,108.6
Heat Event,2011,8,8/3/2011,78.2,107.9,108,77.9,108
Heat Event,2012,8,8/2/2012,77.7,107.8,107.3,76.1,107.3
Heat Event,2012,8,8/1/2012,74.9,107.5,107,75.4,107
Heat Event,2006,7,7/19/2006,75,107.6,106.8,75.7,106.8
Heat Event,2006,7,7/18/2006,75.1,105.7,106.5,75,106.5
Heat Event,2018,7,7/20/2018,73.1,107.9,106.5,72.6,106.5
Heat Event,2012,8,8/3/2012,75.8,106.6,106.3,77.5,106.3
Heat Event,2011,8,8/4/2011,77.8,105.5,106.2,77.8,106.2
Heat Event,2011,8,8/1/2011,75.4,107.2,106.2,76.3,106.2
Heat Event,2006,7,7/20/2006,77,107,105.9,76,105.9
Heat Event,2012,7,7/31/2012,73.5,105.6,105.8,75.4,105.8
Heat Event,2011,8,8/6/2011,75.9,104.9,105.5,76.2,105.5
Heat Event,2011,8,8/7/2011,75.4,106.3,105.5,75.8,105.5
Heat Event,2006,7,7/17/2006,75,106.3,105.4,74.5,105.4
Heat Event,2012,7,7/30/2012,77.7,104.2,105.4,75.3,105.4
Heat Event,2011,8,8/5/2011,77.3,105.4,105.2,77,105.2
Heat Event,2012,7,7/29/2012,74.8,106.4,104.8,74.2,104.8
Heat Event,2011,8,8/8/2011,76.1,105.3,104.7,73.5,104.7
Heat Event,2018,7,7/21/2018,73.7,104.8,104.4,72.2,104.4
Heat Event,2011,9,9/1/2011,75.5,105,104.3,74.3,104.3
Heat Event,2000,9,9/3/2000,74.7,104.6,104.3,73,104.3
Heat Event,2011,7,7/27/2011,76.7,106.2,104.3,76.3,104.3
Heat Event,2000,9,9/1/2000,73.5,101.6,104.2,72.2,104.2
Heat Event,2012,6,6/27/2012,70.8,104.5,104.2,71,104.2
Heat Event,2000,9,9/2/2000,71.3,106,104.1,73.2,104.1
Heat Event,1980,7,7/16/1980,74.9,103.4,104.1,74.5,104.1
Heat Event,2012,6,6/28/2012,70.4,105.3,104,71.3,104
Heat Event,2006,7,7/16/2006,73.4,104.3,104,74,104
Heat Event,1980,7,7/17/1980,73.3,104.7,104,74.5,104
Heat Event,2011,8,8/31/2011,73.6,106.6,104,73.4,104
Heat Event,1980,7,7/14/1980,74.7,104.1,104,74.3,104
Heat Event,1980,7,7/31/1980,73,102.2,103.9,72.2,103.9
Heat Event,1980,7,7/15/1980,75.4,104.2,103.9,75,103.9
Heat Event,2011,7,7/28/2011,78.6,104.5,103.8,76.8,103.8
Heat Event,2012,6,6/26/2012,71.8,102.7,103.8,71.5,103.8
Heat Event,2000,8,8/30/2000,70.9,103.4,103.8,71.2,103.8
Heat Event,1980,7,7/18/1980,75.4,104,103.8,74.6,103.8
Heat Event,2012,8,8/4/2012,79.1,104.5,103.7,75.4,103.7
Heat Event,1980,7,7/30/1980,72.2,104.9,103.7,71.4,103.7
Cold Event,1989,12,12/22/1989,-14,1.6,14.2,-8.9,-8.9
Cold Event,1989,12,12/23/1989,-15,15.2,16.2,-7.5,-7.5
Cold Event,1983,12,12/25/1983,-12.5,8.9,11.6,-6.8,-6.8
Cold Event,1983,12,12/24/1983,-8.6,4.6,8.2,-6.2,-6.2
Cold Event,2021,2,2/15/2021,-7.1,6.8,11.9,-5.6,-5.6
Cold Event,2021,2,2/16/2021,-12.3,16.4,16.3,-4.1,-4.1
